Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-07;09:00:00;OML;OML (ONEMORE);1;2.2000;0.1000;4.76;10193;21410.30
2026-08-07;09:01:00;OML;OML (ONEMORE);2;2.1800;0.0000;0.00;688;1499.84
2026-08-07;09:02:00;OML;OML (ONEMORE);3;2.1600;-0.0100;-0.46;250;541.35
2026-08-07;09:03:00;OML;OML (ONEMORE);4;2.1800;0.0100;0.46;2000;4356.03
2026-08-07;09:05:00;OML;OML (ONEMORE);5;2.1800;0.0100;0.46;2000;4349.66
2026-08-07;09:08:00;OML;OML (ONEMORE);6;2.2200;0.0400;1.83;1500;3315.68
2026-08-07;09:11:00;OML;OML (ONEMORE);7;2.2200;0.0000;0.00;1147;2546.34
2026-08-07;09:12:00;OML;OML (ONEMORE);8;2.2200;0.0000;0.00;753;1671.66
2026-08-07;09:17:00;OML;OML (ONEMORE);9;2.2200;0.0000;0.00;45;99.90
2026-08-07;09:23:00;OML;OML (ONEMORE);10;2.1700;0.0000;0.00;22;47.74
2026-08-07;09:25:00;OML;OML (ONEMORE);11;2.2200;0.0000;0.00;2;4.44
2026-08-07;09:27:00;OML;OML (ONEMORE);12;2.2300;0.0100;0.45;1000;2221.26
2026-08-07;09:29:00;OML;OML (ONEMORE);13;2.2300;0.0000;0.00;1000;2230.00
2026-08-07;09:36:00;OML;OML (ONEMORE);14;2.2000;0.0000;0.00;1500;3300.00
2026-08-07;09:39:00;OML;OML (ONEMORE);15;2.2300;0.0000;0.00;90;200.70
2026-08-07;09:40:00;OML;OML (ONEMORE);16;2.2300;0.0000;0.00;36;80.28
2026-08-07;09:43:00;OML;OML (ONEMORE);17;2.2300;0.0000;0.00;400;892.00
2026-08-07;10:00:00;OML;OML (ONEMORE);18;2.1900;0.0000;0.00;250;547.50
2026-08-07;10:03:00;OML;OML (ONEMORE);19;2.2300;0.0000;0.00;2;4.46
2026-08-07;10:15:00;OML;OML (ONEMORE);20;2.2300;0.0000;0.00;50;111.50
2026-08-07;10:18:00;OML;OML (ONEMORE);21;2.2400;0.0100;0.45;352;785.51
2026-08-07;10:19:00;OML;OML (ONEMORE);22;2.2400;0.0000;0.00;445;996.80
2026-08-07;10:22:00;OML;OML (ONEMORE);23;2.2000;-0.0400;-1.79;2589;5749.12
2026-08-07;10:25:00;OML;OML (ONEMORE);24;2.2500;0.0000;0.00;2;4.50
2026-08-07;10:27:00;OML;OML (ONEMORE);25;2.2100;0.0000;0.00;250;552.50
2026-08-07;10:29:00;OML;OML (ONEMORE);26;2.2200;0.0000;0.00;63;139.86
2026-08-07;10:42:00;OML;OML (ONEMORE);27;2.2400;0.0000;0.00;2239;5015.36
2026-08-07;10:59:00;OML;OML (ONEMORE);28;2.2400;0.0000;0.00;25;56.00
2026-08-07;11:10:00;OML;OML (ONEMORE);29;2.2200;0.0000;0.00;150;333.00
2026-08-07;11:13:00;OML;OML (ONEMORE);30;2.2400;0.0200;0.90;240;536.80
