Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-31;09:00:00;OND;OND (ONDE);1;8.5800;0.1300;1.54;1843;15573.48
2026-07-31;09:03:00;OND;OND (ONDE);2;8.5900;0.0000;0.00;1;8.59
2026-07-31;09:06:00;OND;OND (ONDE);3;8.6800;0.0900;1.05;277;2390.04
2026-07-31;09:14:00;OND;OND (ONDE);4;8.6000;0.0400;0.47;745;6397.51
2026-07-31;09:31:00;OND;OND (ONDE);5;8.5900;0.0000;0.00;1;8.59
2026-07-31;09:55:00;OND;OND (ONDE);6;8.5100;-0.0400;-0.47;369;3141.79
2026-07-31;09:56:00;OND;OND (ONDE);7;8.5500;0.0400;0.47;223;1899.77
2026-07-31;10:02:00;OND;OND (ONDE);8;8.5500;0.0000;0.00;1;8.55
2026-07-31;10:05:00;OND;OND (ONDE);9;8.5000;-0.0500;-0.58;53;450.65
2026-07-31;10:06:00;OND;OND (ONDE);10;8.5500;0.0000;0.00;1;8.55
2026-07-31;10:10:00;OND;OND (ONDE);11;8.5500;0.0000;0.00;179;1530.45
2026-07-31;10:16:00;OND;OND (ONDE);12;8.5500;0.0000;0.00;1;8.55
2026-07-31;10:24:00;OND;OND (ONDE);13;8.5400;0.0000;0.00;160;1366.40
2026-07-31;10:27:00;OND;OND (ONDE);14;8.5400;0.0000;0.00;10;85.40
2026-07-31;10:56:00;OND;OND (ONDE);15;8.5400;0.0000;0.00;200;1708.00
2026-07-31;11:05:00;OND;OND (ONDE);16;8.5400;0.0000;0.00;50;427.00
2026-07-31;11:09:00;OND;OND (ONDE);17;8.5400;0.0000;0.00;6;51.24
2026-07-31;11:16:00;OND;OND (ONDE);18;8.5400;0.0000;0.00;200;1708.00
2026-07-31;11:23:00;OND;OND (ONDE);19;8.5500;0.0100;0.12;173;1478.75
2026-07-31;11:47:00;OND;OND (ONDE);20;8.5500;0.0100;0.12;500;4272.76
2026-07-31;11:59:00;OND;OND (ONDE);21;8.5500;0.0000;0.00;2;17.10
2026-07-31;12:01:00;OND;OND (ONDE);22;8.5500;0.0000;0.00;1;8.55
2026-07-31;12:06:00;OND;OND (ONDE);23;8.5300;0.0000;0.00;35;298.55
2026-07-31;12:15:00;OND;OND (ONDE);24;8.5500;0.0000;0.00;26;222.30
2026-07-31;13:05:00;OND;OND (ONDE);25;8.5500;0.0000;0.00;1;8.55
2026-07-31;13:58:00;OND;OND (ONDE);26;8.5500;0.0000;0.00;11;94.05
2026-07-31;14:46:00;OND;OND (ONDE);27;8.5000;-0.0300;-0.35;235;2000.47
2026-07-31;14:48:00;OND;OND (ONDE);28;8.5500;0.0000;0.00;1;8.55
2026-07-31;14:58:00;OND;OND (ONDE);29;8.6000;0.0500;0.58;300;2568.20
2026-07-31;15:49:00;OND;OND (ONDE);30;8.5600;0.0000;0.00;35;299.60
2026-07-31;15:50:00;OND;OND (ONDE);31;8.5000;0.0000;0.00;35;297.50
2026-07-31;15:52:00;OND;OND (ONDE);32;8.5700;0.0100;0.12;177;1515.24
2026-07-31;15:54:00;OND;OND (ONDE);33;8.5700;0.0000;0.00;25;214.25
2026-07-31;15:59:00;OND;OND (ONDE);34;8.7300;0.1300;1.51;1474;12718.66
2026-07-31;16:01:00;OND;OND (ONDE);35;8.8000;0.0800;0.92;1868;16386.69
2026-07-31;16:03:00;OND;OND (ONDE);36;8.8300;0.0000;0.00;5;44.15
2026-07-31;16:04:00;OND;OND (ONDE);37;8.8700;0.0300;0.34;2236;19714.76
2026-07-31;16:05:00;OND;OND (ONDE);38;8.8400;0.0100;0.11;533;4706.89
2026-07-31;16:06:00;OND;OND (ONDE);39;8.9000;0.0300;0.34;1204;10695.48
2026-07-31;16:11:00;OND;OND (ONDE);40;8.6500;-0.0300;-0.35;1000;8662.82
