Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-05;09:00:00;ONO;ONO (ONESANO);1;0.5400;0.0000;0.00;1012;546.48
2026-08-05;10:13:00;ONO;ONO (ONESANO);2;0.5420;0.0020;0.37;1122;606.88
2026-08-05;10:40:00;ONO;ONO (ONESANO);3;0.5460;0.0000;0.00;2;1.09
2026-08-05;10:52:00;ONO;ONO (ONESANO);4;0.5460;0.0000;0.00;3700;2020.20
2026-08-05;12:03:00;ONO;ONO (ONESANO);5;0.5500;0.0000;0.00;50;27.50
2026-08-05;12:09:00;ONO;ONO (ONESANO);6;0.5500;0.0000;0.00;13;7.15
2026-08-05;12:22:00;ONO;ONO (ONESANO);7;0.5540;0.0000;0.00;31;17.17
2026-08-05;12:24:00;ONO;ONO (ONESANO);8;0.5680;0.0120;2.16;4000;2257.27
2026-08-05;12:27:00;ONO;ONO (ONESANO);9;0.5680;0.0000;0.00;302;171.54
2026-08-05;12:54:00;ONO;ONO (ONESANO);10;0.5680;0.0000;0.00;1280;727.04
2026-08-05;12:55:00;ONO;ONO (ONESANO);11;0.5760;0.0020;0.35;1070;616.25
2026-08-05;13:05:00;ONO;ONO (ONESANO);12;0.5760;0.0000;0.00;500;288.00
2026-08-05;13:14:00;ONO;ONO (ONESANO);13;0.5680;0.0000;0.00;374;212.43
2026-08-05;14:12:00;ONO;ONO (ONESANO);14;0.5600;0.0000;0.00;2100;1176.00
2026-08-05;15:00:00;ONO;ONO (ONESANO);15;0.5740;0.0000;0.00;719;412.71
2026-08-05;15:36:00;ONO;ONO (ONESANO);16;0.5740;0.0000;0.00;34;19.52
2026-08-05;15:48:00;ONO;ONO (ONESANO);17;0.5740;0.0000;0.00;500;287.00
2026-08-05;16:48:00;ONO;ONO (ONESANO);18;0.5740;0.0000;0.00;190;109.06
