Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-18;09:00:00;OPONEO-PL;OPN (OPONEO.PL);1;105.2000;0.2000;0.19;2131;223759.00
2026-09-18;09:01:00;OPONEO-PL;OPN (OPONEO.PL);2;105.6000;0.2000;0.19;166;17521.40
2026-09-18;09:03:00;OPONEO-PL;OPN (OPONEO.PL);3;105.6000;0.0000;0.00;42;4435.20
2026-09-18;09:04:00;OPONEO-PL;OPN (OPONEO.PL);4;105.0000;0.0000;0.00;10;1050.00
2026-09-18;09:08:00;OPONEO-PL;OPN (OPONEO.PL);5;105.0000;0.0000;0.00;252;26460.00
2026-09-18;09:10:00;OPONEO-PL;OPN (OPONEO.PL);6;105.8000;0.0000;0.00;5;529.00
2026-09-18;09:11:00;OPONEO-PL;OPN (OPONEO.PL);7;105.0000;0.0000;0.00;36;3780.00
2026-09-18;09:15:00;OPONEO-PL;OPN (OPONEO.PL);8;104.8000;0.0000;0.00;4;419.20
2026-09-18;09:22:00;OPONEO-PL;OPN (OPONEO.PL);9;104.6000;-0.2000;-0.19;20;2094.20
2026-09-18;09:23:00;OPONEO-PL;OPN (OPONEO.PL);10;105.4000;0.0000;0.00;1;105.40
2026-09-18;09:29:00;OPONEO-PL;OPN (OPONEO.PL);11;105.8000;0.4000;0.38;79;8346.60
2026-09-18;09:30:00;OPONEO-PL;OPN (OPONEO.PL);12;105.8000;0.0000;0.00;2;211.60
2026-09-18;09:36:00;OPONEO-PL;OPN (OPONEO.PL);13;105.0000;0.0000;0.00;5;525.00
2026-09-18;09:40:00;OPONEO-PL;OPN (OPONEO.PL);14;104.6000;0.0000;0.00;1;104.60
2026-09-18;09:41:00;OPONEO-PL;OPN (OPONEO.PL);15;105.0000;0.0000;0.00;1;105.00
2026-09-18;09:46:00;OPONEO-PL;OPN (OPONEO.PL);16;105.0000;0.0000;0.00;15;1575.00
2026-09-18;09:47:00;OPONEO-PL;OPN (OPONEO.PL);17;105.0000;0.0000;0.00;83;8715.00
2026-09-18;09:50:00;OPONEO-PL;OPN (OPONEO.PL);18;105.8000;0.2000;0.19;45;4752.40
2026-09-18;09:51:00;OPONEO-PL;OPN (OPONEO.PL);19;105.6000;0.0000;0.00;47;4963.20
2026-09-18;09:58:00;OPONEO-PL;OPN (OPONEO.PL);20;104.6000;-0.4000;-0.38;167;17524.40
2026-09-18;10:06:00;OPONEO-PL;OPN (OPONEO.PL);21;105.8000;0.2000;0.19;225;23802.00
2026-09-18;10:07:00;OPONEO-PL;OPN (OPONEO.PL);22;105.8000;0.0000;0.00;19;2010.20
2026-09-18;10:11:00;OPONEO-PL;OPN (OPONEO.PL);23;105.8000;0.2000;0.19;150;15852.40
2026-09-18;10:12:00;OPONEO-PL;OPN (OPONEO.PL);24;105.0000;0.0000;0.00;1;105.00
2026-09-18;10:14:00;OPONEO-PL;OPN (OPONEO.PL);25;105.6000;0.6000;0.57;58;6100.80
2026-09-18;10:17:00;OPONEO-PL;OPN (OPONEO.PL);26;105.8000;0.2000;0.19;37;3913.20
2026-09-18;10:18:00;OPONEO-PL;OPN (OPONEO.PL);27;105.8000;0.0000;0.00;13;1375.40
2026-09-18;10:20:00;OPONEO-PL;OPN (OPONEO.PL);28;105.8000;0.0000;0.00;2;211.60
2026-09-18;10:24:00;OPONEO-PL;OPN (OPONEO.PL);29;105.0000;0.0000;0.00;1;105.00
2026-09-18;10:28:00;OPONEO-PL;OPN (OPONEO.PL);30;105.2000;0.0000;0.00;48;5049.60
2026-09-18;10:33:00;OPONEO-PL;OPN (OPONEO.PL);31;105.8000;0.0000;0.00;1;105.80
2026-09-18;10:36:00;OPONEO-PL;OPN (OPONEO.PL);32;105.8000;0.0000;0.00;1;105.80
2026-09-18;10:42:00;OPONEO-PL;OPN (OPONEO.PL);33;105.4000;0.4000;0.38;19;2002.20
2026-09-18;10:43:00;OPONEO-PL;OPN (OPONEO.PL);34;105.8000;0.0000;0.00;15;1587.00
2026-09-18;10:50:00;OPONEO-PL;OPN (OPONEO.PL);35;105.8000;0.0000;0.00;5;529.00
2026-09-18;10:53:00;OPONEO-PL;OPN (OPONEO.PL);36;105.0000;0.0000;0.00;9;945.00
2026-09-18;10:54:00;OPONEO-PL;OPN (OPONEO.PL);37;105.6000;0.0000;0.00;43;4540.80
2026-09-18;11:01:00;OPONEO-PL;OPN (OPONEO.PL);38;105.8000;0.0000;0.00;8;846.40
2026-09-18;11:02:00;OPONEO-PL;OPN (OPONEO.PL);39;105.8000;0.0000;0.00;20;2116.00
2026-09-18;11:10:00;OPONEO-PL;OPN (OPONEO.PL);40;105.2000;0.0000;0.00;1;105.20
2026-09-18;11:11:00;OPONEO-PL;OPN (OPONEO.PL);41;105.0000;0.0000;0.00;9;945.00
2026-09-18;11:13:00;OPONEO-PL;OPN (OPONEO.PL);42;106.0000;1.0000;0.95;964;102037.20
2026-09-18;11:16:00;OPONEO-PL;OPN (OPONEO.PL);43;105.2000;0.0000;0.00;30;3156.00
2026-09-18;11:20:00;OPONEO-PL;OPN (OPONEO.PL);44;105.2000;0.0000;0.00;15;1578.00
2026-09-18;11:21:00;OPONEO-PL;OPN (OPONEO.PL);45;105.2000;0.0000;0.00;20;2104.00
2026-09-18;11:23:00;OPONEO-PL;OPN (OPONEO.PL);46;105.8000;0.0000;0.00;5;529.00
2026-09-18;11:37:00;OPONEO-PL;OPN (OPONEO.PL);47;105.8000;0.0000;0.00;6;634.80
2026-09-18;11:42:00;OPONEO-PL;OPN (OPONEO.PL);48;105.0000;0.0000;0.00;4;420.00
2026-09-18;11:43:00;OPONEO-PL;OPN (OPONEO.PL);49;105.2000;0.0000;0.00;100;10520.00
2026-09-18;11:48:00;OPONEO-PL;OPN (OPONEO.PL);50;105.8000;0.0000;0.00;15;1587.00
2026-09-18;11:49:00;OPONEO-PL;OPN (OPONEO.PL);51;105.8000;0.0000;0.00;9;952.20
2026-09-18;12:01:00;OPONEO-PL;OPN (OPONEO.PL);52;105.0000;0.0000;0.00;430;45150.00
2026-09-18;12:02:00;OPONEO-PL;OPN (OPONEO.PL);53;104.6000;0.0000;0.00;2;209.20
2026-09-18;12:03:00;OPONEO-PL;OPN (OPONEO.PL);54;104.6000;0.0000;0.00;5;523.00
2026-09-18;12:07:00;OPONEO-PL;OPN (OPONEO.PL);55;104.6000;0.0000;0.00;271;28346.60
2026-09-18;12:08:00;OPONEO-PL;OPN (OPONEO.PL);56;104.6000;0.0000;0.00;29;3033.40
2026-09-18;12:11:00;OPONEO-PL;OPN (OPONEO.PL);57;104.6000;0.0000;0.00;20;2092.00
2026-09-18;12:12:00;OPONEO-PL;OPN (OPONEO.PL);58;104.4000;0.0000;0.00;13;1357.20
2026-09-18;12:16:00;OPONEO-PL;OPN (OPONEO.PL);59;104.4000;0.0000;0.00;680;70992.00
2026-09-18;12:40:00;OPONEO-PL;OPN (OPONEO.PL);60;104.8000;0.0000;0.00;2;209.60
2026-09-18;12:41:00;OPONEO-PL;OPN (OPONEO.PL);61;105.2000;0.0000;0.00;70;7364.00
2026-09-18;12:43:00;OPONEO-PL;OPN (OPONEO.PL);62;105.2000;0.0000;0.00;30;3156.00
2026-09-18;12:46:00;OPONEO-PL;OPN (OPONEO.PL);63;105.0000;0.0000;0.00;66;6930.00
2026-09-18;12:54:00;OPONEO-PL;OPN (OPONEO.PL);64;105.4000;0.0000;0.00;5;527.00
2026-09-18;13:04:00;OPONEO-PL;OPN (OPONEO.PL);65;105.2000;0.0000;0.00;5;526.00
2026-09-18;13:06:00;OPONEO-PL;OPN (OPONEO.PL);66;105.2000;0.0000;0.00;50;5260.00
2026-09-18;13:14:00;OPONEO-PL;OPN (OPONEO.PL);67;105.4000;0.2000;0.19;95;10004.00
2026-09-18;13:17:00;OPONEO-PL;OPN (OPONEO.PL);68;105.4000;0.0000;0.00;4;421.60
2026-09-18;13:20:00;OPONEO-PL;OPN (OPONEO.PL);69;105.0000;0.0000;0.00;22;2310.00
2026-09-18;13:26:00;OPONEO-PL;OPN (OPONEO.PL);70;105.8000;0.4000;0.38;124;13091.40
2026-09-18;13:28:00;OPONEO-PL;OPN (OPONEO.PL);71;105.8000;0.0000;0.00;1;105.80
2026-09-18;13:29:00;OPONEO-PL;OPN (OPONEO.PL);72;105.8000;0.0000;0.00;10;1058.00
2026-09-18;13:33:00;OPONEO-PL;OPN (OPONEO.PL);73;105.8000;0.0000;0.00;20;2116.00
2026-09-18;13:35:00;OPONEO-PL;OPN (OPONEO.PL);74;104.8000;0.0000;0.00;5;524.00
2026-09-18;13:53:00;OPONEO-PL;OPN (OPONEO.PL);75;105.8000;0.2000;0.19;250;26442.00
2026-09-18;14:06:00;OPONEO-PL;OPN (OPONEO.PL);76;104.8000;0.0000;0.00;40;4192.00
2026-09-18;14:12:00;OPONEO-PL;OPN (OPONEO.PL);77;104.8000;0.0000;0.00;20;2096.00
2026-09-18;14:48:00;OPONEO-PL;OPN (OPONEO.PL);78;104.8000;0.0000;0.00;28;2934.40
2026-09-18;14:50:00;OPONEO-PL;OPN (OPONEO.PL);79;105.6000;0.0000;0.00;1;105.60
2026-09-18;15:17:00;OPONEO-PL;OPN (OPONEO.PL);80;105.6000;0.0000;0.00;28;2956.80
2026-09-18;15:18:00;OPONEO-PL;OPN (OPONEO.PL);81;105.8000;0.0000;0.00;5;529.00
2026-09-18;15:25:00;OPONEO-PL;OPN (OPONEO.PL);82;105.8000;0.0000;0.00;58;6136.40
2026-09-18;15:33:00;OPONEO-PL;OPN (OPONEO.PL);83;105.6000;0.0000;0.00;2;211.20
2026-09-18;15:36:00;OPONEO-PL;OPN (OPONEO.PL);84;105.0000;0.0000;0.00;33;3465.00
2026-09-18;15:37:00;OPONEO-PL;OPN (OPONEO.PL);85;105.0000;0.0000;0.00;50;5250.00
2026-09-18;15:39:00;OPONEO-PL;OPN (OPONEO.PL);86;105.0000;0.0000;0.00;50;5250.00
2026-09-18;15:41:00;OPONEO-PL;OPN (OPONEO.PL);87;105.0000;0.0000;0.00;50;5250.00
2026-09-18;15:45:00;OPONEO-PL;OPN (OPONEO.PL);88;105.4000;0.4000;0.38;1550;162337.40
2026-09-18;15:55:00;OPONEO-PL;OPN (OPONEO.PL);89;105.0000;0.0000;0.00;100;10500.00
2026-09-18;16:02:00;OPONEO-PL;OPN (OPONEO.PL);90;104.6000;0.0000;0.00;1;104.60
2026-09-18;16:05:00;OPONEO-PL;OPN (OPONEO.PL);91;105.4000;0.0000;0.00;3;316.20
2026-09-18;16:09:00;OPONEO-PL;OPN (OPONEO.PL);92;105.4000;0.0000;0.00;6;632.40
2026-09-18;16:10:00;OPONEO-PL;OPN (OPONEO.PL);93;105.8000;0.4000;0.38;37;3886.20
2026-09-18;16:13:00;OPONEO-PL;OPN (OPONEO.PL);94;104.0000;-0.8000;-0.76;195;20360.80
2026-09-18;16:17:00;OPONEO-PL;OPN (OPONEO.PL);95;104.2000;0.0000;0.00;1;104.20
2026-09-18;16:39:00;OPONEO-PL;OPN (OPONEO.PL);96;104.4000;0.0000;0.00;38;3967.20
2026-09-18;16:44:00;OPONEO-PL;OPN (OPONEO.PL);97;104.4000;0.0000;0.00;1;104.40
2026-09-18;16:45:00;OPONEO-PL;OPN (OPONEO.PL);98;105.0000;0.0000;0.00;31;3255.00
2026-09-18;17:00:00;OPONEO-PL;OPN (OPONEO.PL);99;104.0000;0.0000;0.00;2158;224432.00
2026-09-18;17:01:00;OPONEO-PL;OPN (OPONEO.PL);100;104.0000;0.0000;0.00;22;2288.00
