Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-25;09:00:00;OPTEAM;OPM (OPTEAM);1;5.7500;0.0000;0.00;30;172.50
2026-09-25;09:03:00;OPTEAM;OPM (OPTEAM);2;5.7500;0.0000;0.00;1152;6624.00
2026-09-25;09:05:00;OPTEAM;OPM (OPTEAM);3;5.7500;0.0000;0.00;168;966.00
2026-09-25;09:06:00;OPTEAM;OPM (OPTEAM);4;5.9500;0.1000;1.71;926;5479.20
2026-09-25;09:07:00;OPTEAM;OPM (OPTEAM);5;5.9500;0.2000;3.48;19;111.05
2026-09-25;09:13:00;OPTEAM;OPM (OPTEAM);6;5.9500;0.0000;0.00;150;892.50
2026-09-25;09:15:00;OPTEAM;OPM (OPTEAM);7;5.9500;0.0000;0.00;207;1231.65
2026-09-25;09:17:00;OPTEAM;OPM (OPTEAM);8;5.9500;0.0000;0.00;589;3504.55
2026-09-25;09:18:00;OPTEAM;OPM (OPTEAM);9;5.9500;0.0000;0.00;20;119.00
2026-09-25;09:35:00;OPTEAM;OPM (OPTEAM);10;5.7500;0.0000;0.00;939;5399.25
2026-09-25;09:43:00;OPTEAM;OPM (OPTEAM);11;6.0000;0.0500;0.84;1634;9774.55
2026-09-25;10:29:00;OPTEAM;OPM (OPTEAM);12;5.9500;0.0000;0.00;220;1309.00
2026-09-25;10:37:00;OPTEAM;OPM (OPTEAM);13;6.0000;0.0000;0.00;84;504.00
2026-09-25;10:42:00;OPTEAM;OPM (OPTEAM);14;5.8000;0.0000;0.00;150;870.00
2026-09-25;10:46:00;OPTEAM;OPM (OPTEAM);15;6.0000;0.0000;0.00;3270;19620.00
2026-09-25;10:50:00;OPTEAM;OPM (OPTEAM);16;6.0500;0.0500;0.83;50;302.20
2026-09-25;10:51:00;OPTEAM;OPM (OPTEAM);17;6.0500;0.0000;0.00;200;1210.00
2026-09-25;10:57:00;OPTEAM;OPM (OPTEAM);18;6.1500;0.1000;1.65;1250;7654.35
2026-09-25;10:59:00;OPTEAM;OPM (OPTEAM);19;6.1500;0.0000;0.00;216;1328.40
2026-09-25;11:01:00;OPTEAM;OPM (OPTEAM);20;6.2000;0.0000;0.00;255;1581.00
2026-09-25;11:02:00;OPTEAM;OPM (OPTEAM);21;6.2000;0.0000;0.00;179;1109.80
2026-09-25;11:10:00;OPTEAM;OPM (OPTEAM);22;6.2000;0.0000;0.00;1;6.20
2026-09-25;11:18:00;OPTEAM;OPM (OPTEAM);23;6.0500;0.0000;0.00;20;121.00
2026-09-25;11:19:00;OPTEAM;OPM (OPTEAM);24;6.0500;0.0000;0.00;64;387.20
2026-09-25;11:20:00;OPTEAM;OPM (OPTEAM);25;6.1000;0.0500;0.83;49;297.10
2026-09-25;11:21:00;OPTEAM;OPM (OPTEAM);26;6.1000;0.1000;1.67;71;427.00
2026-09-25;11:22:00;OPTEAM;OPM (OPTEAM);27;6.1000;0.1000;1.67;1739;10507.90
2026-09-25;11:23:00;OPTEAM;OPM (OPTEAM);28;6.1000;0.0000;0.00;500;3050.00
2026-09-25;11:26:00;OPTEAM;OPM (OPTEAM);29;6.1500;0.0500;0.82;123;755.55
2026-09-25;11:28:00;OPTEAM;OPM (OPTEAM);30;6.1500;0.0000;0.00;1150;7072.50
2026-09-25;11:30:00;OPTEAM;OPM (OPTEAM);31;6.1500;0.0000;0.00;276;1697.40
2026-09-25;11:57:00;OPTEAM;OPM (OPTEAM);32;6.1000;0.0000;0.00;100;610.00
2026-09-25;12:01:00;OPTEAM;OPM (OPTEAM);33;6.1000;0.0000;0.00;115;701.50
2026-09-25;12:20:00;OPTEAM;OPM (OPTEAM);34;6.1500;0.0500;0.82;985;6032.75
2026-09-25;12:21:00;OPTEAM;OPM (OPTEAM);35;6.2500;0.1000;1.63;1500;9230.90
2026-09-25;12:29:00;OPTEAM;OPM (OPTEAM);36;6.2000;0.0000;0.00;200;1240.00
