Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-18;09:00:00;ORANGE;OPL (ORANGEPL);1;14.0450;0.0000;0.00;398;5589.89
2026-09-18;09:01:00;ORANGE;OPL (ORANGEPL);2;13.8200;-0.0950;-0.68;6199;85935.06
2026-09-18;09:03:00;ORANGE;OPL (ORANGEPL);3;13.8000;-0.0300;-0.22;1966;27152.84
2026-09-18;09:04:00;ORANGE;OPL (ORANGEPL);4;13.8650;0.0650;0.47;51;704.72
2026-09-18;09:05:00;ORANGE;OPL (ORANGEPL);5;13.7900;-0.0150;-0.11;4878;67314.15
2026-09-18;09:06:00;ORANGE;OPL (ORANGEPL);6;13.7950;-0.0050;-0.04;501;6913.80
2026-09-18;09:07:00;ORANGE;OPL (ORANGEPL);7;13.7500;-0.0300;-0.22;1200;16515.00
2026-09-18;09:08:00;ORANGE;OPL (ORANGEPL);8;13.7500;0.0100;0.07;2458;33783.27
2026-09-18;09:09:00;ORANGE;OPL (ORANGEPL);9;13.7500;0.0200;0.15;1208;16600.78
2026-09-18;09:10:00;ORANGE;OPL (ORANGEPL);10;13.7150;0.0000;0.00;770;10560.55
2026-09-18;09:11:00;ORANGE;OPL (ORANGEPL);11;13.7000;-0.0100;-0.07;2074;28427.48
2026-09-18;09:12:00;ORANGE;OPL (ORANGEPL);12;13.7300;0.0000;0.00;74;1016.02
2026-09-18;09:13:00;ORANGE;OPL (ORANGEPL);13;13.7000;-0.0200;-0.15;944;12945.05
2026-09-18;09:14:00;ORANGE;OPL (ORANGEPL);14;13.7400;0.0200;0.15;2420;33193.37
2026-09-18;09:15:00;ORANGE;OPL (ORANGEPL);15;13.7550;0.0150;0.11;956;13147.60
2026-09-18;09:16:00;ORANGE;OPL (ORANGEPL);16;13.7300;-0.0100;-0.07;299;4106.26
2026-09-18;09:17:00;ORANGE;OPL (ORANGEPL);17;13.7650;0.0400;0.29;1478;20300.25
2026-09-18;09:18:00;ORANGE;OPL (ORANGEPL);18;13.7600;0.0000;0.00;7;96.32
2026-09-18;09:19:00;ORANGE;OPL (ORANGEPL);19;13.7750;0.0150;0.11;3557;49025.25
2026-09-18;09:20:00;ORANGE;OPL (ORANGEPL);20;13.7950;0.0300;0.22;2331;32135.10
2026-09-18;09:21:00;ORANGE;OPL (ORANGEPL);21;13.7850;-0.0150;-0.11;943;13000.34
2026-09-18;09:23:00;ORANGE;OPL (ORANGEPL);22;13.7600;0.0050;0.04;570;7842.20
2026-09-18;09:26:00;ORANGE;OPL (ORANGEPL);23;13.7950;0.0450;0.33;2539;34932.62
2026-09-18;09:27:00;ORANGE;OPL (ORANGEPL);24;13.7700;-0.0050;-0.04;2053;28274.98
2026-09-18;09:28:00;ORANGE;OPL (ORANGEPL);25;13.7700;0.0000;0.00;1297;17859.69
2026-09-18;09:29:00;ORANGE;OPL (ORANGEPL);26;13.7700;-0.0150;-0.11;359;4943.45
2026-09-18;09:30:00;ORANGE;OPL (ORANGEPL);27;13.7650;0.0000;0.00;39;536.83
2026-09-18;09:31:00;ORANGE;OPL (ORANGEPL);28;13.7550;-0.0150;-0.11;482;6633.71
2026-09-18;09:32:00;ORANGE;OPL (ORANGEPL);29;13.7700;0.0050;0.04;1318;18143.55
2026-09-18;09:33:00;ORANGE;OPL (ORANGEPL);30;13.7750;-0.0100;-0.07;490;6751.01
2026-09-18;09:35:00;ORANGE;OPL (ORANGEPL);31;13.7600;-0.0200;-0.15;1306;17989.90
2026-09-18;09:37:00;ORANGE;OPL (ORANGEPL);32;13.7800;0.0100;0.07;4148;57202.05
2026-09-18;09:38:00;ORANGE;OPL (ORANGEPL);33;13.7800;0.0000;0.00;1858;25600.89
2026-09-18;09:39:00;ORANGE;OPL (ORANGEPL);34;13.7700;0.0000;0.00;33;454.41
2026-09-18;09:40:00;ORANGE;OPL (ORANGEPL);35;13.7700;0.0000;0.00;42;578.34
2026-09-18;09:41:00;ORANGE;OPL (ORANGEPL);36;13.7800;0.0000;0.00;72;992.16
2026-09-18;09:42:00;ORANGE;OPL (ORANGEPL);37;13.7800;0.0000;0.00;7;96.46
2026-09-18;09:43:00;ORANGE;OPL (ORANGEPL);38;13.7650;-0.0150;-0.11;836;11510.87
2026-09-18;09:44:00;ORANGE;OPL (ORANGEPL);39;13.7600;0.0000;0.00;378;5201.28
2026-09-18;09:45:00;ORANGE;OPL (ORANGEPL);40;13.7650;0.0000;0.00;1;13.77
2026-09-18;09:48:00;ORANGE;OPL (ORANGEPL);41;13.7550;0.0000;0.00;73;1004.12
2026-09-18;09:50:00;ORANGE;OPL (ORANGEPL);42;13.7550;0.0000;0.00;662;9105.81
2026-09-18;09:51:00;ORANGE;OPL (ORANGEPL);43;13.7800;0.0200;0.15;3166;43573.14
2026-09-18;09:54:00;ORANGE;OPL (ORANGEPL);44;13.7700;0.0000;0.00;35;481.95
2026-09-18;09:55:00;ORANGE;OPL (ORANGEPL);45;13.7700;-0.0150;-0.11;2495;34359.33
2026-09-18;09:57:00;ORANGE;OPL (ORANGEPL);46;13.7700;0.0000;0.00;828;11401.56
2026-09-18;09:58:00;ORANGE;OPL (ORANGEPL);47;13.7750;0.0000;0.00;220;3030.50
2026-09-18;09:59:00;ORANGE;OPL (ORANGEPL);48;13.7750;0.0000;0.00;1;13.78
2026-09-18;10:00:00;ORANGE;OPL (ORANGEPL);49;13.7750;0.0000;0.00;2;27.56
2026-09-18;10:01:00;ORANGE;OPL (ORANGEPL);50;13.7750;0.0000;0.00;200;2755.00
2026-09-18;10:06:00;ORANGE;OPL (ORANGEPL);51;13.7650;-0.0150;-0.11;1092;15038.88
2026-09-18;10:07:00;ORANGE;OPL (ORANGEPL);52;13.7600;0.0000;0.00;66;908.16
2026-09-18;10:09:00;ORANGE;OPL (ORANGEPL);53;13.7500;-0.0250;-0.18;2084;28674.39
2026-09-18;10:10:00;ORANGE;OPL (ORANGEPL);54;13.7300;-0.0200;-0.15;7212;99094.77
2026-09-18;10:11:00;ORANGE;OPL (ORANGEPL);55;13.7200;0.0000;0.00;368;5048.96
2026-09-18;10:12:00;ORANGE;OPL (ORANGEPL);56;13.7250;0.0050;0.04;1970;27030.52
2026-09-18;10:13:00;ORANGE;OPL (ORANGEPL);57;13.7000;-0.0150;-0.11;6599;90456.46
2026-09-18;10:14:00;ORANGE;OPL (ORANGEPL);58;13.7300;0.0400;0.29;2796;38336.61
2026-09-18;10:15:00;ORANGE;OPL (ORANGEPL);59;13.7400;0.0000;0.00;36;494.64
2026-09-18;10:17:00;ORANGE;OPL (ORANGEPL);60;13.7300;-0.0100;-0.07;455;6248.65
2026-09-18;10:19:00;ORANGE;OPL (ORANGEPL);61;13.7300;0.0000;0.00;37;508.01
2026-09-18;10:20:00;ORANGE;OPL (ORANGEPL);62;13.7100;-0.0100;-0.07;1762;24167.24
2026-09-18;10:21:00;ORANGE;OPL (ORANGEPL);63;13.7000;0.0000;0.00;102;1397.40
2026-09-18;10:22:00;ORANGE;OPL (ORANGEPL);64;13.7000;0.0000;0.00;1613;22095.23
2026-09-18;10:23:00;ORANGE;OPL (ORANGEPL);65;13.6700;-0.0150;-0.11;3232;44215.02
2026-09-18;10:24:00;ORANGE;OPL (ORANGEPL);66;13.6800;0.0000;0.00;37;505.84
2026-09-18;10:25:00;ORANGE;OPL (ORANGEPL);67;13.6700;0.0000;0.00;59;806.53
2026-09-18;10:26:00;ORANGE;OPL (ORANGEPL);68;13.6800;0.0000;0.00;62;848.16
2026-09-18;10:28:00;ORANGE;OPL (ORANGEPL);69;13.6200;-0.0600;-0.44;5164;70442.93
2026-09-18;10:29:00;ORANGE;OPL (ORANGEPL);70;13.6250;0.0050;0.04;2486;33847.95
