Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-15;09:00:00;ORLEN;PKN (PKNORLEN);1;145.3600;-0.6400;-0.44;19170;2797585.56
2026-07-15;09:01:00;ORLEN;PKN (PKNORLEN);2;145.2600;-0.1600;-0.11;1130;164230.12
2026-07-15;09:02:00;ORLEN;PKN (PKNORLEN);3;145.3000;0.0400;0.03;597;86710.00
2026-07-15;09:03:00;ORLEN;PKN (PKNORLEN);4;145.4200;0.2200;0.15;10113;1465239.70
2026-07-15;09:04:00;ORLEN;PKN (PKNORLEN);5;145.1600;-0.1000;-0.07;1351;196028.74
2026-07-15;09:05:00;ORLEN;PKN (PKNORLEN);6;145.2200;0.1000;0.07;1052;152890.30
2026-07-15;09:06:00;ORLEN;PKN (PKNORLEN);7;145.2400;-0.1600;-0.11;96;13939.10
2026-07-15;09:07:00;ORLEN;PKN (PKNORLEN);8;144.8200;-0.2800;-0.19;1514;219414.22
2026-07-15;09:08:00;ORLEN;PKN (PKNORLEN);9;144.8400;0.0400;0.03;697;100946.32
2026-07-15;09:09:00;ORLEN;PKN (PKNORLEN);10;144.9200;0.1400;0.10;1425;206459.94
2026-07-15;09:10:00;ORLEN;PKN (PKNORLEN);11;144.7600;-0.1600;-0.11;2164;313432.32
2026-07-15;09:11:00;ORLEN;PKN (PKNORLEN);12;144.9000;0.1400;0.10;514;74473.64
2026-07-15;09:12:00;ORLEN;PKN (PKNORLEN);13;144.7800;-0.1400;-0.10;1370;198390.82
2026-07-15;09:13:00;ORLEN;PKN (PKNORLEN);14;144.8800;0.1400;0.10;525;76010.90
2026-07-15;09:14:00;ORLEN;PKN (PKNORLEN);15;144.8600;0.1000;0.07;1145;165840.02
2026-07-15;09:15:00;ORLEN;PKN (PKNORLEN);16;145.0400;0.2800;0.19;3986;577861.02
2026-07-15;09:16:00;ORLEN;PKN (PKNORLEN);17;145.2400;0.1400;0.10;1749;253917.24
2026-07-15;09:17:00;ORLEN;PKN (PKNORLEN);18;145.2600;0.0600;0.04;1847;268171.48
2026-07-15;09:18:00;ORLEN;PKN (PKNORLEN);19;145.1600;0.0000;0.00;396;57477.92
