Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-23;09:25:00;OT-LOGISTICS;OTS (OTLOG);1;15.9000;-0.0600;-0.38;366;5831.00
2026-07-23;09:30:00;OT-LOGISTICS;OTS (OTLOG);2;15.5600;-0.3200;-2.02;362;5671.02
2026-07-23;09:35:00;OT-LOGISTICS;OTS (OTLOG);3;15.2000;-0.3800;-2.44;500;7656.66
2026-07-23;09:48:00;OT-LOGISTICS;OTS (OTLOG);4;15.3200;0.0000;0.00;37;566.84
2026-07-23;09:53:00;OT-LOGISTICS;OTS (OTLOG);5;15.3400;0.0000;0.00;30;460.20
2026-07-23;09:54:00;OT-LOGISTICS;OTS (OTLOG);6;15.6000;0.0000;0.00;1142;17815.20
2026-07-23;10:04:00;OT-LOGISTICS;OTS (OTLOG);7;15.6000;0.0000;0.00;28;436.80
2026-07-23;10:16:00;OT-LOGISTICS;OTS (OTLOG);8;15.6000;0.0200;0.13;102;1591.10
2026-07-23;10:25:00;OT-LOGISTICS;OTS (OTLOG);9;15.7800;0.0400;0.25;100;1576.60
2026-07-23;10:27:00;OT-LOGISTICS;OTS (OTLOG);10;15.8800;0.1000;0.63;159;2509.52
2026-07-23;10:29:00;OT-LOGISTICS;OTS (OTLOG);11;15.8800;0.0000;0.00;141;2239.08
2026-07-23;10:30:00;OT-LOGISTICS;OTS (OTLOG);12;16.0000;0.0200;0.13;300;4794.14
2026-07-23;10:41:00;OT-LOGISTICS;OTS (OTLOG);13;16.0000;0.0000;0.00;15;240.00
2026-07-23;11:00:00;OT-LOGISTICS;OTS (OTLOG);14;15.6400;0.0000;0.00;10;156.40
2026-07-23;11:05:00;OT-LOGISTICS;OTS (OTLOG);15;15.6400;0.0000;0.00;290;4535.60
2026-07-23;11:47:00;OT-LOGISTICS;OTS (OTLOG);16;15.9800;0.0200;0.13;200;3192.20
2026-07-23;13:17:00;OT-LOGISTICS;OTS (OTLOG);17;15.8400;0.0000;0.00;5;79.20
2026-07-23;14:38:00;OT-LOGISTICS;OTS (OTLOG);18;15.6000;-0.0600;-0.38;32;500.68
2026-07-23;15:07:00;OT-LOGISTICS;OTS (OTLOG);19;15.8200;0.0000;0.00;20;316.40
2026-07-23;15:18:00;OT-LOGISTICS;OTS (OTLOG);20;15.6400;-0.1800;-1.14;100;1578.40
2026-07-23;16:21:00;OT-LOGISTICS;OTS (OTLOG);21;15.8200;0.0000;0.00;15;237.30
