Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-16;09:06:00;PATENTUS;PAT (PATENTUS);1;1.8600;0.0050;0.27;2000;3716.50
2026-09-16;09:16:00;PATENTUS;PAT (PATENTUS);2;1.8600;0.0000;0.00;196;364.56
2026-09-16;09:29:00;PATENTUS;PAT (PATENTUS);3;1.9500;0.0000;0.00;100;195.00
2026-09-16;10:00:00;PATENTUS;PAT (PATENTUS);4;1.9300;0.0000;0.00;140;270.20
2026-09-16;10:25:00;PATENTUS;PAT (PATENTUS);5;1.8500;-0.0250;-1.33;5164;9607.24
2026-09-16;10:31:00;PATENTUS;PAT (PATENTUS);6;1.8500;0.0000;0.00;144;266.40
2026-09-16;10:43:00;PATENTUS;PAT (PATENTUS);7;1.8500;0.0000;0.00;1383;2558.55
2026-09-16;11:24:00;PATENTUS;PAT (PATENTUS);8;1.9200;0.0000;0.00;100;192.00
2026-09-16;12:15:00;PATENTUS;PAT (PATENTUS);9;1.9100;0.0000;0.00;150;286.50
2026-09-16;13:18:00;PATENTUS;PAT (PATENTUS);10;1.9200;0.0000;0.00;79;151.68
2026-09-16;14:16:00;PATENTUS;PAT (PATENTUS);11;1.9200;0.0000;0.00;300;576.00
2026-09-16;14:28:00;PATENTUS;PAT (PATENTUS);12;1.9200;0.0000;0.00;15;28.80
2026-09-16;15:09:00;PATENTUS;PAT (PATENTUS);13;1.8300;-0.0100;-0.54;2000;3666.00
2026-09-16;15:57:00;PATENTUS;PAT (PATENTUS);14;1.8200;-0.0100;-0.55;2000;3648.50
2026-09-16;16:18:00;PATENTUS;PAT (PATENTUS);15;1.8500;0.0000;0.00;540;999.00
