Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-04;09:00:00;PCC-EXOL;PCX (PCCEXOL);1;2.0500;0.0000;0.00;50;102.50
2026-09-04;09:02:00;PCC-EXOL;PCX (PCCEXOL);2;2.0500;0.0200;0.99;1500;3061.00
2026-09-04;09:03:00;PCC-EXOL;PCX (PCCEXOL);3;2.0600;0.0000;0.00;1200;2472.00
2026-09-04;09:14:00;PCC-EXOL;PCX (PCCEXOL);4;2.0500;0.0000;0.00;10;20.50
2026-09-04;09:21:00;PCC-EXOL;PCX (PCCEXOL);5;2.0500;0.0000;0.00;106;217.30
2026-09-04;09:28:00;PCC-EXOL;PCX (PCCEXOL);6;2.0500;0.0000;0.00;650;1332.50
2026-09-04;09:40:00;PCC-EXOL;PCX (PCCEXOL);7;2.0500;0.0000;0.00;50;102.50
2026-09-04;09:44:00;PCC-EXOL;PCX (PCCEXOL);8;2.0400;0.0000;0.00;30;61.20
2026-09-04;09:45:00;PCC-EXOL;PCX (PCCEXOL);9;2.0400;0.0000;0.00;1500;3060.00
2026-09-04;10:50:00;PCC-EXOL;PCX (PCCEXOL);10;2.0500;0.0000;0.00;10;20.50
2026-09-04;10:55:00;PCC-EXOL;PCX (PCCEXOL);11;2.0400;0.0000;0.00;700;1428.00
2026-09-04;11:08:00;PCC-EXOL;PCX (PCCEXOL);12;2.0500;0.0000;0.00;728;1492.40
2026-09-04;11:18:00;PCC-EXOL;PCX (PCCEXOL);13;2.0400;0.0000;0.00;1000;2040.00
2026-09-04;11:46:00;PCC-EXOL;PCX (PCCEXOL);14;2.0500;0.0000;0.00;1500;3075.00
2026-09-04;11:49:00;PCC-EXOL;PCX (PCCEXOL);15;2.0500;0.0000;0.00;1;2.05
2026-09-04;12:27:00;PCC-EXOL;PCX (PCCEXOL);16;2.0300;0.0000;0.00;5000;10150.00
2026-09-04;12:37:00;PCC-EXOL;PCX (PCCEXOL);17;2.0200;-0.0100;-0.49;500;1012.80
2026-09-04;12:50:00;PCC-EXOL;PCX (PCCEXOL);18;2.0400;0.0000;0.00;100;204.00
2026-09-04;13:38:00;PCC-EXOL;PCX (PCCEXOL);19;2.0400;0.0000;0.00;1000;2040.00
2026-09-04;15:20:00;PCC-EXOL;PCX (PCCEXOL);20;2.0300;0.0000;0.00;100;203.00
