Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-15;09:00:00;PCF;PCF (PCFGROUP);1;3.1600;0.0000;0.00;65;205.40
2026-07-15;09:01:00;PCF;PCF (PCFGROUP);2;3.2000;0.0000;0.00;25;80.00
2026-07-15;09:34:00;PCF;PCF (PCFGROUP);3;3.1600;-0.0050;-0.16;370;1169.33
2026-07-15;10:17:00;PCF;PCF (PCFGROUP);4;3.1600;0.0000;0.00;300;948.00
2026-07-15;10:23:00;PCF;PCF (PCFGROUP);5;3.1600;-0.0050;-0.16;260;821.64
2026-07-15;10:34:00;PCF;PCF (PCFGROUP);6;3.1950;0.0000;0.00;42;134.19
2026-07-15;10:35:00;PCF;PCF (PCFGROUP);7;3.1950;0.0050;0.16;50;159.63
2026-07-15;11:21:00;PCF;PCF (PCFGROUP);8;3.1600;-0.0050;-0.16;30;94.94
2026-07-15;12:33:00;PCF;PCF (PCFGROUP);9;3.1800;0.0000;0.00;10;31.80
2026-07-15;12:57:00;PCF;PCF (PCFGROUP);10;3.1800;0.0000;0.00;21;66.78
2026-07-15;13:41:00;PCF;PCF (PCFGROUP);11;3.1800;0.0000;0.00;17;54.06
2026-07-15;13:42:00;PCF;PCF (PCFGROUP);12;3.1750;0.0000;0.00;33;104.78
2026-07-15;13:48:00;PCF;PCF (PCFGROUP);13;3.1750;0.0000;0.00;24;76.20
2026-07-15;13:52:00;PCF;PCF (PCFGROUP);14;3.1800;0.0000;0.00;50;159.00
2026-07-15;14:08:00;PCF;PCF (PCFGROUP);15;3.1800;0.0000;0.00;50;159.00
2026-07-15;14:12:00;PCF;PCF (PCFGROUP);16;3.1750;0.0000;0.00;253;803.27
2026-07-15;14:38:00;PCF;PCF (PCFGROUP);17;3.1750;0.0000;0.00;80;254.00
2026-07-15;15:42:00;PCF;PCF (PCFGROUP);18;3.1750;0.0000;0.00;2;6.35
2026-07-15;16:48:00;PCF;PCF (PCFGROUP);19;3.1600;-0.0050;-0.16;36;113.78
2026-07-15;17:00:00;PCF;PCF (PCFGROUP);20;3.1800;0.0000;0.00;25;79.50
