Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-11;09:00:00;PCO;PCO (PEPCO);1;40.2700;0.1000;0.25;7810;314156.51
2026-09-11;09:01:00;PCO;PCO (PEPCO);2;40.2500;-0.0400;-0.10;4017;161623.81
2026-09-11;09:02:00;PCO;PCO (PEPCO);3;40.3700;-0.0700;-0.17;117;4725.79
2026-09-11;09:03:00;PCO;PCO (PEPCO);4;40.4200;0.0000;0.00;228;9215.51
2026-09-11;09:04:00;PCO;PCO (PEPCO);5;40.4500;0.0300;0.07;2203;89052.70
2026-09-11;09:05:00;PCO;PCO (PEPCO);6;40.4400;-0.0100;-0.02;4965;200717.97
2026-09-11;09:06:00;PCO;PCO (PEPCO);7;40.5000;0.0700;0.17;1544;62479.02
2026-09-11;09:07:00;PCO;PCO (PEPCO);8;40.5000;0.0400;0.10;526;21283.08
2026-09-11;09:08:00;PCO;PCO (PEPCO);9;40.5000;0.0400;0.10;1397;56578.38
2026-09-11;09:09:00;PCO;PCO (PEPCO);10;40.5600;0.0300;0.07;549;22252.47
2026-09-11;09:10:00;PCO;PCO (PEPCO);11;40.5600;0.0000;0.00;1260;51105.60
2026-09-11;09:11:00;PCO;PCO (PEPCO);12;40.5000;-0.0600;-0.15;4998;202459.94
2026-09-11;09:12:00;PCO;PCO (PEPCO);13;40.5700;0.0800;0.20;2475;100345.73
2026-09-11;09:14:00;PCO;PCO (PEPCO);14;40.5700;0.0200;0.05;635;25758.36
2026-09-11;09:15:00;PCO;PCO (PEPCO);15;40.4400;-0.1100;-0.27;7678;310985.00
2026-09-11;09:16:00;PCO;PCO (PEPCO);16;40.3700;-0.0900;-0.22;6828;275728.81
2026-09-11;09:17:00;PCO;PCO (PEPCO);17;40.4500;0.0600;0.15;4347;175644.03
2026-09-11;09:18:00;PCO;PCO (PEPCO);18;40.3500;-0.0600;-0.15;4689;189333.61
2026-09-11;09:19:00;PCO;PCO (PEPCO);19;40.3100;0.0200;0.05;1568;63192.92
2026-09-11;09:20:00;PCO;PCO (PEPCO);20;40.3200;0.0300;0.07;4788;193031.68
2026-09-11;09:21:00;PCO;PCO (PEPCO);21;40.3100;0.0100;0.02;298;12009.42
2026-09-11;09:22:00;PCO;PCO (PEPCO);22;40.2900;-0.0100;-0.02;782;31511.39
2026-09-11;09:23:00;PCO;PCO (PEPCO);23;40.3100;0.0200;0.05;3423;137959.75
2026-09-11;09:24:00;PCO;PCO (PEPCO);24;40.3500;0.0000;0.00;35;1412.25
2026-09-11;09:25:00;PCO;PCO (PEPCO);25;40.2800;-0.0500;-0.12;2079;83756.52
