Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-20;09:00:00;PEKABEX;PBX (PEKABEX);1;9.9700;0.0000;0.00;55;548.35
2026-07-20;09:01:00;PEKABEX;PBX (PEKABEX);2;9.9700;0.0000;0.00;5;49.85
2026-07-20;09:04:00;PEKABEX;PBX (PEKABEX);3;9.9200;0.0000;0.00;29;287.68
2026-07-20;10:04:00;PEKABEX;PBX (PEKABEX);4;9.9300;0.0000;0.00;7;69.51
2026-07-20;10:17:00;PEKABEX;PBX (PEKABEX);5;9.9700;0.0000;0.00;24;239.28
2026-07-20;10:18:00;PEKABEX;PBX (PEKABEX);6;9.9300;0.0000;0.00;1005;9979.65
2026-07-20;10:23:00;PEKABEX;PBX (PEKABEX);7;9.9200;0.0000;0.00;8;79.36
2026-07-20;10:27:00;PEKABEX;PBX (PEKABEX);8;9.9200;0.0000;0.00;1113;11040.96
2026-07-20;10:44:00;PEKABEX;PBX (PEKABEX);9;9.9200;0.0000;0.00;22;218.24
2026-07-20;10:45:00;PEKABEX;PBX (PEKABEX);10;9.9700;0.0400;0.40;400;3980.20
2026-07-20;11:16:00;PEKABEX;PBX (PEKABEX);11;9.9900;0.0200;0.20;704;7031.08
2026-07-20;11:17:00;PEKABEX;PBX (PEKABEX);12;9.9900;0.0000;0.00;696;6953.04
2026-07-20;11:19:00;PEKABEX;PBX (PEKABEX);13;9.9900;0.0000;0.00;200;1998.00
2026-07-20;11:40:00;PEKABEX;PBX (PEKABEX);14;9.9900;0.0000;0.00;5;49.95
2026-07-20;12:43:00;PEKABEX;PBX (PEKABEX);15;9.9900;0.0000;0.00;299;2987.01
2026-07-20;12:44:00;PEKABEX;PBX (PEKABEX);16;9.9700;-0.0200;-0.20;121;1208.49
2026-07-20;12:50:00;PEKABEX;PBX (PEKABEX);17;9.9800;0.0200;0.20;40;398.60
2026-07-20;12:54:00;PEKABEX;PBX (PEKABEX);18;9.9300;-0.0100;-0.10;104;1032.82
2026-07-20;13:10:00;PEKABEX;PBX (PEKABEX);19;9.9300;0.0000;0.00;1;9.93
2026-07-20;13:26:00;PEKABEX;PBX (PEKABEX);20;9.9800;0.0000;0.00;1;9.98
2026-07-20;13:38:00;PEKABEX;PBX (PEKABEX);21;9.9600;0.0000;0.00;81;806.76
2026-07-20;13:42:00;PEKABEX;PBX (PEKABEX);22;9.9200;-0.0300;-0.30;1510;15024.20
2026-07-20;13:54:00;PEKABEX;PBX (PEKABEX);23;9.9200;0.0000;0.00;1240;12300.80
2026-07-20;14:13:00;PEKABEX;PBX (PEKABEX);24;9.9200;0.0000;0.00;260;2579.20
2026-07-20;15:07:00;PEKABEX;PBX (PEKABEX);25;9.9600;0.0000;0.00;2;19.92
2026-07-20;15:33:00;PEKABEX;PBX (PEKABEX);26;9.9200;0.0000;0.00;24;238.08
2026-07-20;16:29:00;PEKABEX;PBX (PEKABEX);27;9.9000;-0.0200;-0.20;1191;11798.47
2026-07-20;16:32:00;PEKABEX;PBX (PEKABEX);28;9.9000;0.0000;0.00;150;1485.00
2026-07-20;17:00:00;PEKABEX;PBX (PEKABEX);29;9.9000;0.0000;0.00;250;2475.00
