Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-17;09:00:00;PEKAO;PEO (PEKAO);1;268.5000;-1.1000;-0.41;1955;525267.10
2026-09-17;09:02:00;PEKAO;PEO (PEKAO);2;268.6000;0.4000;0.15;427;114579.40
2026-09-17;09:03:00;PEKAO;PEO (PEKAO);3;268.6000;0.0000;0.00;96;25785.60
2026-09-17;09:04:00;PEKAO;PEO (PEKAO);4;269.5000;0.7000;0.26;338;90912.80
2026-09-17;09:05:00;PEKAO;PEO (PEKAO);5;269.3000;-0.2000;-0.07;65;17516.70
2026-09-17;09:06:00;PEKAO;PEO (PEKAO);6;269.2000;-0.1000;-0.04;38;10231.00
2026-09-17;09:07:00;PEKAO;PEO (PEKAO);7;269.3000;-0.1000;-0.04;912;245682.20
2026-09-17;09:08:00;PEKAO;PEO (PEKAO);8;269.3000;-0.1000;-0.04;219;58977.50
2026-09-17;09:09:00;PEKAO;PEO (PEKAO);9;269.8000;0.1000;0.04;146;39376.30
2026-09-17;09:10:00;PEKAO;PEO (PEKAO);10;269.8000;0.0000;0.00;13;3506.00
2026-09-17;09:12:00;PEKAO;PEO (PEKAO);11;269.7000;0.0000;0.00;2;539.40
2026-09-17;09:13:00;PEKAO;PEO (PEKAO);12;269.5000;0.0000;0.00;1;269.50
2026-09-17;09:14:00;PEKAO;PEO (PEKAO);13;269.6000;-0.1000;-0.04;212;57194.70
2026-09-17;09:15:00;PEKAO;PEO (PEKAO);14;269.9000;0.3000;0.11;690;186238.40
2026-09-17;09:16:00;PEKAO;PEO (PEKAO);15;270.1000;0.2000;0.07;126;34013.80
2026-09-17;09:17:00;PEKAO;PEO (PEKAO);16;269.8000;0.0000;0.00;2;539.60
2026-09-17;09:18:00;PEKAO;PEO (PEKAO);17;269.7000;-0.4000;-0.15;1098;296315.90
2026-09-17;09:19:00;PEKAO;PEO (PEKAO);18;269.5000;0.0000;0.00;4;1078.00
2026-09-17;09:20:00;PEKAO;PEO (PEKAO);19;269.6000;0.0000;0.00;50;13480.00
2026-09-17;09:22:00;PEKAO;PEO (PEKAO);20;269.8000;0.0000;0.00;100;26980.00
2026-09-17;09:24:00;PEKAO;PEO (PEKAO);21;270.0000;0.1000;0.04;549;148142.60
2026-09-17;09:25:00;PEKAO;PEO (PEKAO);22;270.0000;0.2000;0.07;81;21860.00
2026-09-17;09:26:00;PEKAO;PEO (PEKAO);23;269.9000;-0.2000;-0.07;569;153573.50
2026-09-17;09:28:00;PEKAO;PEO (PEKAO);24;269.9000;0.0000;0.00;1;269.90
2026-09-17;09:29:00;PEKAO;PEO (PEKAO);25;269.7000;0.0000;0.00;163;43961.10
2026-09-17;09:30:00;PEKAO;PEO (PEKAO);26;269.7000;0.1000;0.04;548;147781.30
2026-09-17;09:31:00;PEKAO;PEO (PEKAO);27;269.8000;0.0000;0.00;141;38041.80
2026-09-17;09:32:00;PEKAO;PEO (PEKAO);28;269.9000;0.0000;0.00;100;26990.00
2026-09-17;09:33:00;PEKAO;PEO (PEKAO);29;270.0000;0.0000;0.00;53;14300.00
2026-09-17;09:35:00;PEKAO;PEO (PEKAO);30;269.9000;0.1000;0.04;801;216076.80
2026-09-17;09:36:00;PEKAO;PEO (PEKAO);31;269.6000;0.0000;0.00;3;808.80
