Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-24;09:00:00;PGE;PGE;1;10.2050;0.0150;0.15;35413;360663.03
2026-08-24;09:01:00;PGE;PGE;2;10.1700;-0.0300;-0.29;8349;84984.25
2026-08-24;09:02:00;PGE;PGE;3;10.2000;0.0200;0.20;16001;163188.97
2026-08-24;09:03:00;PGE;PGE;4;10.2400;0.0350;0.34;5718;58500.95
2026-08-24;09:04:00;PGE;PGE;5;10.2650;0.0250;0.24;6793;69702.95
2026-08-24;09:05:00;PGE;PGE;6;10.2850;0.0300;0.29;31408;323431.53
2026-08-24;09:06:00;PGE;PGE;7;10.2550;-0.0200;-0.19;1747;17926.47
2026-08-24;09:07:00;PGE;PGE;8;10.2500;-0.0050;-0.05;262;2685.56
2026-08-24;09:08:00;PGE;PGE;9;10.2150;-0.0200;-0.20;9170;93752.44
2026-08-24;09:09:00;PGE;PGE;10;10.2100;0.0050;0.05;2542;25931.15
2026-08-24;09:10:00;PGE;PGE;11;10.2000;0.0100;0.10;32620;332135.70
2026-08-24;09:11:00;PGE;PGE;12;10.2000;0.0000;0.00;8644;88144.13
2026-08-24;09:12:00;PGE;PGE;13;10.1600;-0.0300;-0.29;6996;71208.91
2026-08-24;09:13:00;PGE;PGE;14;10.1800;0.0100;0.10;521;5298.70
2026-08-24;09:14:00;PGE;PGE;15;10.1700;-0.0100;-0.10;12113;123344.27
2026-08-24;09:15:00;PGE;PGE;16;10.1950;0.0250;0.25;5848;59482.14
2026-08-24;09:16:00;PGE;PGE;17;10.1650;-0.0200;-0.20;1667;16971.71
2026-08-24;09:17:00;PGE;PGE;18;10.1550;-0.0050;-0.05;3892;39528.51
2026-08-24;09:18:00;PGE;PGE;19;10.1550;0.0050;0.05;2708;27498.43
2026-08-24;09:19:00;PGE;PGE;20;10.1400;-0.0100;-0.10;1971;19995.18
2026-08-24;09:20:00;PGE;PGE;21;10.1600;0.0050;0.05;13689;139019.51
2026-08-24;09:21:00;PGE;PGE;22;10.1650;0.0050;0.05;10615;107883.77
2026-08-24;09:22:00;PGE;PGE;23;10.1700;0.0000;0.00;736;7478.68
2026-08-24;09:23:00;PGE;PGE;24;10.1600;-0.0100;-0.10;1936;19680.94
2026-08-24;09:24:00;PGE;PGE;25;10.1550;0.0000;0.00;861;8743.45
2026-08-24;09:25:00;PGE;PGE;26;10.1700;0.0050;0.05;2394;24339.86
2026-08-24;09:26:00;PGE;PGE;27;10.1750;0.0000;0.00;16955;172530.67
2026-08-24;09:27:00;PGE;PGE;28;10.1850;0.0150;0.15;1626;16549.34
2026-08-24;09:28:00;PGE;PGE;29;10.1850;0.0000;0.00;431;4389.85
2026-08-24;09:29:00;PGE;PGE;30;10.1900;-0.0050;-0.05;1657;16875.90
2026-08-24;09:30:00;PGE;PGE;31;10.1950;0.0050;0.05;302;3078.14
2026-08-24;09:31:00;PGE;PGE;32;10.1950;0.0000;0.00;440;4485.80
2026-08-24;09:32:00;PGE;PGE;33;10.1850;0.0000;0.00;6;61.11
2026-08-24;09:33:00;PGE;PGE;34;10.1700;-0.0100;-0.10;4119;41923.97
2026-08-24;09:34:00;PGE;PGE;35;10.1900;0.0100;0.10;3256;33160.13
2026-08-24;09:35:00;PGE;PGE;36;10.2050;0.0250;0.25;7143;72818.91
2026-08-24;09:37:00;PGE;PGE;37;10.2100;0.0050;0.05;1182;12067.97
2026-08-24;09:38:00;PGE;PGE;38;10.1900;-0.0150;-0.15;9983;101823.13
2026-08-24;09:39:00;PGE;PGE;39;10.1850;0.0050;0.05;10831;110264.62
2026-08-24;09:40:00;PGE;PGE;40;10.1800;0.0000;0.00;30;305.40
2026-08-24;09:42:00;PGE;PGE;41;10.1800;0.0100;0.10;1447;14716.67
2026-08-24;09:43:00;PGE;PGE;42;10.1650;-0.0050;-0.05;2326;23648.97
2026-08-24;09:44:00;PGE;PGE;43;10.2050;0.0400;0.39;16756;170585.48
2026-08-24;09:45:00;PGE;PGE;44;10.2150;0.0200;0.20;1228;12532.08
2026-08-24;09:46:00;PGE;PGE;45;10.1950;-0.0050;-0.05;32177;328219.92
2026-08-24;09:47:00;PGE;PGE;46;10.2050;0.0050;0.05;1024;10448.92
2026-08-24;09:48:00;PGE;PGE;47;10.2000;0.0000;0.00;1000;10200.00
2026-08-24;09:49:00;PGE;PGE;48;10.1900;-0.0150;-0.15;3018;30757.81
2026-08-24;09:50:00;PGE;PGE;49;10.2200;0.0200;0.20;8944;91246.88
2026-08-24;09:52:00;PGE;PGE;50;10.2350;0.0150;0.15;6996;71542.91
2026-08-24;09:53:00;PGE;PGE;51;10.2250;-0.0100;-0.10;49875;510621.99
2026-08-24;09:54:00;PGE;PGE;52;10.2050;-0.0150;-0.15;25070;256223.75
2026-08-24;09:55:00;PGE;PGE;53;10.2050;0.0000;0.00;1452;14817.67
2026-08-24;09:57:00;PGE;PGE;54;10.2050;0.0000;0.00;934;9531.47
2026-08-24;09:59:00;PGE;PGE;55;10.2100;0.0050;0.05;3724;38006.43
2026-08-24;10:00:00;PGE;PGE;56;10.1700;-0.0400;-0.39;10695;109019.51
2026-08-24;10:01:00;PGE;PGE;57;10.1650;0.0000;0.00;1131;11496.61
2026-08-24;10:02:00;PGE;PGE;58;10.1750;0.0000;0.00;1966;20004.05
2026-08-24;10:03:00;PGE;PGE;59;10.1800;0.0000;0.00;169;1720.42
2026-08-24;10:04:00;PGE;PGE;60;10.1700;-0.0100;-0.10;2493;25366.11
2026-08-24;10:05:00;PGE;PGE;61;10.1850;0.0150;0.15;7254;73864.54
2026-08-24;10:06:00;PGE;PGE;62;10.1850;0.0000;0.00;200;2037.00
2026-08-24;10:07:00;PGE;PGE;63;10.1700;-0.0150;-0.15;4674;47557.27
2026-08-24;10:08:00;PGE;PGE;64;10.1750;-0.0050;-0.05;1251;12725.64
2026-08-24;10:10:00;PGE;PGE;65;10.2200;0.0400;0.39;32624;332844.10
2026-08-24;10:11:00;PGE;PGE;66;10.2350;0.0050;0.05;43442;444401.31
2026-08-24;10:12:00;PGE;PGE;67;10.2400;0.0100;0.10;1899;19435.76
2026-08-24;10:13:00;PGE;PGE;68;10.2350;0.0050;0.05;1092;11172.02
2026-08-24;10:14:00;PGE;PGE;69;10.2750;0.0400;0.39;6563;67234.79
2026-08-24;10:15:00;PGE;PGE;70;10.2950;0.0200;0.19;8323;85596.68
2026-08-24;10:16:00;PGE;PGE;71;10.2750;-0.0150;-0.15;1363;14023.95
2026-08-24;10:17:00;PGE;PGE;72;10.2900;0.0000;0.00;1050;10804.43
2026-08-24;10:18:00;PGE;PGE;73;10.2800;-0.0100;-0.10;59;606.71
2026-08-24;10:19:00;PGE;PGE;74;10.3100;0.0200;0.19;19078;196684.97
2026-08-24;10:20:00;PGE;PGE;75;10.2900;-0.0050;-0.05;13100;134889.38
2026-08-24;10:21:00;PGE;PGE;76;10.3000;0.0000;0.00;970;9991.00
2026-08-24;10:22:00;PGE;PGE;77;10.3000;0.0000;0.00;5645;58157.76
2026-08-24;10:23:00;PGE;PGE;78;10.3100;0.0000;0.00;3945;40672.95
2026-08-24;10:24:00;PGE;PGE;79;10.3050;0.0050;0.05;6502;66964.15
2026-08-24;10:25:00;PGE;PGE;80;10.2850;0.0000;0.00;300;3085.50
2026-08-24;10:26:00;PGE;PGE;81;10.3100;0.0200;0.19;9690;99758.67
2026-08-24;10:27:00;PGE;PGE;82;10.3100;0.0000;0.00;200;2062.00
2026-08-24;10:28:00;PGE;PGE;83;10.2950;0.0000;0.00;4193;43149.18
2026-08-24;10:29:00;PGE;PGE;84;10.3100;0.0100;0.10;5159;53194.80
2026-08-24;10:30:00;PGE;PGE;85;10.3300;0.0150;0.15;7092;73095.41
2026-08-24;10:31:00;PGE;PGE;86;10.3300;0.0000;0.00;60;619.80
2026-08-24;10:32:00;PGE;PGE;87;10.3250;0.0000;0.00;7297;75365.30
2026-08-24;10:33:00;PGE;PGE;88;10.3150;-0.0100;-0.10;2660;27455.19
2026-08-24;10:34:00;PGE;PGE;89;10.3150;0.0050;0.05;582;6001.42
2026-08-24;10:35:00;PGE;PGE;90;10.2950;-0.0150;-0.15;3724;38389.25
2026-08-24;10:36:00;PGE;PGE;91;10.3000;0.0000;0.00;36;370.80
2026-08-24;10:38:00;PGE;PGE;92;10.2850;0.0000;0.00;1;10.29
2026-08-24;10:39:00;PGE;PGE;93;10.3050;0.0050;0.05;1296;13351.86
2026-08-24;10:40:00;PGE;PGE;94;10.3050;0.0050;0.05;203;2090.91
2026-08-24;10:41:00;PGE;PGE;95;10.3100;0.0050;0.05;2469;25444.53
2026-08-24;10:42:00;PGE;PGE;96;10.3000;-0.0050;-0.05;856;8820.16
2026-08-24;10:43:00;PGE;PGE;97;10.3100;0.0000;0.00;100;1031.00
2026-08-24;10:44:00;PGE;PGE;98;10.3600;0.0550;0.53;29689;306826.17
2026-08-24;10:45:00;PGE;PGE;99;10.3400;-0.0050;-0.05;3030;31331.43
2026-08-24;10:46:00;PGE;PGE;100;10.3200;-0.0150;-0.15;4541;46893.73
2026-08-24;10:47:00;PGE;PGE;101;10.3150;0.0100;0.10;1725;17776.15
2026-08-24;10:48:00;PGE;PGE;102;10.3100;-0.0050;-0.05;1014;10459.40
2026-08-24;10:49:00;PGE;PGE;103;10.2850;-0.0250;-0.24;8085;83263.38
2026-08-24;10:50:00;PGE;PGE;104;10.2750;-0.0150;-0.15;143;1471.45
2026-08-24;10:51:00;PGE;PGE;105;10.2750;0.0000;0.00;97;996.67
2026-08-24;10:52:00;PGE;PGE;106;10.2750;0.0000;0.00;383;3935.33
2026-08-24;10:54:00;PGE;PGE;107;10.3050;0.0200;0.19;14247;146668.88
2026-08-24;10:55:00;PGE;PGE;108;10.3050;-0.0100;-0.10;1009;10407.64
2026-08-24;10:56:00;PGE;PGE;109;10.3050;0.0100;0.10;1324;13643.73
2026-08-24;10:58:00;PGE;PGE;110;10.3050;0.0000;0.00;35;360.68
2026-08-24;10:59:00;PGE;PGE;111;10.2950;-0.0100;-0.10;2755;28353.74
2026-08-24;11:00:00;PGE;PGE;112;10.2950;0.0000;0.00;117;1204.52
2026-08-24;11:01:00;PGE;PGE;113;10.2750;-0.0100;-0.10;12066;123967.53
2026-08-24;11:02:00;PGE;PGE;114;10.2800;0.0000;0.00;40;411.20
2026-08-24;11:03:00;PGE;PGE;115;10.3000;0.0200;0.19;5089;52350.49
2026-08-24;11:05:00;PGE;PGE;116;10.3050;0.0000;0.00;242;2493.81
2026-08-24;11:06:00;PGE;PGE;117;10.3050;0.0000;0.00;2344;24151.99
2026-08-24;11:07:00;PGE;PGE;118;10.3050;0.0000;0.00;762;7852.41
2026-08-24;11:08:00;PGE;PGE;119;10.2850;-0.0100;-0.10;4312;44378.86
2026-08-24;11:09:00;PGE;PGE;120;10.2800;-0.0050;-0.05;4878;50176.01
2026-08-24;11:11:00;PGE;PGE;121;10.2750;0.0000;0.00;370;3801.75
2026-08-24;11:12:00;PGE;PGE;122;10.2800;0.0000;0.00;2;20.56
2026-08-24;11:13:00;PGE;PGE;123;10.2700;-0.0050;-0.05;3093;31780.38
2026-08-24;11:14:00;PGE;PGE;124;10.2700;0.0050;0.05;995;10211.32
2026-08-24;11:15:00;PGE;PGE;125;10.2350;-0.0200;-0.20;13638;139780.75
