Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-10;09:00:00;PGV;PGV (PGFGROUP);1;0.9350;0.0000;0.00;9000;8415.00
2026-09-10;09:02:00;PGV;PGV (PGFGROUP);2;0.9330;0.0000;0.00;10;9.33
2026-09-10;09:05:00;PGV;PGV (PGFGROUP);3;0.9320;0.0000;0.00;350;326.20
2026-09-10;09:14:00;PGV;PGV (PGFGROUP);4;0.8990;-0.0110;-1.21;7617;6887.48
2026-09-10;09:15:00;PGV;PGV (PGFGROUP);5;0.9280;0.0000;0.00;654;606.91
2026-09-10;09:19:00;PGV;PGV (PGFGROUP);6;0.9100;0.0000;0.00;2000;1820.00
2026-09-10;09:23:00;PGV;PGV (PGFGROUP);7;0.9300;0.0200;2.20;6000;5496.31
2026-09-10;09:24:00;PGV;PGV (PGFGROUP);8;0.9310;0.0010;0.11;7941;7385.65
2026-09-10;09:25:00;PGV;PGV (PGFGROUP);9;0.9320;0.0000;0.00;1600;1491.20
2026-09-10;09:29:00;PGV;PGV (PGFGROUP);10;0.9300;0.0000;0.00;52;48.36
2026-09-10;09:38:00;PGV;PGV (PGFGROUP);11;0.9350;0.0000;0.00;478;446.93
2026-09-10;09:39:00;PGV;PGV (PGFGROUP);12;0.9440;0.0000;0.00;1733;1635.95
2026-09-10;09:44:00;PGV;PGV (PGFGROUP);13;0.9460;0.0000;0.00;2000;1892.00
2026-09-10;09:55:00;PGV;PGV (PGFGROUP);14;0.9460;0.0000;0.00;14;13.24
2026-09-10;10:04:00;PGV;PGV (PGFGROUP);15;0.9100;-0.0300;-3.19;5290;4822.04
2026-09-10;10:05:00;PGV;PGV (PGFGROUP);16;0.9100;0.0000;0.00;800;728.00
2026-09-10;10:06:00;PGV;PGV (PGFGROUP);17;0.9100;0.0000;0.00;1900;1729.00
2026-09-10;10:11:00;PGV;PGV (PGFGROUP);18;0.9390;0.0000;0.00;1166;1094.87
2026-09-10;10:14:00;PGV;PGV (PGFGROUP);19;0.9100;-0.0010;-0.11;4335;3948.36
2026-09-10;10:15:00;PGV;PGV (PGFGROUP);20;0.9030;-0.0010;-0.11;2150;1942.20
2026-09-10;10:17:00;PGV;PGV (PGFGROUP);21;0.9030;0.0000;0.00;1338;1208.21
2026-09-10;10:20:00;PGV;PGV (PGFGROUP);22;0.9270;0.0000;0.00;1;0.93
2026-09-10;10:22:00;PGV;PGV (PGFGROUP);23;0.9020;-0.0010;-0.11;5000;4512.00
2026-09-10;10:23:00;PGV;PGV (PGFGROUP);24;0.9020;0.0000;0.00;2000;1804.00
2026-09-10;10:31:00;PGV;PGV (PGFGROUP);25;0.9270;0.0040;0.43;2190;2024.12
2026-09-10;10:50:00;PGV;PGV (PGFGROUP);26;0.9200;0.0000;0.00;2500;2300.00
2026-09-10;10:52:00;PGV;PGV (PGFGROUP);27;0.9270;0.0000;0.00;25;23.18
2026-09-10;10:53:00;PGV;PGV (PGFGROUP);28;0.9270;0.0000;0.00;1489;1380.30
2026-09-10;11:04:00;PGV;PGV (PGFGROUP);29;0.9270;0.0000;0.00;1790;1659.33
2026-09-10;11:06:00;PGV;PGV (PGFGROUP);30;0.9270;0.0000;0.00;194;179.84
2026-09-10;11:07:00;PGV;PGV (PGFGROUP);31;0.9270;0.0000;0.00;57;52.84
2026-09-10;11:08:00;PGV;PGV (PGFGROUP);32;0.9200;0.0000;0.00;5494;5054.48
2026-09-10;11:09:00;PGV;PGV (PGFGROUP);33;0.9200;0.0000;0.00;7006;6445.52
2026-09-10;11:26:00;PGV;PGV (PGFGROUP);34;0.9020;-0.0090;-0.99;5527;5005.18
2026-09-10;11:28:00;PGV;PGV (PGFGROUP);35;0.9290;0.0000;0.00;1;0.93
2026-09-10;12:29:00;PGV;PGV (PGFGROUP);36;0.9240;0.0060;0.65;10000;9218.06
2026-09-10;12:53:00;PGV;PGV (PGFGROUP);37;0.9030;-0.0070;-0.77;2530;2287.71
