Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-07;09:00:00;PHARMENA;PHR (PHARMENA);1;3.1200;0.0000;0.00;899;2804.88
2026-09-07;09:02:00;PHARMENA;PHR (PHARMENA);2;3.2400;0.0400;1.25;53;169.68
2026-09-07;09:27:00;PHARMENA;PHR (PHARMENA);3;3.2400;0.0000;0.00;283;916.92
2026-09-07;10:20:00;PHARMENA;PHR (PHARMENA);4;3.1500;0.0000;0.00;22;69.30
2026-09-07;11:00:00;PHARMENA;PHR (PHARMENA);5;3.2200;0.0000;0.00;2;6.44
2026-09-07;12:27:00;PHARMENA;PHR (PHARMENA);6;3.1500;0.0000;0.00;10;31.50
2026-09-07;12:38:00;PHARMENA;PHR (PHARMENA);7;3.2200;0.0000;0.00;2;6.44
2026-09-07;15:40:00;PHARMENA;PHR (PHARMENA);8;3.2000;0.0000;0.00;236;755.20
2026-09-07;15:41:00;PHARMENA;PHR (PHARMENA);9;3.2100;0.0000;0.00;200;642.00
2026-09-07;15:42:00;PHARMENA;PHR (PHARMENA);10;3.1800;0.0000;0.00;878;2792.04
2026-09-07;16:02:00;PHARMENA;PHR (PHARMENA);11;3.2200;0.0000;0.00;63;202.86
