Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-04;09:00:00;PHOTON;PEN (PHOTON);1;1.2800;0.0000;0.00;2343;2999.04
2026-09-04;10:18:00;PHOTON;PEN (PHOTON);2;1.2800;0.0000;0.00;80;102.40
2026-09-04;11:13:00;PHOTON;PEN (PHOTON);3;1.2600;0.0000;0.00;12;15.12
2026-09-04;12:06:00;PHOTON;PEN (PHOTON);4;1.2350;-0.0050;-0.40;762;942.38
2026-09-04;13:00:00;PHOTON;PEN (PHOTON);5;1.2100;-0.0250;-2.02;865;1061.23
2026-09-04;13:11:00;PHOTON;PEN (PHOTON);6;1.1850;-0.0100;-0.84;124;147.76
2026-09-04;13:43:00;PHOTON;PEN (PHOTON);7;1.1750;0.0000;0.00;150;176.25
2026-09-04;14:11:00;PHOTON;PEN (PHOTON);8;1.1850;0.0000;0.00;15;17.77
2026-09-04;14:13:00;PHOTON;PEN (PHOTON);9;1.1850;0.0000;0.00;24;28.44
2026-09-04;15:05:00;PHOTON;PEN (PHOTON);10;1.2050;0.0000;0.00;1;1.21
2026-09-04;15:20:00;PHOTON;PEN (PHOTON);11;1.2050;0.0000;0.00;10;12.05
