Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-24;09:00:00;PKO;PKO (PKOBP);1;107.4200;0.0400;0.04;7727;829191.22
2026-07-24;09:01:00;PKO;PKO (PKOBP);2;107.4800;0.1000;0.09;963;103497.52
2026-07-24;09:02:00;PKO;PKO (PKOBP);3;107.8000;0.3200;0.30;2027;218119.74
2026-07-24;09:03:00;PKO;PKO (PKOBP);4;107.7000;-0.0400;-0.04;1013;109098.26
2026-07-24;09:04:00;PKO;PKO (PKOBP);5;107.7200;0.0600;0.06;1060;114139.62
2026-07-24;09:05:00;PKO;PKO (PKOBP);6;107.7200;0.0400;0.04;757;81468.82
2026-07-24;09:06:00;PKO;PKO (PKOBP);7;107.7400;0.0400;0.04;297;31986.24
2026-07-24;09:07:00;PKO;PKO (PKOBP);8;107.6800;-0.0600;-0.06;518;55807.52
2026-07-24;09:08:00;PKO;PKO (PKOBP);9;107.8600;0.2000;0.19;890;95912.26
2026-07-24;09:09:00;PKO;PKO (PKOBP);10;107.9600;0.1600;0.15;301;32474.46
2026-07-24;09:10:00;PKO;PKO (PKOBP);11;107.9600;-0.0200;-0.02;10369;1119835.76
2026-07-24;09:11:00;PKO;PKO (PKOBP);12;107.8000;-0.0800;-0.07;1655;178406.88
2026-07-24;09:12:00;PKO;PKO (PKOBP);13;107.8200;0.0200;0.02;796;85818.88
2026-07-24;09:13:00;PKO;PKO (PKOBP);14;107.7600;-0.0200;-0.02;149;16058.54
2026-07-24;09:14:00;PKO;PKO (PKOBP);15;107.8400;0.0600;0.06;1369;147561.88
2026-07-24;09:15:00;PKO;PKO (PKOBP);16;108.2200;0.3800;0.35;3165;341893.12
2026-07-24;09:16:00;PKO;PKO (PKOBP);17;108.0400;-0.1600;-0.15;741;80109.02
2026-07-24;09:17:00;PKO;PKO (PKOBP);18;108.1600;0.1400;0.13;1745;188565.72
2026-07-24;09:18:00;PKO;PKO (PKOBP);19;108.2800;0.1000;0.09;1174;127072.72
2026-07-24;09:19:00;PKO;PKO (PKOBP);20;108.2800;-0.0200;-0.02;5947;644458.50
2026-07-24;09:20:00;PKO;PKO (PKOBP);21;108.3200;0.0600;0.06;558;60462.36
2026-07-24;09:21:00;PKO;PKO (PKOBP);22;108.4000;0.0400;0.04;1836;198999.16
2026-07-24;09:22:00;PKO;PKO (PKOBP);23;108.5000;0.1000;0.09;5016;544237.74
2026-07-24;09:23:00;PKO;PKO (PKOBP);24;108.3600;-0.1200;-0.11;1990;215724.70
2026-07-24;09:24:00;PKO;PKO (PKOBP);25;108.5600;0.1800;0.17;1792;194313.92
2026-07-24;09:25:00;PKO;PKO (PKOBP);26;108.6000;0.0200;0.02;1253;136044.10
2026-07-24;09:26:00;PKO;PKO (PKOBP);27;108.5000;-0.0600;-0.06;1585;172034.00
2026-07-24;09:27:00;PKO;PKO (PKOBP);28;108.5000;-0.0200;-0.02;1394;151279.50
2026-07-24;09:28:00;PKO;PKO (PKOBP);29;108.5200;0.0000;0.00;5199;563957.48
2026-07-24;09:29:00;PKO;PKO (PKOBP);30;108.4600;-0.0600;-0.06;2915;316134.64
2026-07-24;09:30:00;PKO;PKO (PKOBP);31;108.6000;0.1000;0.09;1807;196205.66
2026-07-24;09:31:00;PKO;PKO (PKOBP);32;108.6000;-0.0200;-0.02;2990;324723.46
2026-07-24;09:32:00;PKO;PKO (PKOBP);33;108.5800;0.0000;0.00;2691;292172.98
2026-07-24;09:33:00;PKO;PKO (PKOBP);34;108.6600;0.0800;0.07;3212;348748.12
2026-07-24;09:34:00;PKO;PKO (PKOBP);35;108.6800;0.0200;0.02;2819;306241.18
2026-07-24;09:35:00;PKO;PKO (PKOBP);36;108.7800;0.1200;0.11;6880;748285.44
2026-07-24;09:36:00;PKO;PKO (PKOBP);37;108.8800;0.1200;0.11;2056;223726.00
2026-07-24;09:37:00;PKO;PKO (PKOBP);38;108.8400;-0.0400;-0.04;2043;222408.38
