Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-15;09:00:00;PKPCARGO;PKP (PKPCARGO);1;10.4800;-0.0200;-0.19;2405;25252.82
2026-07-15;09:02:00;PKPCARGO;PKP (PKPCARGO);2;10.4800;0.0000;0.00;2;20.96
2026-07-15;09:03:00;PKPCARGO;PKP (PKPCARGO);3;10.5200;0.0100;0.10;1510;15870.20
2026-07-15;09:04:00;PKPCARGO;PKP (PKPCARGO);4;10.4800;-0.0200;-0.19;2270;23834.44
2026-07-15;09:06:00;PKPCARGO;PKP (PKPCARGO);5;10.5100;0.0000;0.00;200;2102.00
2026-07-15;09:07:00;PKPCARGO;PKP (PKPCARGO);6;10.4800;0.0000;0.00;386;4045.28
2026-07-15;09:09:00;PKPCARGO;PKP (PKPCARGO);7;10.4600;-0.0400;-0.38;269;2814.34
2026-07-15;09:10:00;PKPCARGO;PKP (PKPCARGO);8;10.5000;0.0000;0.00;4;42.00
2026-07-15;09:12:00;PKPCARGO;PKP (PKPCARGO);9;10.4500;0.0000;0.00;20;209.00
2026-07-15;09:15:00;PKPCARGO;PKP (PKPCARGO);10;10.5000;0.0000;0.00;135;1417.50
2026-07-15;09:16:00;PKPCARGO;PKP (PKPCARGO);11;10.5000;0.0000;0.00;100;1050.00
2026-07-15;09:17:00;PKPCARGO;PKP (PKPCARGO);12;10.4500;0.0000;0.00;106;1107.70
2026-07-15;09:21:00;PKPCARGO;PKP (PKPCARGO);13;10.5000;0.0000;0.00;4;42.00
2026-07-15;09:22:00;PKPCARGO;PKP (PKPCARGO);14;10.5000;0.0000;0.00;39;409.50
2026-07-15;09:23:00;PKPCARGO;PKP (PKPCARGO);15;10.5000;0.0000;0.00;20;210.00
2026-07-15;09:24:00;PKPCARGO;PKP (PKPCARGO);16;10.4300;-0.0600;-0.57;806;8415.58
2026-07-15;09:27:00;PKPCARGO;PKP (PKPCARGO);17;10.4400;-0.0500;-0.48;751;7866.94
2026-07-15;09:28:00;PKPCARGO;PKP (PKPCARGO);18;10.4400;0.0000;0.00;2499;26120.12
2026-07-15;09:31:00;PKPCARGO;PKP (PKPCARGO);19;10.4900;0.0000;0.00;974;10217.26
2026-07-15;09:33:00;PKPCARGO;PKP (PKPCARGO);20;10.4500;-0.0400;-0.38;544;5692.59
2026-07-15;09:34:00;PKPCARGO;PKP (PKPCARGO);21;10.4500;-0.0400;-0.38;886;9283.10
2026-07-15;09:35:00;PKPCARGO;PKP (PKPCARGO);22;10.5000;0.0500;0.48;95;996.10
2026-07-15;09:36:00;PKPCARGO;PKP (PKPCARGO);23;10.5000;0.0000;0.00;441;4630.50
2026-07-15;09:38:00;PKPCARGO;PKP (PKPCARGO);24;10.5100;0.0100;0.10;500;5253.36
2026-07-15;09:39:00;PKPCARGO;PKP (PKPCARGO);25;10.5200;0.0100;0.10;5852;61513.40
2026-07-15;09:40:00;PKPCARGO;PKP (PKPCARGO);26;10.5200;0.0200;0.19;2087;21956.69
2026-07-15;09:41:00;PKPCARGO;PKP (PKPCARGO);27;10.5200;0.0000;0.00;1223;12866.00
2026-07-15;09:42:00;PKPCARGO;PKP (PKPCARGO);28;10.5200;0.0000;0.00;2;21.04
2026-07-15;09:43:00;PKPCARGO;PKP (PKPCARGO);29;10.5100;0.0000;0.00;200;2102.00
2026-07-15;09:44:00;PKPCARGO;PKP (PKPCARGO);30;10.5100;0.0000;0.00;48;504.48
2026-07-15;09:45:00;PKPCARGO;PKP (PKPCARGO);31;10.4900;0.0000;0.00;422;4426.78
2026-07-15;09:47:00;PKPCARGO;PKP (PKPCARGO);32;10.4900;0.0000;0.00;17;178.33
2026-07-15;09:49:00;PKPCARGO;PKP (PKPCARGO);33;10.4900;0.0000;0.00;881;9241.69
2026-07-15;09:53:00;PKPCARGO;PKP (PKPCARGO);34;10.4700;-0.0200;-0.19;885;9269.31
2026-07-15;09:54:00;PKPCARGO;PKP (PKPCARGO);35;10.4500;-0.0200;-0.19;1133;11840.43
2026-07-15;09:55:00;PKPCARGO;PKP (PKPCARGO);36;10.4500;0.0000;0.00;234;2445.30
2026-07-15;09:56:00;PKPCARGO;PKP (PKPCARGO);37;10.5500;0.1000;0.96;2900;30551.83
2026-07-15;10:03:00;PKPCARGO;PKP (PKPCARGO);38;10.5200;0.0000;0.00;75;789.00
2026-07-15;10:04:00;PKPCARGO;PKP (PKPCARGO);39;10.5200;0.0000;0.00;1;10.52
2026-07-15;10:06:00;PKPCARGO;PKP (PKPCARGO);40;10.5200;0.0000;0.00;473;4975.96
2026-07-15;10:07:00;PKPCARGO;PKP (PKPCARGO);41;10.5200;0.0000;0.00;1478;15548.56
2026-07-15;10:08:00;PKPCARGO;PKP (PKPCARGO);42;10.5200;0.0000;0.00;50;526.00
2026-07-15;10:09:00;PKPCARGO;PKP (PKPCARGO);43;10.4800;-0.0400;-0.38;409;4295.40
2026-07-15;10:10:00;PKPCARGO;PKP (PKPCARGO);44;10.4800;0.0000;0.00;64;670.72
2026-07-15;10:15:00;PKPCARGO;PKP (PKPCARGO);45;10.5200;0.0000;0.00;165;1735.80
2026-07-15;10:17:00;PKPCARGO;PKP (PKPCARGO);46;10.4900;0.0100;0.10;1502;15744.82
2026-07-15;10:19:00;PKPCARGO;PKP (PKPCARGO);47;10.4900;0.0000;0.00;694;7280.06
2026-07-15;10:20:00;PKPCARGO;PKP (PKPCARGO);48;10.5200;0.0500;0.48;1236;12942.07
2026-07-15;10:21:00;PKPCARGO;PKP (PKPCARGO);49;10.4600;-0.0100;-0.10;824;8615.93
2026-07-15;10:25:00;PKPCARGO;PKP (PKPCARGO);50;10.5200;0.0000;0.00;77;810.04
2026-07-15;10:26:00;PKPCARGO;PKP (PKPCARGO);51;10.5200;0.0000;0.00;1;10.52
2026-07-15;10:31:00;PKPCARGO;PKP (PKPCARGO);52;10.5100;0.0000;0.00;1;10.51
2026-07-15;10:32:00;PKPCARGO;PKP (PKPCARGO);53;10.5100;0.0000;0.00;42;441.42
2026-07-15;10:33:00;PKPCARGO;PKP (PKPCARGO);54;10.5100;0.0000;0.00;841;8838.91
2026-07-15;10:37:00;PKPCARGO;PKP (PKPCARGO);55;10.5200;0.0300;0.29;349;3661.16
2026-07-15;10:39:00;PKPCARGO;PKP (PKPCARGO);56;10.5200;0.0000;0.00;140;1472.80
2026-07-15;10:44:00;PKPCARGO;PKP (PKPCARGO);57;10.5200;0.0000;0.00;11;115.72
2026-07-15;10:47:00;PKPCARGO;PKP (PKPCARGO);58;10.5200;0.0000;0.00;44;462.88
2026-07-15;10:48:00;PKPCARGO;PKP (PKPCARGO);59;10.5200;0.0000;0.00;408;4292.16
2026-07-15;10:50:00;PKPCARGO;PKP (PKPCARGO);60;10.5200;0.0000;0.00;1050;11046.00
2026-07-15;10:53:00;PKPCARGO;PKP (PKPCARGO);61;10.5200;0.0000;0.00;20;210.40
2026-07-15;10:54:00;PKPCARGO;PKP (PKPCARGO);62;10.5200;0.0000;0.00;200;2104.00
2026-07-15;10:57:00;PKPCARGO;PKP (PKPCARGO);63;10.5200;0.0000;0.00;50;526.00
2026-07-15;11:01:00;PKPCARGO;PKP (PKPCARGO);64;10.5200;0.0000;0.00;100;1052.00
2026-07-15;11:03:00;PKPCARGO;PKP (PKPCARGO);65;10.5300;0.0100;0.10;180;1894.69
2026-07-15;11:07:00;PKPCARGO;PKP (PKPCARGO);66;10.5300;0.0000;0.00;60;631.80
2026-07-15;11:08:00;PKPCARGO;PKP (PKPCARGO);67;10.5500;0.0200;0.19;1002;10567.98
2026-07-15;11:09:00;PKPCARGO;PKP (PKPCARGO);68;10.5500;0.0000;0.00;1000;10550.00
2026-07-15;11:10:00;PKPCARGO;PKP (PKPCARGO);69;10.5500;0.0000;0.00;1000;10550.00
2026-07-15;11:11:00;PKPCARGO;PKP (PKPCARGO);70;10.5500;0.0000;0.00;154;1624.70
2026-07-15;11:20:00;PKPCARGO;PKP (PKPCARGO);71;10.5500;0.0000;0.00;89;938.95
2026-07-15;11:22:00;PKPCARGO;PKP (PKPCARGO);72;10.5200;0.0000;0.00;473;4975.96
2026-07-15;11:24:00;PKPCARGO;PKP (PKPCARGO);73;10.5500;0.0000;0.00;2297;24233.35
2026-07-15;11:25:00;PKPCARGO;PKP (PKPCARGO);74;10.5700;0.0200;0.19;1419;14975.62
2026-07-15;11:26:00;PKPCARGO;PKP (PKPCARGO);75;10.5700;0.0000;0.00;64;676.48
2026-07-15;11:28:00;PKPCARGO;PKP (PKPCARGO);76;10.5300;0.0000;0.00;1811;19069.83
2026-07-15;11:29:00;PKPCARGO;PKP (PKPCARGO);77;10.5500;0.0000;0.00;7150;75432.50
2026-07-15;11:30:00;PKPCARGO;PKP (PKPCARGO);78;10.5500;0.0000;0.00;18;189.90
2026-07-15;11:32:00;PKPCARGO;PKP (PKPCARGO);79;10.5200;0.0000;0.00;5165;54327.96
2026-07-15;11:34:00;PKPCARGO;PKP (PKPCARGO);80;10.5700;0.0000;0.00;50;528.50
