Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-02;09:00:00;PLAYWAY;PLW (PLAYWAY);1;241.0000;-2.5000;-1.03;26;6291.00
2026-09-02;09:05:00;PLAYWAY;PLW (PLAYWAY);2;241.5000;0.0000;0.00;6;1449.00
2026-09-02;09:08:00;PLAYWAY;PLW (PLAYWAY);3;239.5000;-2.0000;-0.83;24;5787.00
2026-09-02;09:13:00;PLAYWAY;PLW (PLAYWAY);4;239.5000;0.0000;0.00;30;7185.00
2026-09-02;09:14:00;PLAYWAY;PLW (PLAYWAY);5;239.0000;0.0000;0.00;25;5975.00
2026-09-02;09:18:00;PLAYWAY;PLW (PLAYWAY);6;241.5000;0.0000;0.00;1;241.50
2026-09-02;09:20:00;PLAYWAY;PLW (PLAYWAY);7;241.5000;0.0000;0.00;1;241.50
2026-09-02;09:23:00;PLAYWAY;PLW (PLAYWAY);8;240.0000;0.0000;0.00;1;240.00
2026-09-02;09:24:00;PLAYWAY;PLW (PLAYWAY);9;240.0000;0.0000;0.00;1;240.00
2026-09-02;09:26:00;PLAYWAY;PLW (PLAYWAY);10;239.0000;-1.0000;-0.42;111;26533.00
2026-09-02;09:28:00;PLAYWAY;PLW (PLAYWAY);11;241.5000;0.0000;0.00;5;1207.50
2026-09-02;09:39:00;PLAYWAY;PLW (PLAYWAY);12;241.5000;0.0000;0.00;1;241.50
2026-09-02;10:00:00;PLAYWAY;PLW (PLAYWAY);13;239.0000;0.0000;0.00;2;478.00
2026-09-02;10:23:00;PLAYWAY;PLW (PLAYWAY);14;239.0000;0.0000;0.00;139;33221.00
2026-09-02;10:24:00;PLAYWAY;PLW (PLAYWAY);15;241.0000;2.0000;0.84;2;480.00
2026-09-02;10:25:00;PLAYWAY;PLW (PLAYWAY);16;243.0000;2.0000;0.83;34;8223.50
2026-09-02;10:26:00;PLAYWAY;PLW (PLAYWAY);17;244.0000;2.0000;0.83;68;16540.50
2026-09-02;10:34:00;PLAYWAY;PLW (PLAYWAY);18;239.5000;0.0000;0.00;2;479.00
2026-09-02;10:35:00;PLAYWAY;PLW (PLAYWAY);19;239.5000;0.0000;0.00;15;3592.50
2026-09-02;10:37:00;PLAYWAY;PLW (PLAYWAY);20;239.5000;-0.5000;-0.21;169;40488.50
2026-09-02;10:43:00;PLAYWAY;PLW (PLAYWAY);21;239.5000;0.0000;0.00;1;239.50
2026-09-02;11:47:00;PLAYWAY;PLW (PLAYWAY);22;241.0000;0.0000;0.00;1;241.00
2026-09-02;11:50:00;PLAYWAY;PLW (PLAYWAY);23;242.0000;0.0000;0.00;11;2662.00
2026-09-02;12:04:00;PLAYWAY;PLW (PLAYWAY);24;240.0000;0.0000;0.00;10;2400.00
2026-09-02;12:12:00;PLAYWAY;PLW (PLAYWAY);25;240.0000;-3.0000;-1.23;23;5556.00
2026-09-02;12:18:00;PLAYWAY;PLW (PLAYWAY);26;243.0000;0.0000;0.00;1;243.00
2026-09-02;12:36:00;PLAYWAY;PLW (PLAYWAY);27;240.0000;-1.5000;-0.62;55;13260.00
2026-09-02;13:17:00;PLAYWAY;PLW (PLAYWAY);28;242.5000;0.0000;0.00;10;2425.00
2026-09-02;13:53:00;PLAYWAY;PLW (PLAYWAY);29;241.0000;0.0000;0.00;9;2169.00
2026-09-02;13:58:00;PLAYWAY;PLW (PLAYWAY);30;240.0000;0.0000;0.00;10;2400.00
2026-09-02;13:59:00;PLAYWAY;PLW (PLAYWAY);31;241.5000;0.0000;0.00;13;3139.50
2026-09-02;14:56:00;PLAYWAY;PLW (PLAYWAY);32;240.0000;0.0000;0.00;1;240.00
2026-09-02;15:05:00;PLAYWAY;PLW (PLAYWAY);33;242.0000;0.0000;0.00;4;968.00
2026-09-02;15:24:00;PLAYWAY;PLW (PLAYWAY);34;242.0000;0.0000;0.00;10;2420.00
2026-09-02;15:39:00;PLAYWAY;PLW (PLAYWAY);35;239.5000;-0.5000;-0.21;97;23273.50
2026-09-02;15:53:00;PLAYWAY;PLW (PLAYWAY);36;241.5000;0.0000;0.00;1;241.50
2026-09-02;16:02:00;PLAYWAY;PLW (PLAYWAY);37;239.5000;0.0000;0.00;5;1197.50
2026-09-02;16:12:00;PLAYWAY;PLW (PLAYWAY);38;241.5000;0.0000;0.00;8;1932.00
2026-09-02;16:23:00;PLAYWAY;PLW (PLAYWAY);39;240.0000;0.0000;0.00;36;8640.00
2026-09-02;16:49:00;PLAYWAY;PLW (PLAYWAY);40;240.0000;0.0000;0.00;3;720.00
2026-09-02;17:00:00;PLAYWAY;PLW (PLAYWAY);41;240.0000;0.0000;0.00;17;4080.00
