Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-07;09:39:00;PLAZACNTR;PLZ (PLAZACNTR);1;1.2260;0.0000;0.00;100;122.60
2026-08-07;11:13:00;PLAZACNTR;PLZ (PLAZACNTR);2;1.2220;0.0020;0.16;866;1057.34
2026-08-07;11:56:00;PLAZACNTR;PLZ (PLAZACNTR);3;1.2220;0.0000;0.00;554;676.99
2026-08-07;12:00:00;PLAZACNTR;PLZ (PLAZACNTR);4;1.2400;0.0100;0.81;2500;3091.85
2026-08-07;14:21:00;PLAZACNTR;PLZ (PLAZACNTR);5;1.2380;0.0000;0.00;444;549.67
2026-08-07;14:23:00;PLAZACNTR;PLZ (PLAZACNTR);6;1.2400;0.0000;0.00;704;872.96
2026-08-07;14:26:00;PLAZACNTR;PLZ (PLAZACNTR);7;1.2420;0.0000;0.00;56;69.55
2026-08-07;14:30:00;PLAZACNTR;PLZ (PLAZACNTR);8;1.2440;0.0020;0.16;484;601.41
2026-08-07;14:36:00;PLAZACNTR;PLZ (PLAZACNTR);9;1.2460;0.0020;0.16;1573;1959.53
2026-08-07;15:11:00;PLAZACNTR;PLZ (PLAZACNTR);10;1.2200;0.0000;0.00;100;122.00
2026-08-07;16:05:00;PLAZACNTR;PLZ (PLAZACNTR);11;1.2400;0.0000;0.00;1000;1240.00
2026-08-07;16:49:00;PLAZACNTR;PLZ (PLAZACNTR);12;1.2600;0.0140;1.12;979;1219.85
2026-08-07;17:00:00;PLAZACNTR;PLZ (PLAZACNTR);13;1.2600;0.0000;0.00;412;519.12
