Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-29;09:00:00;POLENERGIA;PEP;1;62.7000;0.0000;0.00;160;10032.00
2026-07-29;09:04:00;POLENERGIA;PEP;2;62.0000;-0.1000;-0.16;30;1861.60
2026-07-29;09:08:00;POLENERGIA;PEP;3;62.3000;0.0000;0.00;2;124.60
2026-07-29;09:10:00;POLENERGIA;PEP;4;62.1000;0.0000;0.00;65;4036.50
2026-07-29;09:17:00;POLENERGIA;PEP;5;62.1000;0.0000;0.00;65;4036.50
2026-07-29;09:30:00;POLENERGIA;PEP;6;62.4000;0.0000;0.00;66;4118.40
2026-07-29;09:59:00;POLENERGIA;PEP;7;62.0000;-0.1000;-0.16;139;8618.50
2026-07-29;10:02:00;POLENERGIA;PEP;8;61.8000;-0.1000;-0.16;61;3771.80
2026-07-29;10:14:00;POLENERGIA;PEP;9;61.8000;0.0000;0.00;8;494.40
2026-07-29;10:16:00;POLENERGIA;PEP;10;61.8000;0.0000;0.00;136;8404.80
2026-07-29;10:30:00;POLENERGIA;PEP;11;61.8000;0.0000;0.00;10;618.00
2026-07-29;10:43:00;POLENERGIA;PEP;12;61.8000;0.0000;0.00;1;61.80
2026-07-29;10:46:00;POLENERGIA;PEP;13;61.8000;0.0000;0.00;77;4758.60
2026-07-29;11:25:00;POLENERGIA;PEP;14;62.0000;0.0000;0.00;2;124.00
2026-07-29;11:42:00;POLENERGIA;PEP;15;62.0000;0.0000;0.00;43;2666.00
2026-07-29;11:46:00;POLENERGIA;PEP;16;62.2000;0.1000;0.16;22;1368.30
2026-07-29;11:49:00;POLENERGIA;PEP;17;62.2000;0.0000;0.00;90;5598.00
2026-07-29;12:09:00;POLENERGIA;PEP;18;62.0000;0.0000;0.00;1;62.00
2026-07-29;12:19:00;POLENERGIA;PEP;19;62.0000;0.0000;0.00;24;1488.00
2026-07-29;12:56:00;POLENERGIA;PEP;20;62.0000;0.0000;0.00;59;3658.00
2026-07-29;13:12:00;POLENERGIA;PEP;21;62.0000;0.0000;0.00;1;62.00
2026-07-29;13:16:00;POLENERGIA;PEP;22;62.0000;0.0000;0.00;13;806.00
2026-07-29;13:20:00;POLENERGIA;PEP;23;61.9000;0.0000;0.00;10;619.00
2026-07-29;13:28:00;POLENERGIA;PEP;24;61.9000;0.0000;0.00;120;7428.00
2026-07-29;13:33:00;POLENERGIA;PEP;25;62.4000;0.0000;0.00;18;1123.20
2026-07-29;13:35:00;POLENERGIA;PEP;26;62.3000;0.0000;0.00;65;4049.50
2026-07-29;13:45:00;POLENERGIA;PEP;27;62.2000;0.0000;0.00;77;4789.40
2026-07-29;13:46:00;POLENERGIA;PEP;28;61.9000;0.0000;0.00;1;61.90
2026-07-29;14:40:00;POLENERGIA;PEP;29;61.9000;0.0000;0.00;35;2166.50
2026-07-29;15:05:00;POLENERGIA;PEP;30;62.2000;0.0000;0.00;18;1119.60
2026-07-29;15:06:00;POLENERGIA;PEP;31;62.3000;0.1000;0.16;18;1120.90
2026-07-29;15:16:00;POLENERGIA;PEP;32;62.2000;-0.1000;-0.16;82;5102.20
2026-07-29;15:35:00;POLENERGIA;PEP;33;62.0000;0.0000;0.00;66;4092.00
2026-07-29;15:36:00;POLENERGIA;PEP;34;62.2000;0.0000;0.00;434;26994.80
2026-07-29;16:15:00;POLENERGIA;PEP;35;61.9000;0.0000;0.00;8;495.20
2026-07-29;16:25:00;POLENERGIA;PEP;36;61.9000;-0.1000;-0.16;119;7371.10
2026-07-29;17:00:00;POLENERGIA;PEP;37;62.5000;0.0000;0.00;317;19812.50
