Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-24;09:00:00;POLICE;PCE (POLICE);1;7.1800;0.0000;0.00;29;208.22
2026-07-24;09:31:00;POLICE;PCE (POLICE);2;7.1800;0.0000;0.00;142;1019.56
2026-07-24;09:32:00;POLICE;PCE (POLICE);3;7.1800;0.0000;0.00;200;1436.00
2026-07-24;09:34:00;POLICE;PCE (POLICE);4;7.1800;0.0000;0.00;58;416.44
2026-07-24;11:16:00;POLICE;PCE (POLICE);5;7.3200;0.0000;0.00;1;7.32
2026-07-24;11:33:00;POLICE;PCE (POLICE);6;7.3200;0.0000;0.00;17;124.44
2026-07-24;11:44:00;POLICE;PCE (POLICE);7;7.3600;0.0000;0.00;9;66.24
2026-07-24;11:51:00;POLICE;PCE (POLICE);8;7.3200;0.0000;0.00;3;21.96
2026-07-24;11:58:00;POLICE;PCE (POLICE);9;7.3200;0.0000;0.00;80;585.60
2026-07-24;12:11:00;POLICE;PCE (POLICE);10;7.3200;0.0000;0.00;7;51.24
2026-07-24;12:30:00;POLICE;PCE (POLICE);11;7.3600;0.0400;0.55;68;499.96
2026-07-24;12:44:00;POLICE;PCE (POLICE);12;7.2200;0.0000;0.00;9;64.98
2026-07-24;13:45:00;POLICE;PCE (POLICE);13;7.1800;-0.0400;-0.55;13;93.70
2026-07-24;14:12:00;POLICE;PCE (POLICE);14;7.1800;0.0000;0.00;13;93.34
2026-07-24;14:20:00;POLICE;PCE (POLICE);15;7.3400;0.0000;0.00;4;29.36
2026-07-24;14:48:00;POLICE;PCE (POLICE);16;7.3600;0.0200;0.27;28;205.80
2026-07-24;15:35:00;POLICE;PCE (POLICE);17;7.3600;0.0000;0.00;130;956.80
2026-07-24;15:58:00;POLICE;PCE (POLICE);18;7.3600;0.0000;0.00;14;103.04
2026-07-24;16:12:00;POLICE;PCE (POLICE);19;7.1800;-0.0200;-0.28;25;179.86
2026-07-24;16:38:00;POLICE;PCE (POLICE);20;7.1800;0.0000;0.00;100;718.00
2026-07-24;16:40:00;POLICE;PCE (POLICE);21;7.1800;0.0000;0.00;49;351.82
