Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-29;09:00:00;POLIMEX;PXM (POLIMEXMS);1;6.5350;0.0150;0.23;10875;70934.84
2026-07-29;09:01:00;POLIMEX;PXM (POLIMEXMS);2;6.5200;0.0000;0.00;4200;27384.00
2026-07-29;09:02:00;POLIMEX;PXM (POLIMEXMS);3;6.5200;0.0000;0.00;5813;37900.76
2026-07-29;09:03:00;POLIMEX;PXM (POLIMEXMS);4;6.5450;0.0300;0.46;3961;25825.44
2026-07-29;09:04:00;POLIMEX;PXM (POLIMEXMS);5;6.5150;-0.0350;-0.53;35;228.48
2026-07-29;09:05:00;POLIMEX;PXM (POLIMEXMS);6;6.5300;0.0150;0.23;1540;10047.25
2026-07-29;09:06:00;POLIMEX;PXM (POLIMEXMS);7;6.5450;-0.0050;-0.08;22;144.00
2026-07-29;09:07:00;POLIMEX;PXM (POLIMEXMS);8;6.5100;-0.0150;-0.23;4756;31016.74
2026-07-29;09:08:00;POLIMEX;PXM (POLIMEXMS);9;6.5100;-0.0050;-0.08;1223;7963.65
2026-07-29;09:09:00;POLIMEX;PXM (POLIMEXMS);10;6.5150;0.0000;0.00;9;58.63
2026-07-29;09:10:00;POLIMEX;PXM (POLIMEXMS);11;6.5000;0.0000;0.00;31769;206477.73
2026-07-29;09:11:00;POLIMEX;PXM (POLIMEXMS);12;6.4950;-0.0050;-0.08;2;13.00
2026-07-29;09:12:00;POLIMEX;PXM (POLIMEXMS);13;6.4850;0.0000;0.00;575;3728.87
2026-07-29;09:13:00;POLIMEX;PXM (POLIMEXMS);14;6.4850;0.0000;0.00;1005;6517.49
2026-07-29;09:14:00;POLIMEX;PXM (POLIMEXMS);15;6.4950;0.0050;0.08;14;90.88
2026-07-29;09:15:00;POLIMEX;PXM (POLIMEXMS);16;6.4950;0.0000;0.00;7;45.47
2026-07-29;09:16:00;POLIMEX;PXM (POLIMEXMS);17;6.4950;0.0000;0.00;1000;6494.99
2026-07-29;09:17:00;POLIMEX;PXM (POLIMEXMS);18;6.4900;-0.0050;-0.08;3300;21432.01
2026-07-29;09:19:00;POLIMEX;PXM (POLIMEXMS);19;6.4900;0.0000;0.00;876;5685.24
2026-07-29;09:20:00;POLIMEX;PXM (POLIMEXMS);20;6.4900;-0.0050;-0.08;1832;11896.68
2026-07-29;09:21:00;POLIMEX;PXM (POLIMEXMS);21;6.5000;0.0100;0.15;4955;32188.60
2026-07-29;09:22:00;POLIMEX;PXM (POLIMEXMS);22;6.5000;0.0000;0.00;60;390.00
2026-07-29;09:23:00;POLIMEX;PXM (POLIMEXMS);23;6.4850;0.0000;0.00;34;220.49
2026-07-29;09:24:00;POLIMEX;PXM (POLIMEXMS);24;6.4700;-0.0150;-0.23;8557;55377.58
2026-07-29;09:25:00;POLIMEX;PXM (POLIMEXMS);25;6.4500;-0.0200;-0.31;3638;23472.29
2026-07-29;09:26:00;POLIMEX;PXM (POLIMEXMS);26;6.4700;0.0050;0.08;2807;18151.29
2026-07-29;09:27:00;POLIMEX;PXM (POLIMEXMS);27;6.4900;0.0000;0.00;7;45.43
2026-07-29;09:30:00;POLIMEX;PXM (POLIMEXMS);28;6.4900;0.0050;0.08;158;1024.65
2026-07-29;09:31:00;POLIMEX;PXM (POLIMEXMS);29;6.5200;0.0300;0.46;5428;35301.18
2026-07-29;09:32:00;POLIMEX;PXM (POLIMEXMS);30;6.5200;0.0000;0.00;135;880.20
2026-07-29;09:33:00;POLIMEX;PXM (POLIMEXMS);31;6.5200;0.0050;0.08;640;4171.13
2026-07-29;09:34:00;POLIMEX;PXM (POLIMEXMS);32;6.5100;-0.0100;-0.15;1220;7944.35
2026-07-29;09:35:00;POLIMEX;PXM (POLIMEXMS);33;6.5000;0.0000;0.00;500;3250.00
2026-07-29;09:36:00;POLIMEX;PXM (POLIMEXMS);34;6.5000;0.0100;0.15;2900;18821.50
2026-07-29;09:37:00;POLIMEX;PXM (POLIMEXMS);35;6.5250;0.0250;0.38;2212;14382.89
2026-07-29;09:38:00;POLIMEX;PXM (POLIMEXMS);36;6.5250;0.0000;0.00;310;2022.75
2026-07-29;09:39:00;POLIMEX;PXM (POLIMEXMS);37;6.5200;0.0000;0.00;5;32.60
2026-07-29;09:40:00;POLIMEX;PXM (POLIMEXMS);38;6.5200;-0.0100;-0.15;439;2862.48
2026-07-29;09:41:00;POLIMEX;PXM (POLIMEXMS);39;6.5300;0.0000;0.00;20;130.60
2026-07-29;09:43:00;POLIMEX;PXM (POLIMEXMS);40;6.5100;0.0100;0.15;501;3256.70
2026-07-29;09:44:00;POLIMEX;PXM (POLIMEXMS);41;6.5100;0.0000;0.00;50;325.50
2026-07-29;09:45:00;POLIMEX;PXM (POLIMEXMS);42;6.5000;-0.0100;-0.15;2100;13651.00
2026-07-29;09:46:00;POLIMEX;PXM (POLIMEXMS);43;6.5000;0.0000;0.00;3240;21033.31
2026-07-29;09:47:00;POLIMEX;PXM (POLIMEXMS);44;6.5000;0.0000;0.00;200;1300.00
2026-07-29;09:49:00;POLIMEX;PXM (POLIMEXMS);45;6.5000;0.0000;0.00;15;97.50
2026-07-29;09:51:00;POLIMEX;PXM (POLIMEXMS);46;6.4950;0.0000;0.00;2;12.99
2026-07-29;09:52:00;POLIMEX;PXM (POLIMEXMS);47;6.4800;-0.0150;-0.23;54;349.98
2026-07-29;09:53:00;POLIMEX;PXM (POLIMEXMS);48;6.4950;0.0000;0.00;12;77.94
2026-07-29;09:55:00;POLIMEX;PXM (POLIMEXMS);49;6.4950;0.0000;0.00;1000;6495.00
2026-07-29;09:56:00;POLIMEX;PXM (POLIMEXMS);50;6.5000;0.0050;0.08;1531;9946.58
2026-07-29;09:58:00;POLIMEX;PXM (POLIMEXMS);51;6.5000;0.0000;0.00;242;1573.00
2026-07-29;10:01:00;POLIMEX;PXM (POLIMEXMS);52;6.4900;-0.0050;-0.08;1552;10072.56
2026-07-29;10:02:00;POLIMEX;PXM (POLIMEXMS);53;6.4900;0.0000;0.00;322;2089.78
2026-07-29;10:04:00;POLIMEX;PXM (POLIMEXMS);54;6.5000;0.0000;0.00;15;97.50
2026-07-29;10:06:00;POLIMEX;PXM (POLIMEXMS);55;6.5000;0.0200;0.31;301;1950.50
2026-07-29;10:07:00;POLIMEX;PXM (POLIMEXMS);56;6.5000;0.0000;0.00;1838;11947.00
2026-07-29;10:08:00;POLIMEX;PXM (POLIMEXMS);57;6.5100;0.0000;0.00;1;6.51
2026-07-29;10:09:00;POLIMEX;PXM (POLIMEXMS);58;6.5100;0.0000;0.00;160;1041.60
2026-07-29;10:10:00;POLIMEX;PXM (POLIMEXMS);59;6.5050;0.0050;0.08;1606;10444.00
2026-07-29;10:11:00;POLIMEX;PXM (POLIMEXMS);60;6.5050;0.0000;0.00;5;32.52
2026-07-29;10:12:00;POLIMEX;PXM (POLIMEXMS);61;6.5050;0.0000;0.00;1;6.50
2026-07-29;10:14:00;POLIMEX;PXM (POLIMEXMS);62;6.4850;-0.0200;-0.31;2;12.99
2026-07-29;10:15:00;POLIMEX;PXM (POLIMEXMS);63;6.4800;-0.0050;-0.08;19;123.21
2026-07-29;10:17:00;POLIMEX;PXM (POLIMEXMS);64;6.5000;0.0000;0.00;175;1137.50
2026-07-29;10:18:00;POLIMEX;PXM (POLIMEXMS);65;6.4850;0.0000;0.00;3207;20783.89
2026-07-29;10:19:00;POLIMEX;PXM (POLIMEXMS);66;6.4800;-0.0050;-0.08;1060;6869.10
2026-07-29;10:20:00;POLIMEX;PXM (POLIMEXMS);67;6.5000;0.0200;0.31;968;6277.78
2026-07-29;10:21:00;POLIMEX;PXM (POLIMEXMS);68;6.4900;0.0000;0.00;56;363.44
2026-07-29;10:22:00;POLIMEX;PXM (POLIMEXMS);69;6.5000;0.0000;0.00;458;2977.00
2026-07-29;10:23:00;POLIMEX;PXM (POLIMEXMS);70;6.4900;0.0000;0.00;548;3556.52
2026-07-29;10:27:00;POLIMEX;PXM (POLIMEXMS);71;6.4700;-0.0100;-0.15;6680;43265.17
2026-07-29;10:29:00;POLIMEX;PXM (POLIMEXMS);72;6.4700;0.0000;0.00;100;647.00
2026-07-29;10:30:00;POLIMEX;PXM (POLIMEXMS);73;6.4600;-0.0200;-0.31;3978;25731.09
2026-07-29;10:31:00;POLIMEX;PXM (POLIMEXMS);74;6.4600;0.0000;0.00;1830;11821.80
2026-07-29;10:33:00;POLIMEX;PXM (POLIMEXMS);75;6.4700;0.0100;0.15;2750;17791.50
2026-07-29;10:35:00;POLIMEX;PXM (POLIMEXMS);76;6.4650;0.0000;0.00;154;995.61
2026-07-29;10:36:00;POLIMEX;PXM (POLIMEXMS);77;6.4600;-0.0200;-0.31;3400;22012.72
2026-07-29;10:37:00;POLIMEX;PXM (POLIMEXMS);78;6.4600;-0.0050;-0.08;3000;19384.60
2026-07-29;10:38:00;POLIMEX;PXM (POLIMEXMS);79;6.4800;0.0000;0.00;1122;7270.56
2026-07-29;10:39:00;POLIMEX;PXM (POLIMEXMS);80;6.4900;0.0150;0.23;109;705.81
2026-07-29;10:40:00;POLIMEX;PXM (POLIMEXMS);81;6.4950;0.0050;0.08;1000;6490.37
2026-07-29;10:43:00;POLIMEX;PXM (POLIMEXMS);82;6.4850;0.0000;0.00;260;1686.10
2026-07-29;10:44:00;POLIMEX;PXM (POLIMEXMS);83;6.4800;0.0000;0.00;127;822.96
2026-07-29;10:45:00;POLIMEX;PXM (POLIMEXMS);84;6.4850;0.0000;0.00;87;564.20
2026-07-29;10:46:00;POLIMEX;PXM (POLIMEXMS);85;6.5000;0.0000;0.00;300;1950.00
2026-07-29;10:48:00;POLIMEX;PXM (POLIMEXMS);86;6.4800;-0.0050;-0.08;400;2593.43
2026-07-29;10:49:00;POLIMEX;PXM (POLIMEXMS);87;6.4700;-0.0100;-0.15;8160;52805.52
2026-07-29;10:52:00;POLIMEX;PXM (POLIMEXMS);88;6.4800;0.0000;0.00;223;1445.04
2026-07-29;10:53:00;POLIMEX;PXM (POLIMEXMS);89;6.4650;0.0000;0.00;1000;6464.99
2026-07-29;10:56:00;POLIMEX;PXM (POLIMEXMS);90;6.4800;0.0000;0.00;10;64.80
2026-07-29;10:57:00;POLIMEX;PXM (POLIMEXMS);91;6.4700;-0.0100;-0.15;20;129.50
2026-07-29;10:59:00;POLIMEX;PXM (POLIMEXMS);92;6.4700;0.0000;0.00;2400;15517.01
2026-07-29;11:00:00;POLIMEX;PXM (POLIMEXMS);93;6.4650;-0.0050;-0.08;383;2477.04
2026-07-29;11:01:00;POLIMEX;PXM (POLIMEXMS);94;6.4400;-0.0200;-0.31;61890;399453.89
2026-07-29;11:02:00;POLIMEX;PXM (POLIMEXMS);95;6.4250;-0.0100;-0.16;6224;39990.50
2026-07-29;11:03:00;POLIMEX;PXM (POLIMEXMS);96;6.4250;0.0050;0.08;5859;37626.62
2026-07-29;11:04:00;POLIMEX;PXM (POLIMEXMS);97;6.4250;0.0000;0.00;3134;20136.49
2026-07-29;11:05:00;POLIMEX;PXM (POLIMEXMS);98;6.4100;-0.0100;-0.16;5415;34745.35
2026-07-29;11:07:00;POLIMEX;PXM (POLIMEXMS);99;6.4200;0.0000;0.00;178;1142.76
2026-07-29;11:08:00;POLIMEX;PXM (POLIMEXMS);100;6.4200;0.0000;0.00;206;1322.52
2026-07-29;11:09:00;POLIMEX;PXM (POLIMEXMS);101;6.4200;0.0050;0.08;738;4737.77
2026-07-29;11:10:00;POLIMEX;PXM (POLIMEXMS);102;6.4200;0.0000;0.00;15;96.30
2026-07-29;11:11:00;POLIMEX;PXM (POLIMEXMS);103;6.4200;0.0000;0.00;2187;14040.54
2026-07-29;11:12:00;POLIMEX;PXM (POLIMEXMS);104;6.4300;0.0000;0.00;17;109.31
2026-07-29;11:13:00;POLIMEX;PXM (POLIMEXMS);105;6.4350;0.0050;0.08;4553;29284.17
2026-07-29;11:14:00;POLIMEX;PXM (POLIMEXMS);106;6.4300;-0.0050;-0.08;2056;13230.36
2026-07-29;11:16:00;POLIMEX;PXM (POLIMEXMS);107;6.4350;0.0000;0.00;5;32.17
2026-07-29;11:17:00;POLIMEX;PXM (POLIMEXMS);108;6.4250;-0.0050;-0.08;232;1491.20
2026-07-29;11:19:00;POLIMEX;PXM (POLIMEXMS);109;6.4200;-0.0050;-0.08;6932;44525.94
2026-07-29;11:20:00;POLIMEX;PXM (POLIMEXMS);110;6.4100;-0.0050;-0.08;255;1634.56
2026-07-29;11:21:00;POLIMEX;PXM (POLIMEXMS);111;6.4200;0.0000;0.00;14;89.88
2026-07-29;11:23:00;POLIMEX;PXM (POLIMEXMS);112;6.4150;0.0000;0.00;49;314.33
2026-07-29;11:24:00;POLIMEX;PXM (POLIMEXMS);113;6.4100;-0.0100;-0.16;4662;29889.43
2026-07-29;11:25:00;POLIMEX;PXM (POLIMEXMS);114;6.4150;0.0000;0.00;4202;26962.10
