Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-11;09:00:00;POLWAX;PWX (POLWAX);1;0.9720;0.0000;0.00;2;1.94
2026-09-11;09:50:00;POLWAX;PWX (POLWAX);2;0.9700;0.0000;0.00;72;69.84
2026-09-11;09:52:00;POLWAX;PWX (POLWAX);3;0.9700;0.0000;0.00;228;221.16
2026-09-11;10:39:00;POLWAX;PWX (POLWAX);4;0.9700;0.0000;0.00;1072;1039.84
2026-09-11;11:01:00;POLWAX;PWX (POLWAX);5;0.9600;0.0000;0.00;2000;1920.00
2026-09-11;11:10:00;POLWAX;PWX (POLWAX);6;0.9600;0.0000;0.00;5000;4800.00
2026-09-11;11:19:00;POLWAX;PWX (POLWAX);7;0.9600;0.0000;0.00;1500;1440.00
2026-09-11;11:43:00;POLWAX;PWX (POLWAX);8;0.9600;0.0000;0.00;25;24.00
2026-09-11;11:44:00;POLWAX;PWX (POLWAX);9;0.9600;0.0000;0.00;54;51.84
2026-09-11;12:09:00;POLWAX;PWX (POLWAX);10;0.9520;0.0000;0.00;3500;3332.00
2026-09-11;15:14:00;POLWAX;PWX (POLWAX);11;0.9520;0.0000;0.00;3421;3256.79
2026-09-11;15:58:00;POLWAX;PWX (POLWAX);12;0.9700;0.0000;0.00;610;591.70
