Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-25;09:00:00;PROJPRZEM;PJP (PJPMAKRUM);1;22.7000;0.0000;0.00;2;45.40
2026-08-25;10:12:00;PROJPRZEM;PJP (PJPMAKRUM);2;22.5000;0.0000;0.00;103;2317.50
2026-08-25;10:18:00;PROJPRZEM;PJP (PJPMAKRUM);3;22.5000;0.0000;0.00;4;90.00
2026-08-25;11:40:00;PROJPRZEM;PJP (PJPMAKRUM);4;21.9000;0.0000;0.00;345;7555.50
2026-08-25;11:42:00;PROJPRZEM;PJP (PJPMAKRUM);5;21.5000;0.0000;0.00;651;13992.30
2026-08-25;11:54:00;PROJPRZEM;PJP (PJPMAKRUM);6;21.4000;0.0000;0.00;51;1091.40
2026-08-25;11:55:00;PROJPRZEM;PJP (PJPMAKRUM);7;20.8000;-0.2000;-0.95;51;1070.80
2026-08-25;11:58:00;PROJPRZEM;PJP (PJPMAKRUM);8;21.4000;0.0000;0.00;1;21.40
2026-08-25;12:00:00;PROJPRZEM;PJP (PJPMAKRUM);9;21.4000;0.0000;0.00;368;7875.20
2026-08-25;12:14:00;PROJPRZEM;PJP (PJPMAKRUM);10;21.4000;0.0000;0.00;200;4280.00
2026-08-25;12:15:00;PROJPRZEM;PJP (PJPMAKRUM);11;21.5000;0.0000;0.00;2;43.00
2026-08-25;12:16:00;PROJPRZEM;PJP (PJPMAKRUM);12;21.4000;0.0000;0.00;104;2225.60
2026-08-25;12:40:00;PROJPRZEM;PJP (PJPMAKRUM);13;21.4000;0.0000;0.00;46;984.40
2026-08-25;13:38:00;PROJPRZEM;PJP (PJPMAKRUM);14;21.4000;0.0000;0.00;100;2140.00
2026-08-25;13:49:00;PROJPRZEM;PJP (PJPMAKRUM);15;21.4000;0.0000;0.00;1;21.40
2026-08-25;14:06:00;PROJPRZEM;PJP (PJPMAKRUM);16;21.4000;0.0000;0.00;2;42.80
2026-08-25;14:49:00;PROJPRZEM;PJP (PJPMAKRUM);17;21.5000;0.1000;0.47;156;3338.90
2026-08-25;15:14:00;PROJPRZEM;PJP (PJPMAKRUM);18;21.5000;0.0000;0.00;105;2257.50
2026-08-25;16:09:00;PROJPRZEM;PJP (PJPMAKRUM);19;21.4000;0.0000;0.00;1;21.40
2026-08-25;17:00:00;PROJPRZEM;PJP (PJPMAKRUM);20;22.7000;0.0000;0.00;2;45.40
