Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-30;09:00:00;PROTEKTOR;PRT (PROTEKTOR);1;1.1520;0.0000;0.00;510;587.52
2026-07-30;09:01:00;PROTEKTOR;PRT (PROTEKTOR);2;1.1520;0.0000;0.00;10;11.52
2026-07-30;09:03:00;PROTEKTOR;PRT (PROTEKTOR);3;1.1500;0.0000;0.00;2730;3139.50
2026-07-30;09:24:00;PROTEKTOR;PRT (PROTEKTOR);4;1.1520;0.0000;0.00;60;69.12
2026-07-30;09:57:00;PROTEKTOR;PRT (PROTEKTOR);5;1.1400;0.0000;0.00;80;91.20
2026-07-30;10:00:00;PROTEKTOR;PRT (PROTEKTOR);6;1.1400;0.0000;0.00;10;11.40
2026-07-30;10:03:00;PROTEKTOR;PRT (PROTEKTOR);7;1.1400;0.0000;0.00;50;57.00
2026-07-30;10:06:00;PROTEKTOR;PRT (PROTEKTOR);8;1.1400;0.0000;0.00;300;342.00
2026-07-30;10:08:00;PROTEKTOR;PRT (PROTEKTOR);9;1.1400;0.0000;0.00;1150;1311.00
2026-07-30;10:22:00;PROTEKTOR;PRT (PROTEKTOR);10;1.1400;0.0000;0.00;1000;1140.00
2026-07-30;10:23:00;PROTEKTOR;PRT (PROTEKTOR);11;1.1360;0.0000;0.00;120;136.32
2026-07-30;10:27:00;PROTEKTOR;PRT (PROTEKTOR);12;1.1360;0.0000;0.00;6;6.82
2026-07-30;10:30:00;PROTEKTOR;PRT (PROTEKTOR);13;1.1400;0.0000;0.00;1257;1432.98
2026-07-30;11:34:00;PROTEKTOR;PRT (PROTEKTOR);14;1.1400;0.0000;0.00;300;342.00
2026-07-30;11:35:00;PROTEKTOR;PRT (PROTEKTOR);15;1.1400;0.0000;0.00;100;114.00
2026-07-30;11:37:00;PROTEKTOR;PRT (PROTEKTOR);16;1.1400;0.0000;0.00;418;476.52
2026-07-30;11:47:00;PROTEKTOR;PRT (PROTEKTOR);17;1.1400;0.0000;0.00;4;4.56
2026-07-30;11:50:00;PROTEKTOR;PRT (PROTEKTOR);18;1.1400;0.0000;0.00;25;28.50
2026-07-30;11:51:00;PROTEKTOR;PRT (PROTEKTOR);19;1.1480;0.0000;0.00;174;199.75
2026-07-30;11:56:00;PROTEKTOR;PRT (PROTEKTOR);20;1.1400;0.0000;0.00;718;818.52
2026-07-30;12:01:00;PROTEKTOR;PRT (PROTEKTOR);21;1.1380;0.0000;0.00;1000;1138.00
2026-07-30;12:05:00;PROTEKTOR;PRT (PROTEKTOR);22;1.1360;0.0000;0.00;2528;2871.81
2026-07-30;12:06:00;PROTEKTOR;PRT (PROTEKTOR);23;1.1360;0.0000;0.00;332;377.15
2026-07-30;12:12:00;PROTEKTOR;PRT (PROTEKTOR);24;1.1380;-0.0020;-0.18;2628;2990.86
2026-07-30;12:13:00;PROTEKTOR;PRT (PROTEKTOR);25;1.1320;-0.0020;-0.18;2000;2265.62
2026-07-30;12:16:00;PROTEKTOR;PRT (PROTEKTOR);26;1.1320;0.0000;0.00;811;918.05
2026-07-30;12:17:00;PROTEKTOR;PRT (PROTEKTOR);27;1.1320;0.0000;0.00;6;6.79
2026-07-30;12:24:00;PROTEKTOR;PRT (PROTEKTOR);28;1.1320;0.0000;0.00;335;379.22
