Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-08;09:00:00;PTG;PTG (POLTREG);1;22.7000;0.0000;0.00;41;930.70
2026-09-08;09:02:00;PTG;PTG (POLTREG);2;22.7000;0.0000;0.00;11;249.70
2026-09-08;09:19:00;PTG;PTG (POLTREG);3;22.7000;0.0000;0.00;48;1089.60
2026-09-08;09:20:00;PTG;PTG (POLTREG);4;22.7000;0.0000;0.00;52;1180.40
2026-09-08;09:44:00;PTG;PTG (POLTREG);5;22.6000;0.0000;0.00;22;497.20
2026-09-08;09:48:00;PTG;PTG (POLTREG);6;22.4000;0.0000;0.00;227;5084.80
2026-09-08;09:51:00;PTG;PTG (POLTREG);7;22.2000;0.0000;0.00;39;865.80
2026-09-08;09:52:00;PTG;PTG (POLTREG);8;22.2000;0.0000;0.00;47;1043.40
2026-09-08;09:55:00;PTG;PTG (POLTREG);9;22.2000;0.0000;0.00;163;3618.60
2026-09-08;09:59:00;PTG;PTG (POLTREG);10;22.2000;0.0000;0.00;562;12476.40
2026-09-08;10:07:00;PTG;PTG (POLTREG);11;22.2000;0.0000;0.00;289;6415.80
2026-09-08;10:16:00;PTG;PTG (POLTREG);12;22.1000;0.0000;0.00;78;1723.80
2026-09-08;11:12:00;PTG;PTG (POLTREG);13;22.2000;0.0000;0.00;240;5328.00
2026-09-08;11:41:00;PTG;PTG (POLTREG);14;22.3000;0.0000;0.00;9;200.70
2026-09-08;11:50:00;PTG;PTG (POLTREG);15;22.3000;0.0000;0.00;171;3813.30
2026-09-08;11:51:00;PTG;PTG (POLTREG);16;22.4000;0.0000;0.00;29;649.60
2026-09-08;12:09:00;PTG;PTG (POLTREG);17;22.4000;0.0000;0.00;151;3382.40
2026-09-08;12:18:00;PTG;PTG (POLTREG);18;22.7000;0.0000;0.00;74;1679.80
2026-09-08;12:23:00;PTG;PTG (POLTREG);19;22.7000;0.0000;0.00;43;976.10
2026-09-08;12:48:00;PTG;PTG (POLTREG);20;22.7000;0.0000;0.00;31;703.70
2026-09-08;13:16:00;PTG;PTG (POLTREG);21;22.4000;0.0000;0.00;93;2083.20
2026-09-08;13:49:00;PTG;PTG (POLTREG);22;22.7000;0.0000;0.00;285;6469.50
2026-09-08;13:59:00;PTG;PTG (POLTREG);23;22.8000;0.0000;0.00;15;342.00
2026-09-08;14:10:00;PTG;PTG (POLTREG);24;22.7000;0.0000;0.00;15;340.50
2026-09-08;15:41:00;PTG;PTG (POLTREG);25;22.4000;0.0000;0.00;10;224.00
2026-09-08;15:49:00;PTG;PTG (POLTREG);26;22.7000;0.0000;0.00;85;1929.50
2026-09-08;16:00:00;PTG;PTG (POLTREG);27;22.8000;0.0000;0.00;30;684.00
2026-09-08;16:16:00;PTG;PTG (POLTREG);28;22.8000;0.0000;0.00;35;798.00
2026-09-08;16:35:00;PTG;PTG (POLTREG);29;22.8000;0.0000;0.00;250;5700.00
2026-09-08;16:43:00;PTG;PTG (POLTREG);30;22.8000;0.0000;0.00;10;228.00
2026-09-08;16:46:00;PTG;PTG (POLTREG);31;22.8000;0.0000;0.00;200;4560.00
2026-09-08;17:00:00;PTG;PTG (POLTREG);32;23.2000;0.0000;0.00;961;22295.20
