Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-17;09:00:00;PTWP;PTW (PTWP);1;142.0000;0.0000;0.00;3;426.00
2026-08-17;09:26:00;PTWP;PTW (PTWP);2;139.0000;0.0000;0.00;1;139.00
2026-08-17;10:06:00;PTWP;PTW (PTWP);3;142.0000;0.0000;0.00;2;284.00
2026-08-17;10:57:00;PTWP;PTW (PTWP);4;145.0000;3.0000;2.11;110;15854.00
2026-08-17;11:06:00;PTWP;PTW (PTWP);5;143.0000;0.0000;0.00;1;143.00
2026-08-17;11:33:00;PTWP;PTW (PTWP);6;147.0000;2.0000;1.38;100;14602.50
2026-08-17;11:49:00;PTWP;PTW (PTWP);7;147.0000;1.0000;0.68;20;2937.00
2026-08-17;12:45:00;PTWP;PTW (PTWP);8;143.0000;0.0000;0.00;4;572.00
2026-08-17;12:46:00;PTWP;PTW (PTWP);9;145.5000;0.0000;0.00;1;145.50
2026-08-17;12:52:00;PTWP;PTW (PTWP);10;143.0000;0.0000;0.00;1;143.00
