Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-24;09:00:00;PUR;PUR (PURE);1;2.2000;0.0000;0.00;6046;13301.20
2026-07-24;09:03:00;PUR;PUR (PURE);2;2.2000;0.0000;0.00;465;1023.00
2026-07-24;09:08:00;PUR;PUR (PURE);3;2.2000;0.0000;0.00;10;22.00
2026-07-24;09:09:00;PUR;PUR (PURE);4;2.1700;-0.0250;-1.14;729;1584.45
2026-07-24;09:29:00;PUR;PUR (PURE);5;2.2000;0.0000;0.00;3286;7229.20
2026-07-24;09:33:00;PUR;PUR (PURE);6;2.2100;0.0100;0.45;2070;4560.20
2026-07-24;09:34:00;PUR;PUR (PURE);7;2.2300;0.0200;0.90;5805;12889.58
2026-07-24;09:35:00;PUR;PUR (PURE);8;2.2100;-0.0250;-1.12;844;1886.19
2026-07-24;09:39:00;PUR;PUR (PURE);9;2.2400;0.0300;1.36;1010;2232.40
2026-07-24;09:40:00;PUR;PUR (PURE);10;2.2000;0.0000;0.00;100;220.00
2026-07-24;09:47:00;PUR;PUR (PURE);11;2.2850;0.0500;2.24;18418;41651.15
2026-07-24;09:48:00;PUR;PUR (PURE);12;2.2900;0.0050;0.22;7898;18076.74
2026-07-24;09:49:00;PUR;PUR (PURE);13;2.3400;0.0450;1.96;9053;20925.21
2026-07-24;09:50:00;PUR;PUR (PURE);14;2.3000;0.0000;0.00;434;998.20
2026-07-24;09:51:00;PUR;PUR (PURE);15;2.3000;0.0000;0.00;3385;7785.50
2026-07-24;09:52:00;PUR;PUR (PURE);16;2.3000;0.0000;0.00;1702;3925.68
2026-07-24;09:53:00;PUR;PUR (PURE);17;2.3300;0.0050;0.22;263;612.54
2026-07-24;09:54:00;PUR;PUR (PURE);18;2.3250;-0.0050;-0.21;7731;17999.50
2026-07-24;09:56:00;PUR;PUR (PURE);19;2.3000;-0.0050;-0.22;120;276.50
2026-07-24;09:57:00;PUR;PUR (PURE);20;2.3200;-0.0050;-0.22;212;491.85
2026-07-24;09:58:00;PUR;PUR (PURE);21;2.2950;-0.0200;-0.86;6464;14896.20
2026-07-24;10:01:00;PUR;PUR (PURE);22;2.2900;0.0300;1.33;95;215.30
2026-07-24;10:02:00;PUR;PUR (PURE);23;2.2950;0.0050;0.22;420;962.86
2026-07-24;10:04:00;PUR;PUR (PURE);24;2.2850;0.0000;0.00;1688;3857.08
2026-07-24;10:05:00;PUR;PUR (PURE);25;2.2850;0.0000;0.00;205;468.43
2026-07-24;10:06:00;PUR;PUR (PURE);26;2.2700;0.0000;0.00;980;2224.60
2026-07-24;10:07:00;PUR;PUR (PURE);27;2.2700;0.0000;0.00;12;27.39
2026-07-24;10:09:00;PUR;PUR (PURE);28;2.2850;0.0000;0.00;15;34.27
2026-07-24;10:10:00;PUR;PUR (PURE);29;2.2750;-0.0050;-0.22;352;800.80
2026-07-24;10:11:00;PUR;PUR (PURE);30;2.2750;0.0000;0.00;3135;7132.12
2026-07-24;10:12:00;PUR;PUR (PURE);31;2.2850;0.0050;0.22;86;196.21
2026-07-24;10:13:00;PUR;PUR (PURE);32;2.2900;0.0050;0.22;4618;10572.13
2026-07-24;10:14:00;PUR;PUR (PURE);33;2.2800;-0.0100;-0.44;1397;3198.19
2026-07-24;10:15:00;PUR;PUR (PURE);34;2.2800;0.0000;0.00;368;839.04
2026-07-24;10:16:00;PUR;PUR (PURE);35;2.2750;-0.0200;-0.87;1701;3908.33
2026-07-24;10:18:00;PUR;PUR (PURE);36;2.2950;0.0000;0.00;1;2.29
2026-07-24;10:24:00;PUR;PUR (PURE);37;2.2850;0.0000;0.00;10;22.85
2026-07-24;10:28:00;PUR;PUR (PURE);38;2.2850;0.0050;0.22;682;1555.00
2026-07-24;10:29:00;PUR;PUR (PURE);39;2.2850;0.0000;0.00;10;22.85
2026-07-24;10:30:00;PUR;PUR (PURE);40;2.2800;0.0000;0.00;160;364.80
2026-07-24;10:37:00;PUR;PUR (PURE);41;2.2850;0.0000;0.00;10;22.85
2026-07-24;10:40:00;PUR;PUR (PURE);42;2.2600;-0.0200;-0.88;5875;13305.97
2026-07-24;10:41:00;PUR;PUR (PURE);43;2.2800;0.0200;0.88;2746;6206.16
2026-07-24;10:42:00;PUR;PUR (PURE);44;2.2800;0.0000;0.00;51;116.28
2026-07-24;10:45:00;PUR;PUR (PURE);45;2.2600;0.0000;0.00;596;1346.96
2026-07-24;10:46:00;PUR;PUR (PURE);46;2.2600;0.0000;0.00;1021;2307.46
2026-07-24;10:47:00;PUR;PUR (PURE);47;2.2800;0.0000;0.00;20;45.60
2026-07-24;10:50:00;PUR;PUR (PURE);48;2.2800;0.0000;0.00;20;45.60
2026-07-24;10:51:00;PUR;PUR (PURE);49;2.2800;0.0000;0.00;40;91.20
2026-07-24;10:52:00;PUR;PUR (PURE);50;2.2800;0.0000;0.00;27;61.56
2026-07-24;10:53:00;PUR;PUR (PURE);51;2.2800;0.0000;0.00;3680;8317.46
2026-07-24;10:54:00;PUR;PUR (PURE);52;2.2800;0.0000;0.00;167;380.76
2026-07-24;10:55:00;PUR;PUR (PURE);53;2.2600;-0.0200;-0.88;3013;6809.64
2026-07-24;10:56:00;PUR;PUR (PURE);54;2.2800;0.0000;0.00;10;22.80
2026-07-24;10:57:00;PUR;PUR (PURE);55;2.2600;-0.0200;-0.88;2010;4542.80
2026-07-24;10:58:00;PUR;PUR (PURE);56;2.2800;0.0000;0.00;10;22.80
2026-07-24;11:00:00;PUR;PUR (PURE);57;2.2500;0.0000;0.00;1265;2846.25
2026-07-24;11:02:00;PUR;PUR (PURE);58;2.2800;0.0000;0.00;10;22.80
2026-07-24;11:06:00;PUR;PUR (PURE);59;2.2800;0.0000;0.00;10;22.80
2026-07-24;11:07:00;PUR;PUR (PURE);60;2.2800;0.0000;0.00;10;22.80
2026-07-24;11:13:00;PUR;PUR (PURE);61;2.2800;0.0000;0.00;400;912.00
2026-07-24;11:17:00;PUR;PUR (PURE);62;2.2650;0.0000;0.00;1700;3850.50
2026-07-24;11:21:00;PUR;PUR (PURE);63;2.2600;-0.0050;-0.22;160;361.75
2026-07-24;11:22:00;PUR;PUR (PURE);64;2.2750;0.0000;0.00;6;13.65
2026-07-24;11:24:00;PUR;PUR (PURE);65;2.2750;0.0000;0.00;10;22.75
2026-07-24;11:34:00;PUR;PUR (PURE);66;2.2750;0.0000;0.00;219;498.23
2026-07-24;11:36:00;PUR;PUR (PURE);67;2.2700;0.0000;0.00;200;454.00
2026-07-24;11:42:00;PUR;PUR (PURE);68;2.2700;0.0000;0.00;100;227.00
2026-07-24;11:43:00;PUR;PUR (PURE);69;2.2700;0.0000;0.00;366;830.82
2026-07-24;11:44:00;PUR;PUR (PURE);70;2.2700;0.0000;0.00;184;417.68
2026-07-24;11:45:00;PUR;PUR (PURE);71;2.2700;0.0000;0.00;1316;2987.32
2026-07-24;11:47:00;PUR;PUR (PURE);72;2.2750;0.0050;0.22;749;1703.05
2026-07-24;11:48:00;PUR;PUR (PURE);73;2.2800;0.0000;0.00;52;118.56
2026-07-24;11:50:00;PUR;PUR (PURE);74;2.2750;0.0000;0.00;15;34.13
2026-07-24;11:57:00;PUR;PUR (PURE);75;2.2800;0.0000;0.00;10;22.80
2026-07-24;12:06:00;PUR;PUR (PURE);76;2.2600;-0.0150;-0.66;806;1821.65
2026-07-24;12:09:00;PUR;PUR (PURE);77;2.2600;0.0000;0.00;70;158.20
2026-07-24;12:13:00;PUR;PUR (PURE);78;2.2500;0.0000;0.00;599;1347.75
2026-07-24;12:15:00;PUR;PUR (PURE);79;2.2600;0.0000;0.00;10;22.60
2026-07-24;12:16:00;PUR;PUR (PURE);80;2.2600;0.0000;0.00;10;22.60
2026-07-24;12:21:00;PUR;PUR (PURE);81;2.2600;0.0000;0.00;70;158.20
2026-07-24;12:24:00;PUR;PUR (PURE);82;2.2600;0.0000;0.00;10;22.60
2026-07-24;12:38:00;PUR;PUR (PURE);83;2.2600;0.0000;0.00;1;2.26
2026-07-24;12:41:00;PUR;PUR (PURE);84;2.2250;-0.0300;-1.33;4000;8901.80
2026-07-24;12:42:00;PUR;PUR (PURE);85;2.2200;0.0000;0.00;2966;6584.52
2026-07-24;12:43:00;PUR;PUR (PURE);86;2.2200;0.0100;0.45;7720;17061.40
2026-07-24;12:44:00;PUR;PUR (PURE);87;2.2600;0.0400;1.80;10;22.44
2026-07-24;12:48:00;PUR;PUR (PURE);88;2.2550;0.0000;0.00;10;22.55
2026-07-24;12:51:00;PUR;PUR (PURE);89;2.2550;0.0000;0.00;230;518.65
2026-07-24;12:54:00;PUR;PUR (PURE);90;2.2100;0.0000;0.00;150;331.50
2026-07-24;12:55:00;PUR;PUR (PURE);91;2.2500;0.0000;0.00;500;1125.00
2026-07-24;12:58:00;PUR;PUR (PURE);92;2.2200;0.0000;0.00;993;2204.46
2026-07-24;13:02:00;PUR;PUR (PURE);93;2.2200;-0.0050;-0.22;2317;5148.74
2026-07-24;13:08:00;PUR;PUR (PURE);94;2.2500;0.0000;0.00;2;4.50
2026-07-24;13:11:00;PUR;PUR (PURE);95;2.2500;0.0000;0.00;10;22.50
2026-07-24;13:12:00;PUR;PUR (PURE);96;2.2200;0.0000;0.00;872;1935.84
2026-07-24;13:13:00;PUR;PUR (PURE);97;2.2550;0.0000;0.00;1;2.25
2026-07-24;13:16:00;PUR;PUR (PURE);98;2.2550;0.0000;0.00;4;9.02
2026-07-24;13:28:00;PUR;PUR (PURE);99;2.2500;0.0250;1.12;23;51.42
2026-07-24;13:50:00;PUR;PUR (PURE);100;2.2200;0.0000;0.00;1712;3800.64
2026-07-24;14:06:00;PUR;PUR (PURE);101;2.2200;0.0000;0.00;1430;3174.60
2026-07-24;14:16:00;PUR;PUR (PURE);102;2.2150;-0.0050;-0.23;10;22.19
2026-07-24;14:24:00;PUR;PUR (PURE);103;2.2200;0.0000;0.00;2699;5991.78
2026-07-24;14:26:00;PUR;PUR (PURE);104;2.2100;-0.0150;-0.67;12972;28688.18
2026-07-24;14:32:00;PUR;PUR (PURE);105;2.2100;0.0000;0.00;3735;8254.35
2026-07-24;14:35:00;PUR;PUR (PURE);106;2.1850;-0.0250;-1.13;2600;5716.90
2026-07-24;14:37:00;PUR;PUR (PURE);107;2.2150;0.0000;0.00;1;2.21
2026-07-24;14:40:00;PUR;PUR (PURE);108;2.2150;0.0050;0.23;1000;2211.00
2026-07-24;14:42:00;PUR;PUR (PURE);109;2.2100;0.0000;0.00;1000;2210.00
2026-07-24;14:44:00;PUR;PUR (PURE);110;2.2100;0.0000;0.00;87;192.27
2026-07-24;14:46:00;PUR;PUR (PURE);111;2.1750;-0.0150;-0.68;4000;8716.53
2026-07-24;14:54:00;PUR;PUR (PURE);112;2.1800;0.0000;0.00;30;65.40
