Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-25;09:00:00;PZU;PZU;1;72.7400;-0.0800;-0.11;16760;1219892.20
2026-08-25;09:01:00;PZU;PZU;2;72.9000;0.1600;0.22;1804;131404.72
2026-08-25;09:02:00;PZU;PZU;3;72.9400;0.1000;0.14;3660;266745.50
2026-08-25;09:03:00;PZU;PZU;4;72.8800;-0.0400;-0.05;886;64574.14
2026-08-25;09:04:00;PZU;PZU;5;72.8800;0.0400;0.05;2962;215908.74
2026-08-25;09:05:00;PZU;PZU;6;72.9000;0.0200;0.03;878;63981.46
2026-08-25;09:06:00;PZU;PZU;7;72.7000;-0.1200;-0.16;1557;113387.06
2026-08-25;09:07:00;PZU;PZU;8;72.7600;-0.0600;-0.08;1188;86484.62
2026-08-25;09:08:00;PZU;PZU;9;72.7600;0.0600;0.08;694;50462.92
2026-08-25;09:09:00;PZU;PZU;10;72.6400;-0.0600;-0.08;1584;115115.10
2026-08-25;09:10:00;PZU;PZU;11;72.6400;0.0000;0.00;460;33412.16
2026-08-25;09:11:00;PZU;PZU;12;72.6600;-0.0200;-0.03;448;32560.60
2026-08-25;09:12:00;PZU;PZU;13;72.6600;0.0000;0.00;60;4359.60
2026-08-25;09:13:00;PZU;PZU;14;72.5800;-0.0600;-0.08;1889;137155.82
2026-08-25;09:14:00;PZU;PZU;15;72.6600;0.0800;0.11;1809;131342.00
2026-08-25;09:15:00;PZU;PZU;16;72.6400;0.0400;0.06;5825;422700.46
2026-08-25;09:16:00;PZU;PZU;17;72.6000;-0.0200;-0.03;977;70938.40
2026-08-25;09:17:00;PZU;PZU;18;72.5400;-0.0800;-0.11;2256;163778.46
2026-08-25;09:18:00;PZU;PZU;19;72.5200;-0.0400;-0.06;1177;85399.74
2026-08-25;09:19:00;PZU;PZU;20;72.5400;0.0000;0.00;4873;353317.02
2026-08-25;09:20:00;PZU;PZU;21;72.5800;0.0400;0.06;1324;96054.86
2026-08-25;09:21:00;PZU;PZU;22;72.5800;0.0000;0.00;2503;181655.36
2026-08-25;09:22:00;PZU;PZU;23;72.6000;0.0000;0.00;308;22360.80
2026-08-25;09:23:00;PZU;PZU;24;72.5800;-0.0200;-0.03;137;9940.10
2026-08-25;09:24:00;PZU;PZU;25;72.6000;0.0200;0.03;1557;113002.22
2026-08-25;09:25:00;PZU;PZU;26;72.7200;0.1200;0.17;3531;256562.88
2026-08-25;09:26:00;PZU;PZU;27;72.7000;-0.0200;-0.03;263;19134.26
2026-08-25;09:27:00;PZU;PZU;28;72.6000;-0.1000;-0.14;3509;254852.62
2026-08-25;09:28:00;PZU;PZU;29;72.6200;0.0000;0.00;4086;296612.62
2026-08-25;09:29:00;PZU;PZU;30;72.6000;-0.0200;-0.03;2239;162576.22
2026-08-25;09:30:00;PZU;PZU;31;72.6400;0.0200;0.03;1740;126369.48
2026-08-25;09:31:00;PZU;PZU;32;72.6400;-0.0200;-0.03;1594;115827.62
2026-08-25;09:32:00;PZU;PZU;33;72.6600;0.0200;0.03;2198;159670.32
2026-08-25;09:33:00;PZU;PZU;34;72.6400;0.0000;0.00;499;36247.36
2026-08-25;09:34:00;PZU;PZU;35;72.5200;-0.1000;-0.14;7223;524197.44
2026-08-25;09:35:00;PZU;PZU;36;72.4400;-0.1000;-0.14;3858;279686.42
2026-08-25;09:36:00;PZU;PZU;37;72.4400;0.0000;0.00;1017;73654.56
2026-08-25;09:37:00;PZU;PZU;38;72.4200;-0.0200;-0.03;752;54458.00
2026-08-25;09:38:00;PZU;PZU;39;72.4000;-0.0200;-0.03;1435;103904.68
