Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-23;09:00:00;QNA;QNA (QNATECHNO);1;33.6000;0.0000;0.00;11;369.60
2026-07-23;09:05:00;QNA;QNA (QNATECHNO);2;32.7000;-0.3000;-0.91;274;8969.10
2026-07-23;09:10:00;QNA;QNA (QNATECHNO);3;33.3000;0.0000;0.00;12;399.60
2026-07-23;09:16:00;QNA;QNA (QNATECHNO);4;33.4000;0.0000;0.00;1;33.40
2026-07-23;09:26:00;QNA;QNA (QNATECHNO);5;33.3000;0.0000;0.00;80;2664.00
2026-07-23;09:27:00;QNA;QNA (QNATECHNO);6;32.2000;0.0000;0.00;9;289.80
2026-07-23;09:31:00;QNA;QNA (QNATECHNO);7;33.0000;0.0000;0.00;9;297.00
2026-07-23;09:32:00;QNA;QNA (QNATECHNO);8;33.0000;-0.1000;-0.30;304;10062.30
2026-07-23;09:33:00;QNA;QNA (QNATECHNO);9;32.9000;0.0000;0.00;300;9870.00
2026-07-23;09:34:00;QNA;QNA (QNATECHNO);10;32.9000;0.0000;0.00;300;9870.00
2026-07-23;09:44:00;QNA;QNA (QNATECHNO);11;32.9000;0.0000;0.00;1;32.90
2026-07-23;09:47:00;QNA;QNA (QNATECHNO);12;32.9000;0.0000;0.00;14;460.60
2026-07-23;09:49:00;QNA;QNA (QNATECHNO);13;32.9000;0.0000;0.00;10;329.00
2026-07-23;09:56:00;QNA;QNA (QNATECHNO);14;32.8000;0.0000;0.00;3;98.40
2026-07-23;10:02:00;QNA;QNA (QNATECHNO);15;31.9000;-0.2000;-0.62;200;6383.10
2026-07-23;10:03:00;QNA;QNA (QNATECHNO);16;31.9000;-0.2000;-0.62;184;5877.60
2026-07-23;10:05:00;QNA;QNA (QNATECHNO);17;31.4000;-0.2000;-0.63;32;1006.00
2026-07-23;10:06:00;QNA;QNA (QNATECHNO);18;31.5000;0.0000;0.00;19;598.50
2026-07-23;10:11:00;QNA;QNA (QNATECHNO);19;32.5000;0.0000;0.00;10;325.00
2026-07-23;10:18:00;QNA;QNA (QNATECHNO);20;31.2000;-0.3000;-0.95;104;3275.10
2026-07-23;10:19:00;QNA;QNA (QNATECHNO);21;31.5000;0.0000;0.00;59;1858.50
2026-07-23;10:22:00;QNA;QNA (QNATECHNO);22;31.2000;0.0000;0.00;75;2340.00
2026-07-23;10:23:00;QNA;QNA (QNATECHNO);23;31.2000;0.0000;0.00;97;3026.40
2026-07-23;10:35:00;QNA;QNA (QNATECHNO);24;32.3000;0.0000;0.00;2;64.60
2026-07-23;10:58:00;QNA;QNA (QNATECHNO);25;32.3000;0.0000;0.00;13;419.90
2026-07-23;11:10:00;QNA;QNA (QNATECHNO);26;31.5000;0.0000;0.00;307;9670.50
2026-07-23;11:18:00;QNA;QNA (QNATECHNO);27;32.3000;0.0000;0.00;38;1227.40
