Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-24;09:00:00;QUANTUM-SOFTWARE;QNT (QUANTUM);1;40.0000;0.8000;2.04;306;12232.00
2026-09-24;09:18:00;QUANTUM-SOFTWARE;QNT (QUANTUM);2;40.0000;0.0000;0.00;50;2000.00
2026-09-24;09:45:00;QUANTUM-SOFTWARE;QNT (QUANTUM);3;41.0000;0.0000;0.00;5;205.00
2026-09-24;10:10:00;QUANTUM-SOFTWARE;QNT (QUANTUM);4;41.0000;0.0000;0.00;200;8200.00
2026-09-24;10:46:00;QUANTUM-SOFTWARE;QNT (QUANTUM);5;40.0000;0.0000;0.00;8;320.00
2026-09-24;10:50:00;QUANTUM-SOFTWARE;QNT (QUANTUM);6;42.0000;1.0000;2.44;450;18730.40
2026-09-24;10:59:00;QUANTUM-SOFTWARE;QNT (QUANTUM);7;42.4000;0.0000;0.00;280;11872.00
2026-09-24;11:14:00;QUANTUM-SOFTWARE;QNT (QUANTUM);8;43.6000;0.0000;0.00;200;8720.00
2026-09-24;11:16:00;QUANTUM-SOFTWARE;QNT (QUANTUM);9;43.6000;0.0000;0.00;22;959.20
2026-09-24;11:31:00;QUANTUM-SOFTWARE;QNT (QUANTUM);10;43.6000;0.0000;0.00;20;872.00
2026-09-24;12:14:00;QUANTUM-SOFTWARE;QNT (QUANTUM);11;42.0000;0.0000;0.00;22;924.00
2026-09-24;14:41:00;QUANTUM-SOFTWARE;QNT (QUANTUM);12;42.0000;0.0000;0.00;95;3990.00
2026-09-24;15:55:00;QUANTUM-SOFTWARE;QNT (QUANTUM);13;42.0000;0.0000;0.00;50;2100.00
2026-09-24;16:35:00;QUANTUM-SOFTWARE;QNT (QUANTUM);14;42.4000;0.0000;0.00;35;1484.00
