Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-21;09:00:00;QUERCUS;QRS (QUERCUS);1;13.5200;0.0000;0.00;260;3515.20
2026-07-21;09:02:00;QUERCUS;QRS (QUERCUS);2;13.4600;0.0000;0.00;713;9596.98
2026-07-21;09:05:00;QUERCUS;QRS (QUERCUS);3;13.5200;0.0000;0.00;135;1825.20
2026-07-21;09:15:00;QUERCUS;QRS (QUERCUS);4;13.5400;0.0000;0.00;1000;13540.00
2026-07-21;09:17:00;QUERCUS;QRS (QUERCUS);5;13.5400;0.0000;0.00;357;4833.78
2026-07-21;09:18:00;QUERCUS;QRS (QUERCUS);6;13.7000;0.1600;1.18;13788;188584.80
2026-07-21;09:19:00;QUERCUS;QRS (QUERCUS);7;13.6600;-0.1000;-0.73;1808;24820.46
2026-07-21;09:21:00;QUERCUS;QRS (QUERCUS);8;13.7600;0.0000;0.00;200;2752.00
2026-07-21;09:24:00;QUERCUS;QRS (QUERCUS);9;13.7600;0.0000;0.00;17322;238350.72
2026-07-21;09:25:00;QUERCUS;QRS (QUERCUS);10;13.7000;0.0000;0.00;860;11782.00
2026-07-21;09:27:00;QUERCUS;QRS (QUERCUS);11;13.6800;0.0000;0.00;347;4746.96
2026-07-21;09:28:00;QUERCUS;QRS (QUERCUS);12;13.5200;-0.1400;-1.02;293;3979.70
2026-07-21;09:30:00;QUERCUS;QRS (QUERCUS);13;13.4800;0.0000;0.00;400;5392.00
2026-07-21;09:39:00;QUERCUS;QRS (QUERCUS);14;13.7400;0.0000;0.00;21;288.54
2026-07-21;09:54:00;QUERCUS;QRS (QUERCUS);15;13.7000;0.0000;0.00;328;4493.60
2026-07-21;09:55:00;QUERCUS;QRS (QUERCUS);16;13.7000;0.0000;0.00;172;2356.40
2026-07-21;09:57:00;QUERCUS;QRS (QUERCUS);17;13.7000;0.0000;0.00;194;2657.80
2026-07-21;09:58:00;QUERCUS;QRS (QUERCUS);18;13.7000;0.0000;0.00;297;4068.90
2026-07-21;10:07:00;QUERCUS;QRS (QUERCUS);19;13.7000;0.0000;0.00;1726;23646.20
2026-07-21;10:11:00;QUERCUS;QRS (QUERCUS);20;13.7000;0.0000;0.00;12;164.40
2026-07-21;10:14:00;QUERCUS;QRS (QUERCUS);21;13.6800;0.0000;0.00;225;3078.00
2026-07-21;10:22:00;QUERCUS;QRS (QUERCUS);22;13.7200;0.0200;0.15;591;8102.70
2026-07-21;10:25:00;QUERCUS;QRS (QUERCUS);23;13.7200;0.0000;0.00;500;6860.00
2026-07-21;10:26:00;QUERCUS;QRS (QUERCUS);24;13.7400;0.0000;0.00;448;6155.52
2026-07-21;10:44:00;QUERCUS;QRS (QUERCUS);25;13.7200;0.0000;0.00;1000;13720.00
2026-07-21;10:48:00;QUERCUS;QRS (QUERCUS);26;13.7200;0.0000;0.00;50;686.00
2026-07-21;10:54:00;QUERCUS;QRS (QUERCUS);27;13.7200;0.0000;0.00;10;137.20
2026-07-21;10:59:00;QUERCUS;QRS (QUERCUS);28;13.7000;-0.0200;-0.15;50;685.98
2026-07-21;11:06:00;QUERCUS;QRS (QUERCUS);29;13.7400;0.0000;0.00;1;13.74
2026-07-21;11:08:00;QUERCUS;QRS (QUERCUS);30;13.7000;-0.0400;-0.29;1077;14794.90
2026-07-21;11:10:00;QUERCUS;QRS (QUERCUS);31;13.7400;0.0000;0.00;414;5688.36
2026-07-21;11:14:00;QUERCUS;QRS (QUERCUS);32;13.6800;-0.0200;-0.15;150;2054.16
2026-07-21;11:21:00;QUERCUS;QRS (QUERCUS);33;13.7400;0.0000;0.00;100;1374.00
2026-07-21;11:35:00;QUERCUS;QRS (QUERCUS);34;13.7400;0.0000;0.00;855;11747.70
2026-07-21;11:36:00;QUERCUS;QRS (QUERCUS);35;13.7600;0.0200;0.15;944;12978.54
2026-07-21;11:48:00;QUERCUS;QRS (QUERCUS);36;13.7600;0.0000;0.00;1;13.76
2026-07-21;11:49:00;QUERCUS;QRS (QUERCUS);37;13.7600;0.0000;0.00;499;6866.24
2026-07-21;11:52:00;QUERCUS;QRS (QUERCUS);38;13.7600;0.0000;0.00;1000;13760.00
2026-07-21;11:55:00;QUERCUS;QRS (QUERCUS);39;13.7600;0.0000;0.00;490;6742.40
2026-07-21;11:58:00;QUERCUS;QRS (QUERCUS);40;13.7800;0.0200;0.15;1222;16832.84
2026-07-21;12:05:00;QUERCUS;QRS (QUERCUS);41;13.7800;0.0000;0.00;1115;15364.70
2026-07-21;12:19:00;QUERCUS;QRS (QUERCUS);42;13.7800;0.0000;0.00;125;1722.50
2026-07-21;12:28:00;QUERCUS;QRS (QUERCUS);43;13.7600;0.0000;0.00;114;1568.64
2026-07-21;12:33:00;QUERCUS;QRS (QUERCUS);44;13.7800;0.0000;0.00;129;1777.62
2026-07-21;12:56:00;QUERCUS;QRS (QUERCUS);45;13.7600;0.0000;0.00;369;5077.44
2026-07-21;13:00:00;QUERCUS;QRS (QUERCUS);46;13.7600;0.0000;0.00;289;3976.64
2026-07-21;13:02:00;QUERCUS;QRS (QUERCUS);47;13.7400;0.0000;0.00;290;3984.60
2026-07-21;13:03:00;QUERCUS;QRS (QUERCUS);48;13.7600;0.0000;0.00;100;1376.00
2026-07-21;13:04:00;QUERCUS;QRS (QUERCUS);49;13.7600;0.0000;0.00;58;798.08
2026-07-21;13:07:00;QUERCUS;QRS (QUERCUS);50;13.7800;0.0200;0.15;186412;2568735.64
2026-07-21;13:18:00;QUERCUS;QRS (QUERCUS);51;13.7800;0.0000;0.00;380;5236.40
2026-07-21;13:36:00;QUERCUS;QRS (QUERCUS);52;13.7600;0.0000;0.00;110;1513.60
2026-07-21;13:43:00;QUERCUS;QRS (QUERCUS);53;13.7600;0.0000;0.00;1000;13760.00
2026-07-21;13:44:00;QUERCUS;QRS (QUERCUS);54;13.7600;0.0000;0.00;14;192.64
2026-07-21;13:47:00;QUERCUS;QRS (QUERCUS);55;13.7400;0.0000;0.00;528;7254.72
2026-07-21;13:54:00;QUERCUS;QRS (QUERCUS);56;13.7600;0.0000;0.00;14;192.64
2026-07-21;14:03:00;QUERCUS;QRS (QUERCUS);57;13.7600;0.0000;0.00;92;1265.92
2026-07-21;14:04:00;QUERCUS;QRS (QUERCUS);58;13.7600;0.0000;0.00;250;3440.00
2026-07-21;14:29:00;QUERCUS;QRS (QUERCUS);59;13.7600;0.0000;0.00;358;4926.08
2026-07-21;14:41:00;QUERCUS;QRS (QUERCUS);60;13.7600;0.0000;0.00;110;1513.60
2026-07-21;14:47:00;QUERCUS;QRS (QUERCUS);61;13.7200;-0.0200;-0.15;3389;46504.86
2026-07-21;16:00:00;QUERCUS;QRS (QUERCUS);62;13.7200;0.0000;0.00;3;41.16
2026-07-21;16:01:00;QUERCUS;QRS (QUERCUS);63;13.7200;0.0000;0.00;4;54.88
2026-07-21;16:08:00;QUERCUS;QRS (QUERCUS);64;13.7600;0.0000;0.00;200;2752.00
2026-07-21;16:13:00;QUERCUS;QRS (QUERCUS);65;13.7800;0.0200;0.15;5120;70546.96
2026-07-21;16:16:00;QUERCUS;QRS (QUERCUS);66;13.7800;0.0000;0.00;2150;29627.00
2026-07-21;16:19:00;QUERCUS;QRS (QUERCUS);67;13.7800;0.0000;0.00;1;13.78
2026-07-21;16:23:00;QUERCUS;QRS (QUERCUS);68;13.7800;0.0000;0.00;720;9921.60
