Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-29;09:00:00;RAINBOW-TOURS;RBW (RAINBOW);1;136.7000;-0.7000;-0.51;123;16900.10
2026-07-29;09:04:00;RAINBOW-TOURS;RBW (RAINBOW);2;137.0000;0.0000;0.00;48;6576.00
2026-07-29;09:05:00;RAINBOW-TOURS;RBW (RAINBOW);3;137.0000;0.0000;0.00;88;12056.00
2026-07-29;09:07:00;RAINBOW-TOURS;RBW (RAINBOW);4;137.3000;0.6000;0.44;199;27190.70
2026-07-29;09:08:00;RAINBOW-TOURS;RBW (RAINBOW);5;137.2000;0.0000;0.00;7;960.40
2026-07-29;09:09:00;RAINBOW-TOURS;RBW (RAINBOW);6;137.2000;0.2000;0.15;60;8223.20
2026-07-29;09:10:00;RAINBOW-TOURS;RBW (RAINBOW);7;137.4000;0.0000;0.00;25;3435.00
2026-07-29;09:11:00;RAINBOW-TOURS;RBW (RAINBOW);8;137.9000;0.1000;0.07;10;1378.70
2026-07-29;09:12:00;RAINBOW-TOURS;RBW (RAINBOW);9;137.9000;0.0000;0.00;22;3033.80
2026-07-29;09:13:00;RAINBOW-TOURS;RBW (RAINBOW);10;138.2000;0.3000;0.22;156;21513.30
2026-07-29;09:14:00;RAINBOW-TOURS;RBW (RAINBOW);11;138.2000;0.0000;0.00;1;138.20
2026-07-29;09:15:00;RAINBOW-TOURS;RBW (RAINBOW);12;138.2000;0.0000;0.00;1;138.20
2026-07-29;09:16:00;RAINBOW-TOURS;RBW (RAINBOW);13;137.6000;-0.1000;-0.07;67;9222.70
2026-07-29;09:17:00;RAINBOW-TOURS;RBW (RAINBOW);14;137.4000;-0.1000;-0.07;41;5634.00
2026-07-29;09:19:00;RAINBOW-TOURS;RBW (RAINBOW);15;137.3000;0.1000;0.07;116;15922.50
2026-07-29;09:20:00;RAINBOW-TOURS;RBW (RAINBOW);16;137.0000;0.0000;0.00;1;137.00
2026-07-29;09:21:00;RAINBOW-TOURS;RBW (RAINBOW);17;137.6000;0.0000;0.00;1;137.60
2026-07-29;09:22:00;RAINBOW-TOURS;RBW (RAINBOW);18;137.4000;0.0000;0.00;1;137.40
2026-07-29;09:23:00;RAINBOW-TOURS;RBW (RAINBOW);19;137.0000;0.0000;0.00;8;1096.00
2026-07-29;09:24:00;RAINBOW-TOURS;RBW (RAINBOW);20;137.6000;0.0000;0.00;1;137.60
2026-07-29;09:25:00;RAINBOW-TOURS;RBW (RAINBOW);21;137.0000;0.0000;0.00;1;137.00
2026-07-29;09:29:00;RAINBOW-TOURS;RBW (RAINBOW);22;137.0000;0.0000;0.00;2;274.00
2026-07-29;09:31:00;RAINBOW-TOURS;RBW (RAINBOW);23;137.6000;0.2000;0.15;124;17057.00
2026-07-29;09:33:00;RAINBOW-TOURS;RBW (RAINBOW);24;137.4000;0.0000;0.00;7;961.80
2026-07-29;09:36:00;RAINBOW-TOURS;RBW (RAINBOW);25;137.6000;0.0000;0.00;100;13760.00
2026-07-29;09:37:00;RAINBOW-TOURS;RBW (RAINBOW);26;137.5000;-0.1000;-0.07;105;14439.50
2026-07-29;09:45:00;RAINBOW-TOURS;RBW (RAINBOW);27;137.5000;0.0000;0.00;5;687.50
2026-07-29;09:46:00;RAINBOW-TOURS;RBW (RAINBOW);28;137.5000;0.2000;0.15;8;1098.60
2026-07-29;09:49:00;RAINBOW-TOURS;RBW (RAINBOW);29;137.5000;0.0000;0.00;89;12237.50
2026-07-29;09:50:00;RAINBOW-TOURS;RBW (RAINBOW);30;137.5000;-0.3000;-0.22;45;6189.90
2026-07-29;09:51:00;RAINBOW-TOURS;RBW (RAINBOW);31;137.8000;0.0000;0.00;18;2480.40
2026-07-29;09:52:00;RAINBOW-TOURS;RBW (RAINBOW);32;137.3000;0.0000;0.00;1;137.30
2026-07-29;09:55:00;RAINBOW-TOURS;RBW (RAINBOW);33;137.7000;0.0000;0.00;2;275.40
2026-07-29;09:56:00;RAINBOW-TOURS;RBW (RAINBOW);34;137.3000;0.0000;0.00;5;686.50
2026-07-29;09:58:00;RAINBOW-TOURS;RBW (RAINBOW);35;137.3000;0.0000;0.00;15;2059.50
2026-07-29;10:00:00;RAINBOW-TOURS;RBW (RAINBOW);36;137.3000;0.0000;0.00;26;3569.80
2026-07-29;10:01:00;RAINBOW-TOURS;RBW (RAINBOW);37;137.7000;0.0000;0.00;2;275.40
2026-07-29;10:03:00;RAINBOW-TOURS;RBW (RAINBOW);38;137.7000;0.0000;0.00;2;275.40
2026-07-29;10:05:00;RAINBOW-TOURS;RBW (RAINBOW);39;137.8000;0.6000;0.44;46;6330.10
2026-07-29;10:06:00;RAINBOW-TOURS;RBW (RAINBOW);40;137.8000;0.0000;0.00;20;2756.00
2026-07-29;10:09:00;RAINBOW-TOURS;RBW (RAINBOW);41;137.2000;-0.1000;-0.07;132;18113.00
2026-07-29;10:11:00;RAINBOW-TOURS;RBW (RAINBOW);42;137.5000;0.0000;0.00;1;137.50
2026-07-29;10:13:00;RAINBOW-TOURS;RBW (RAINBOW);43;137.0000;0.0000;0.00;214;29311.00
2026-07-29;10:14:00;RAINBOW-TOURS;RBW (RAINBOW);44;136.8000;0.1000;0.07;55;7525.50
2026-07-29;10:15:00;RAINBOW-TOURS;RBW (RAINBOW);45;136.7000;0.0000;0.00;2;273.40
2026-07-29;10:21:00;RAINBOW-TOURS;RBW (RAINBOW);46;136.7000;0.0000;0.00;2;273.40
2026-07-29;10:22:00;RAINBOW-TOURS;RBW (RAINBOW);47;137.2000;0.0000;0.00;8;1097.60
2026-07-29;10:26:00;RAINBOW-TOURS;RBW (RAINBOW);48;136.7000;0.0000;0.00;24;3280.80
2026-07-29;10:27:00;RAINBOW-TOURS;RBW (RAINBOW);49;137.2000;0.0000;0.00;1;137.20
2026-07-29;10:32:00;RAINBOW-TOURS;RBW (RAINBOW);50;137.0000;0.0000;0.00;82;11234.00
2026-07-29;10:40:00;RAINBOW-TOURS;RBW (RAINBOW);51;137.2000;0.0000;0.00;1;137.20
2026-07-29;10:42:00;RAINBOW-TOURS;RBW (RAINBOW);52;136.9000;0.0000;0.00;53;7255.70
2026-07-29;10:46:00;RAINBOW-TOURS;RBW (RAINBOW);53;136.7000;0.0000;0.00;104;14216.80
2026-07-29;10:50:00;RAINBOW-TOURS;RBW (RAINBOW);54;137.2000;0.0000;0.00;143;19619.60
2026-07-29;10:53:00;RAINBOW-TOURS;RBW (RAINBOW);55;137.5000;0.0000;0.00;6;825.00
2026-07-29;10:57:00;RAINBOW-TOURS;RBW (RAINBOW);56;137.2000;0.0000;0.00;40;5488.00
2026-07-29;10:58:00;RAINBOW-TOURS;RBW (RAINBOW);57;136.8000;-0.4000;-0.29;112;15362.40
2026-07-29;10:59:00;RAINBOW-TOURS;RBW (RAINBOW);58;137.5000;0.1000;0.07;10;1374.40
2026-07-29;11:01:00;RAINBOW-TOURS;RBW (RAINBOW);59;137.3000;0.0000;0.00;5;686.50
2026-07-29;11:02:00;RAINBOW-TOURS;RBW (RAINBOW);60;137.3000;0.0000;0.00;14;1922.20
2026-07-29;11:04:00;RAINBOW-TOURS;RBW (RAINBOW);61;136.9000;-0.1000;-0.07;395;54181.30
2026-07-29;11:05:00;RAINBOW-TOURS;RBW (RAINBOW);62;137.2000;0.0000;0.00;3;411.60
2026-07-29;11:06:00;RAINBOW-TOURS;RBW (RAINBOW);63;137.3000;0.1000;0.07;181;24836.90
2026-07-29;11:07:00;RAINBOW-TOURS;RBW (RAINBOW);64;137.5000;0.1000;0.07;183;25162.40
2026-07-29;11:13:00;RAINBOW-TOURS;RBW (RAINBOW);65;137.7000;0.1000;0.07;50;6882.10
2026-07-29;11:17:00;RAINBOW-TOURS;RBW (RAINBOW);66;137.6000;-0.1000;-0.07;150;20612.10
2026-07-29;11:18:00;RAINBOW-TOURS;RBW (RAINBOW);67;137.2000;0.0000;0.00;218;29909.60
2026-07-29;11:20:00;RAINBOW-TOURS;RBW (RAINBOW);68;137.4000;0.2000;0.15;115;15793.00
2026-07-29;11:22:00;RAINBOW-TOURS;RBW (RAINBOW);69;137.6000;0.0000;0.00;55;7568.00
2026-07-29;11:24:00;RAINBOW-TOURS;RBW (RAINBOW);70;137.1000;0.0000;0.00;5;685.50
2026-07-29;11:27:00;RAINBOW-TOURS;RBW (RAINBOW);71;137.8000;0.2000;0.15;812;111876.90
2026-07-29;11:34:00;RAINBOW-TOURS;RBW (RAINBOW);72;138.5000;0.5000;0.36;420;58095.90
2026-07-29;11:36:00;RAINBOW-TOURS;RBW (RAINBOW);73;138.6000;0.2000;0.14;250;34641.30
2026-07-29;11:37:00;RAINBOW-TOURS;RBW (RAINBOW);74;138.9000;0.2000;0.14;434;60242.50
2026-07-29;11:39:00;RAINBOW-TOURS;RBW (RAINBOW);75;139.0000;-0.1000;-0.07;69;9595.40
2026-07-29;11:41:00;RAINBOW-TOURS;RBW (RAINBOW);76;139.5000;0.0000;0.00;1;139.50
2026-07-29;11:47:00;RAINBOW-TOURS;RBW (RAINBOW);77;139.4000;0.0000;0.00;48;6691.20
2026-07-29;11:49:00;RAINBOW-TOURS;RBW (RAINBOW);78;139.4000;0.1000;0.07;323;44991.90
2026-07-29;11:51:00;RAINBOW-TOURS;RBW (RAINBOW);79;139.5000;0.0000;0.00;1;139.50
2026-07-29;11:57:00;RAINBOW-TOURS;RBW (RAINBOW);80;138.8000;-0.5000;-0.36;399;55508.50
2026-07-29;11:58:00;RAINBOW-TOURS;RBW (RAINBOW);81;139.4000;0.0000;0.00;7;975.80
2026-07-29;12:04:00;RAINBOW-TOURS;RBW (RAINBOW);82;139.4000;0.0000;0.00;46;6412.40
2026-07-29;12:05:00;RAINBOW-TOURS;RBW (RAINBOW);83;138.8000;0.0000;0.00;66;9160.80
2026-07-29;12:08:00;RAINBOW-TOURS;RBW (RAINBOW);84;138.8000;0.0000;0.00;59;8189.20
2026-07-29;12:09:00;RAINBOW-TOURS;RBW (RAINBOW);85;138.5000;0.0000;0.00;1108;153458.00
2026-07-29;12:14:00;RAINBOW-TOURS;RBW (RAINBOW);86;138.4000;0.0000;0.00;2;276.80
2026-07-29;12:21:00;RAINBOW-TOURS;RBW (RAINBOW);87;138.5000;0.0000;0.00;35;4847.50
2026-07-29;12:25:00;RAINBOW-TOURS;RBW (RAINBOW);88;138.2000;-0.4000;-0.29;75;10395.00
2026-07-29;12:26:00;RAINBOW-TOURS;RBW (RAINBOW);89;138.2000;0.0000;0.00;6;829.20
2026-07-29;12:27:00;RAINBOW-TOURS;RBW (RAINBOW);90;138.2000;0.0000;0.00;2;276.40
2026-07-29;12:31:00;RAINBOW-TOURS;RBW (RAINBOW);91;138.5000;0.0000;0.00;40;5540.00
2026-07-29;12:32:00;RAINBOW-TOURS;RBW (RAINBOW);92;138.7000;0.0000;0.00;7;970.90
2026-07-29;12:33:00;RAINBOW-TOURS;RBW (RAINBOW);93;138.9000;0.7000;0.51;105;14564.60
2026-07-29;12:36:00;RAINBOW-TOURS;RBW (RAINBOW);94;138.8000;-0.2000;-0.14;31;4303.00
2026-07-29;12:37:00;RAINBOW-TOURS;RBW (RAINBOW);95;138.7000;-0.1000;-0.07;175;24275.30
2026-07-29;12:39:00;RAINBOW-TOURS;RBW (RAINBOW);96;139.1000;0.0000;0.00;1;139.10
2026-07-29;12:40:00;RAINBOW-TOURS;RBW (RAINBOW);97;139.1000;0.0000;0.00;1;139.10
2026-07-29;12:50:00;RAINBOW-TOURS;RBW (RAINBOW);98;138.3000;0.0000;0.00;4;553.20
2026-07-29;12:51:00;RAINBOW-TOURS;RBW (RAINBOW);99;139.1000;0.0000;0.00;7;973.70
2026-07-29;12:57:00;RAINBOW-TOURS;RBW (RAINBOW);100;139.1000;0.0000;0.00;1;139.10
