Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-24;09:00:00;RELPOL;RLP (RELPOL);1;6.0000;0.0000;0.00;19;114.00
2026-08-24;09:07:00;RELPOL;RLP (RELPOL);2;5.8200;-0.0200;-0.34;30;174.80
2026-08-24;09:35:00;RELPOL;RLP (RELPOL);3;6.0000;0.0000;0.00;251;1506.00
2026-08-24;09:37:00;RELPOL;RLP (RELPOL);4;5.8200;-0.1800;-3.00;50;299.82
2026-08-24;09:58:00;RELPOL;RLP (RELPOL);5;6.0000;0.0000;0.00;1;6.00
2026-08-24;10:27:00;RELPOL;RLP (RELPOL);6;6.0000;0.0000;0.00;8;48.00
2026-08-24;10:31:00;RELPOL;RLP (RELPOL);7;5.8600;0.0000;0.00;25;146.50
2026-08-24;10:38:00;RELPOL;RLP (RELPOL);8;6.0000;0.0000;0.00;102;612.00
2026-08-24;10:49:00;RELPOL;RLP (RELPOL);9;6.0000;0.0000;0.00;313;1878.00
2026-08-24;10:54:00;RELPOL;RLP (RELPOL);10;6.0200;0.0200;0.33;83;498.14
2026-08-24;11:17:00;RELPOL;RLP (RELPOL);11;6.0200;0.0000;0.00;3;18.06
2026-08-24;11:22:00;RELPOL;RLP (RELPOL);12;6.0200;0.0000;0.00;8;48.16
2026-08-24;11:39:00;RELPOL;RLP (RELPOL);13;6.0200;0.0000;0.00;139;836.78
2026-08-24;12:15:00;RELPOL;RLP (RELPOL);14;5.9400;0.0000;0.00;1;5.94
2026-08-24;12:21:00;RELPOL;RLP (RELPOL);15;5.9400;0.0000;0.00;71;421.74
2026-08-24;12:29:00;RELPOL;RLP (RELPOL);16;6.0000;0.0000;0.00;502;3012.00
2026-08-24;12:49:00;RELPOL;RLP (RELPOL);17;6.0200;0.0000;0.00;130;782.60
2026-08-24;13:45:00;RELPOL;RLP (RELPOL);18;5.9600;0.0000;0.00;3;17.88
2026-08-24;16:02:00;RELPOL;RLP (RELPOL);19;5.9600;0.0000;0.00;12;71.52
2026-08-24;16:27:00;RELPOL;RLP (RELPOL);20;6.0200;0.0000;0.00;1;6.02
2026-08-24;16:31:00;RELPOL;RLP (RELPOL);21;6.0200;0.0000;0.00;46;276.92
2026-08-24;17:00:00;RELPOL;RLP (RELPOL);22;6.0200;0.0000;0.00;161;969.22
