Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-14;09:00:00;REX;REX;1;13.2600;0.0000;0.00;3;39.77
2026-09-14;10:42:00;REX;REX;2;13.0000;0.0000;0.00;4;52.00
2026-09-14;10:47:00;REX;REX;3;13.2300;0.0000;0.00;4;52.91
2026-09-14;10:56:00;REX;REX;4;13.2300;0.0000;0.00;5;66.14
2026-09-14;14:37:00;REX;REX;5;13.2300;0.0000;0.00;20;264.56
2026-09-14;15:22:00;REX;REX;6;13.2700;0.0000;0.00;2;26.54
2026-09-14;15:58:00;REX;REX;7;13.1500;0.0000;0.00;31;407.65
2026-09-14;16:00:00;REX;REX;8;12.8400;-0.1600;-1.23;31;398.26
2026-09-14;16:07:00;REX;REX;9;12.8400;0.0000;0.00;200;2568.07
2026-09-14;16:09:00;REX;REX;10;12.8400;0.0000;0.00;97;1245.67
2026-09-14;16:10:00;REX;REX;11;12.8400;0.0000;0.00;99;1271.16
2026-09-14;16:16:00;REX;REX;12;12.8400;0.0000;0.00;4;51.37
2026-09-14;16:17:00;REX;REX;13;12.8000;-0.0400;-0.31;495;6355.66
2026-09-14;16:18:00;REX;REX;14;12.7000;0.0000;0.00;274;3480.90
2026-09-14;16:49:00;REX;REX;15;12.7000;-0.3000;-2.31;205;2606.00
2026-09-14;17:00:00;REX;REX;16;12.5200;0.0000;0.00;2000;25040.00
