Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-16;09:00:00;RNC;RNC (REINO);1;1.4700;0.0000;0.00;2241;3294.27
2026-09-16;09:10:00;RNC;RNC (REINO);2;1.5000;0.0000;0.00;1800;2700.00
2026-09-16;09:11:00;RNC;RNC (REINO);3;1.5100;0.0000;0.00;135;203.85
2026-09-16;11:08:00;RNC;RNC (REINO);4;1.5200;0.0000;0.00;2;3.04
2026-09-16;12:00:00;RNC;RNC (REINO);5;1.4600;0.0000;0.00;500;730.00
2026-09-16;12:22:00;RNC;RNC (REINO);6;1.4000;-0.0500;-3.45;13600;19459.33
2026-09-16;12:29:00;RNC;RNC (REINO);7;1.5000;0.0000;0.00;100;150.00
2026-09-16;13:09:00;RNC;RNC (REINO);8;1.4400;0.0000;0.00;200;288.00
2026-09-16;13:20:00;RNC;RNC (REINO);9;1.4900;0.0500;3.47;5100;7344.90
2026-09-16;13:27:00;RNC;RNC (REINO);10;1.4100;-0.0100;-0.70;1000;1419.00
2026-09-16;14:55:00;RNC;RNC (REINO);11;1.4900;0.0000;0.00;482;718.18
2026-09-16;14:56:00;RNC;RNC (REINO);12;1.5000;0.0000;0.00;18;27.00
2026-09-16;14:57:00;RNC;RNC (REINO);13;1.4300;0.0000;0.00;500;715.00
2026-09-16;16:45:00;RNC;RNC (REINO);14;1.5000;0.0000;0.00;100;150.00
