Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-31;09:00:00;RND;RND (RENDER);1;73.0000;0.0000;0.00;20;1460.00
2026-07-31;09:01:00;RND;RND (RENDER);2;72.8000;0.0000;0.00;80;5824.00
2026-07-31;09:42:00;RND;RND (RENDER);3;72.6000;-0.2000;-0.27;100;7269.60
2026-07-31;11:38:00;RND;RND (RENDER);4;72.6000;0.0000;0.00;7;508.20
2026-07-31;11:47:00;RND;RND (RENDER);5;72.4000;0.0000;0.00;25;1810.00
2026-07-31;11:48:00;RND;RND (RENDER);6;72.0000;-0.2000;-0.28;68;4903.20
2026-07-31;11:57:00;RND;RND (RENDER);7;72.0000;0.0000;0.00;100;7200.00
2026-07-31;12:05:00;RND;RND (RENDER);8;71.6000;0.0000;0.00;10;716.00
2026-07-31;12:06:00;RND;RND (RENDER);9;71.2000;-0.2000;-0.28;90;6418.80
2026-07-31;12:32:00;RND;RND (RENDER);10;71.2000;-0.2000;-0.28;32;2278.80
2026-07-31;12:33:00;RND;RND (RENDER);11;71.0000;0.0000;0.00;42;2982.00
2026-07-31;12:34:00;RND;RND (RENDER);12;71.0000;0.0000;0.00;26;1846.00
2026-07-31;13:35:00;RND;RND (RENDER);13;71.2000;0.0000;0.00;9;640.80
2026-07-31;13:36:00;RND;RND (RENDER);14;71.0000;0.0000;0.00;29;2059.00
2026-07-31;13:39:00;RND;RND (RENDER);15;70.2000;-0.8000;-1.13;62;4375.40
2026-07-31;14:11:00;RND;RND (RENDER);16;70.2000;0.0000;0.00;53;3720.60
2026-07-31;14:13:00;RND;RND (RENDER);17;70.0000;0.0000;0.00;1;70.00
2026-07-31;14:20:00;RND;RND (RENDER);18;68.2000;0.0000;0.00;36;2455.20
2026-07-31;14:23:00;RND;RND (RENDER);19;71.0000;0.2000;0.28;73;5177.60
2026-07-31;14:26:00;RND;RND (RENDER);20;71.0000;0.0000;0.00;19;1349.00
2026-07-31;14:36:00;RND;RND (RENDER);21;70.4000;0.0000;0.00;100;7040.00
2026-07-31;14:41:00;RND;RND (RENDER);22;70.8000;0.0000;0.00;20;1416.00
2026-07-31;14:42:00;RND;RND (RENDER);23;71.0000;0.0000;0.00;23;1633.00
2026-07-31;14:48:00;RND;RND (RENDER);24;72.0000;0.2000;0.28;6;431.20
2026-07-31;16:09:00;RND;RND (RENDER);25;71.0000;-0.2000;-0.28;18;1278.40
2026-07-31;16:10:00;RND;RND (RENDER);26;70.6000;0.0000;0.00;90;6354.00
2026-07-31;16:11:00;RND;RND (RENDER);27;70.6000;0.0000;0.00;10;706.00
2026-07-31;16:41:00;RND;RND (RENDER);28;71.8000;0.0000;0.00;24;1723.20
