Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-21;09:00:00;ROKITA;PCR (PCCROKITA);1;69.4000;0.0000;0.00;2050;142270.00
2026-08-21;09:01:00;ROKITA;PCR (PCCROKITA);2;68.8000;0.0000;0.00;54;3715.20
2026-08-21;09:03:00;ROKITA;PCR (PCCROKITA);3;69.3000;0.0000;0.00;60;4158.00
2026-08-21;09:04:00;ROKITA;PCR (PCCROKITA);4;69.2000;0.0000;0.00;30;2076.00
2026-08-21;09:05:00;ROKITA;PCR (PCCROKITA);5;69.1000;0.0000;0.00;7;483.70
2026-08-21;09:06:00;ROKITA;PCR (PCCROKITA);6;69.2000;0.1000;0.14;184;12728.30
2026-08-21;09:09:00;ROKITA;PCR (PCCROKITA);7;69.2000;0.0000;0.00;1;69.20
2026-08-21;09:11:00;ROKITA;PCR (PCCROKITA);8;69.1000;0.0000;0.00;20;1382.00
2026-08-21;09:12:00;ROKITA;PCR (PCCROKITA);9;69.1000;0.0000;0.00;3;207.30
2026-08-21;09:14:00;ROKITA;PCR (PCCROKITA);10;68.7000;-0.1000;-0.15;115;7909.00
2026-08-21;09:18:00;ROKITA;PCR (PCCROKITA);11;68.0000;-0.6000;-0.87;876;59700.50
2026-08-21;09:26:00;ROKITA;PCR (PCCROKITA);12;68.1000;0.0000;0.00;1;68.10
2026-08-21;09:30:00;ROKITA;PCR (PCCROKITA);13;68.5000;0.0000;0.00;18;1233.00
2026-08-21;09:33:00;ROKITA;PCR (PCCROKITA);14;68.2000;0.0000;0.00;2;136.40
2026-08-21;09:36:00;ROKITA;PCR (PCCROKITA);15;68.5000;0.0000;0.00;27;1849.50
2026-08-21;09:39:00;ROKITA;PCR (PCCROKITA);16;68.5000;0.0000;0.00;157;10754.50
2026-08-21;09:43:00;ROKITA;PCR (PCCROKITA);17;68.8000;0.0000;0.00;4;275.20
2026-08-21;09:49:00;ROKITA;PCR (PCCROKITA);18;68.8000;0.0000;0.00;22;1513.60
2026-08-21;09:51:00;ROKITA;PCR (PCCROKITA);19;68.8000;0.0000;0.00;24;1651.20
2026-08-21;09:55:00;ROKITA;PCR (PCCROKITA);20;68.9000;0.0000;0.00;30;2067.00
2026-08-21;09:56:00;ROKITA;PCR (PCCROKITA);21;68.9000;0.0000;0.00;42;2893.80
