Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-15;09:00:00;ROPCZYCE;RPC (ROPCZYCE);1;23.7000;0.0000;0.00;22;521.40
2026-09-15;09:02:00;ROPCZYCE;RPC (ROPCZYCE);2;23.6000;0.0000;0.00;267;6301.20
2026-09-15;11:21:00;ROPCZYCE;RPC (ROPCZYCE);3;23.7000;0.0000;0.00;146;3460.20
2026-09-15;11:41:00;ROPCZYCE;RPC (ROPCZYCE);4;23.6000;-0.1000;-0.42;178;4202.30
2026-09-15;12:05:00;ROPCZYCE;RPC (ROPCZYCE);5;23.6000;0.0000;0.00;2;47.20
2026-09-15;12:18:00;ROPCZYCE;RPC (ROPCZYCE);6;23.8000;0.0000;0.00;500;11900.00
2026-09-15;12:19:00;ROPCZYCE;RPC (ROPCZYCE);7;23.6000;0.0000;0.00;1;23.60
2026-09-15;12:38:00;ROPCZYCE;RPC (ROPCZYCE);8;23.6000;0.0000;0.00;47;1109.20
2026-09-15;13:01:00;ROPCZYCE;RPC (ROPCZYCE);9;23.6000;0.0000;0.00;3;70.80
2026-09-15;16:36:00;ROPCZYCE;RPC (ROPCZYCE);10;23.7000;0.0000;0.00;9;213.30
