Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-08;09:00:00;RVU;RVU (RYVU);1;17.6200;0.1200;0.69;1936;33919.56
2026-09-08;09:01:00;RVU;RVU (RYVU);2;17.7000;0.0800;0.45;1707;30422.94
2026-09-08;09:02:00;RVU;RVU (RYVU);3;17.9000;0.2000;1.13;1353;24132.42
2026-09-08;09:03:00;RVU;RVU (RYVU);4;17.7800;0.0000;0.00;4;71.12
2026-09-08;09:04:00;RVU;RVU (RYVU);5;17.8000;0.0200;0.11;128;2290.16
2026-09-08;09:07:00;RVU;RVU (RYVU);6;17.8000;0.0000;0.00;150;2670.00
2026-09-08;09:08:00;RVU;RVU (RYVU);7;17.9000;0.0000;0.00;83;1485.70
2026-09-08;09:09:00;RVU;RVU (RYVU);8;17.8800;0.0000;0.00;185;3306.80
2026-09-08;09:10:00;RVU;RVU (RYVU);9;17.7600;-0.1000;-0.56;609;10836.78
2026-09-08;09:13:00;RVU;RVU (RYVU);10;17.9000;0.0200;0.11;280;5007.00
2026-09-08;09:14:00;RVU;RVU (RYVU);11;17.8600;0.1000;0.56;41;728.36
2026-09-08;09:15:00;RVU;RVU (RYVU);12;17.8600;0.0000;0.00;4;71.44
2026-09-08;09:18:00;RVU;RVU (RYVU);13;17.7800;0.0000;0.00;106;1884.68
2026-09-08;09:19:00;RVU;RVU (RYVU);14;17.7600;0.0000;0.00;370;6571.20
2026-09-08;09:20:00;RVU;RVU (RYVU);15;17.7000;0.0000;0.00;1;17.70
2026-09-08;09:21:00;RVU;RVU (RYVU);16;17.8600;0.0000;0.00;10;178.60
2026-09-08;09:24:00;RVU;RVU (RYVU);17;17.7400;0.0000;0.00;100;1774.00
2026-09-08;09:26:00;RVU;RVU (RYVU);18;17.7000;0.0000;0.00;82;1451.40
2026-09-08;09:27:00;RVU;RVU (RYVU);19;17.8400;0.0000;0.00;1;17.84
2026-09-08;09:30:00;RVU;RVU (RYVU);20;17.7000;0.0000;0.00;119;2106.30
2026-09-08;09:34:00;RVU;RVU (RYVU);21;17.6600;0.0000;0.00;100;1766.00
2026-09-08;09:35:00;RVU;RVU (RYVU);22;17.6000;0.0000;0.00;302;5315.20
2026-09-08;09:42:00;RVU;RVU (RYVU);23;17.6000;0.0000;0.00;536;9433.60
2026-09-08;09:46:00;RVU;RVU (RYVU);24;17.5600;0.0000;0.00;58;1018.48
2026-09-08;09:52:00;RVU;RVU (RYVU);25;17.3800;-0.1800;-1.03;313;5467.90
2026-09-08;09:56:00;RVU;RVU (RYVU);26;17.4000;0.0000;0.00;29;504.60
2026-09-08;09:59:00;RVU;RVU (RYVU);27;17.3600;0.0000;0.00;220;3819.20
2026-09-08;10:04:00;RVU;RVU (RYVU);28;17.5000;0.0000;0.00;85;1487.50
2026-09-08;10:08:00;RVU;RVU (RYVU);29;17.5600;0.0000;0.00;60;1053.60
2026-09-08;10:17:00;RVU;RVU (RYVU);30;17.5000;0.0000;0.00;500;8750.00
2026-09-08;10:33:00;RVU;RVU (RYVU);31;17.6000;0.0000;0.00;1;17.60
2026-09-08;10:39:00;RVU;RVU (RYVU);32;17.6000;0.0000;0.00;10;176.00
2026-09-08;10:41:00;RVU;RVU (RYVU);33;17.6000;0.0000;0.00;150;2640.00
2026-09-08;10:43:00;RVU;RVU (RYVU);34;17.6200;0.0000;0.00;1;17.62
2026-09-08;10:50:00;RVU;RVU (RYVU);35;17.6000;0.0000;0.00;396;6969.60
2026-09-08;10:56:00;RVU;RVU (RYVU);36;17.6200;0.0000;0.00;103;1814.86
2026-09-08;11:19:00;RVU;RVU (RYVU);37;17.5000;0.0000;0.00;53;927.50
2026-09-08;11:22:00;RVU;RVU (RYVU);38;17.5400;0.0000;0.00;100;1754.00
2026-09-08;11:26:00;RVU;RVU (RYVU);39;17.5000;-0.0400;-0.23;53;927.74
2026-09-08;11:27:00;RVU;RVU (RYVU);40;17.6000;0.0000;0.00;6;105.60
2026-09-08;11:28:00;RVU;RVU (RYVU);41;17.6000;0.0000;0.00;3;52.80
2026-09-08;11:30:00;RVU;RVU (RYVU);42;17.6000;0.0000;0.00;15;264.00
2026-09-08;11:31:00;RVU;RVU (RYVU);43;17.6000;0.0000;0.00;282;4963.20
2026-09-08;11:44:00;RVU;RVU (RYVU);44;17.6200;0.0000;0.00;2;35.24
2026-09-08;11:46:00;RVU;RVU (RYVU);45;17.5400;-0.0800;-0.45;79;1391.58
2026-09-08;11:50:00;RVU;RVU (RYVU);46;17.7200;0.0000;0.00;25;443.00
2026-09-08;11:53:00;RVU;RVU (RYVU);47;17.6800;0.0000;0.00;400;7072.00
2026-09-08;11:55:00;RVU;RVU (RYVU);48;17.6800;0.0000;0.00;45;795.60
2026-09-08;11:59:00;RVU;RVU (RYVU);49;17.6200;0.0000;0.00;20;352.40
2026-09-08;12:04:00;RVU;RVU (RYVU);50;17.6200;0.0000;0.00;83;1462.46
2026-09-08;12:05:00;RVU;RVU (RYVU);51;17.7600;0.1600;0.91;29;511.68
2026-09-08;12:09:00;RVU;RVU (RYVU);52;17.5400;0.0000;0.00;3;52.62
2026-09-08;12:21:00;RVU;RVU (RYVU);53;17.8400;0.1000;0.56;5000;89181.46
