Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-05;09:00:00;S2B;S2B (SYN2BIO);1;66.0000;-0.4700;-0.71;912;60541.36
2026-08-05;09:01:00;S2B;S2B (SYN2BIO);2;66.0100;-0.0400;-0.06;610;40260.84
2026-08-05;09:02:00;S2B;S2B (SYN2BIO);3;66.9500;0.0000;0.00;5;334.75
2026-08-05;09:03:00;S2B;S2B (SYN2BIO);4;66.9300;0.8300;1.26;77;5093.02
2026-08-05;09:04:00;S2B;S2B (SYN2BIO);5;66.8800;-0.0200;-0.03;20;1337.72
2026-08-05;09:05:00;S2B;S2B (SYN2BIO);6;66.2000;-0.6000;-0.90;2;133.00
2026-08-05;09:06:00;S2B;S2B (SYN2BIO);7;66.9500;0.1500;0.22;303;20267.56
2026-08-05;09:07:00;S2B;S2B (SYN2BIO);8;66.7900;-0.1500;-0.22;107;7125.97
2026-08-05;09:08:00;S2B;S2B (SYN2BIO);9;66.8000;0.0100;0.01;83;5543.51
2026-08-05;09:09:00;S2B;S2B (SYN2BIO);10;66.7600;0.5600;0.85;49;3269.00
2026-08-05;09:10:00;S2B;S2B (SYN2BIO);11;66.7400;0.5400;0.82;1896;124531.78
2026-08-05;09:11:00;S2B;S2B (SYN2BIO);12;66.6500;0.6900;1.05;343;22634.35
2026-08-05;09:12:00;S2B;S2B (SYN2BIO);13;66.2000;0.0000;0.00;2280;150933.50
2026-08-05;09:13:00;S2B;S2B (SYN2BIO);14;66.6500;0.4500;0.68;715;47333.45
2026-08-05;09:14:00;S2B;S2B (SYN2BIO);15;66.1000;0.2800;0.43;593;38727.08
2026-08-05;09:15:00;S2B;S2B (SYN2BIO);16;65.9200;-0.1800;-0.27;40;2641.66
2026-08-05;09:16:00;S2B;S2B (SYN2BIO);17;66.3100;0.3900;0.59;9;593.65
2026-08-05;09:17:00;S2B;S2B (SYN2BIO);18;65.0000;-1.2900;-1.95;504;32808.62
2026-08-05;09:18:00;S2B;S2B (SYN2BIO);19;65.5000;0.3800;0.58;166;10868.00
2026-08-05;09:19:00;S2B;S2B (SYN2BIO);20;65.9300;0.7500;1.15;574;37378.19
2026-08-05;09:20:00;S2B;S2B (SYN2BIO);21;65.9000;0.0000;0.00;8;527.20
2026-08-05;09:21:00;S2B;S2B (SYN2BIO);22;65.5000;-0.2700;-0.41;3;197.04
2026-08-05;09:22:00;S2B;S2B (SYN2BIO);23;65.4800;-0.0200;-0.03;20;1310.27
2026-08-05;09:23:00;S2B;S2B (SYN2BIO);24;65.0600;-0.3200;-0.49;191;12477.97
2026-08-05;09:24:00;S2B;S2B (SYN2BIO);25;65.6300;0.2300;0.35;197;12839.04
2026-08-05;09:25:00;S2B;S2B (SYN2BIO);26;65.2400;-0.3600;-0.55;22;1442.61
2026-08-05;09:26:00;S2B;S2B (SYN2BIO);27;65.4400;0.2200;0.34;124;8113.49
2026-08-05;09:27:00;S2B;S2B (SYN2BIO);28;65.5800;0.3200;0.49;201;13115.67
2026-08-05;09:29:00;S2B;S2B (SYN2BIO);29;65.5800;0.0000;0.00;11;721.38
2026-08-05;09:30:00;S2B;S2B (SYN2BIO);30;65.5800;0.0000;0.00;525;34363.64
2026-08-05;09:31:00;S2B;S2B (SYN2BIO);31;65.3000;-0.2800;-0.43;53;3475.23
2026-08-05;09:32:00;S2B;S2B (SYN2BIO);32;65.3000;0.0000;0.00;8;522.40
2026-08-05;09:33:00;S2B;S2B (SYN2BIO);33;65.5600;0.2600;0.40;159;10372.43
2026-08-05;09:34:00;S2B;S2B (SYN2BIO);34;65.5000;0.3900;0.60;40;2606.76
2026-08-05;09:36:00;S2B;S2B (SYN2BIO);35;65.5500;0.0100;0.02;504;32912.17
2026-08-05;09:37:00;S2B;S2B (SYN2BIO);36;65.1600;-0.0900;-0.14;19;1238.67
2026-08-05;09:40:00;S2B;S2B (SYN2BIO);37;65.5600;0.0200;0.03;223;14619.64
