Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-28;09:00:00;SANTANDER;SAN (SANTANDER);1;53.5000;0.0000;0.00;44;2354.00
2026-07-28;09:47:00;SANTANDER;SAN (SANTANDER);2;53.5000;0.0000;0.00;9;481.50
2026-07-28;09:50:00;SANTANDER;SAN (SANTANDER);3;53.0000;-0.2500;-0.47;100;5301.00
2026-07-28;10:03:00;SANTANDER;SAN (SANTANDER);4;53.0100;0.0000;0.00;300;15903.00
2026-07-28;10:15:00;SANTANDER;SAN (SANTANDER);5;53.0000;0.0000;0.00;3;159.00
2026-07-28;10:17:00;SANTANDER;SAN (SANTANDER);6;53.0000;0.0000;0.00;97;5141.00
2026-07-28;10:21:00;SANTANDER;SAN (SANTANDER);7;53.0200;0.0000;0.00;100;5302.00
2026-07-28;10:42:00;SANTANDER;SAN (SANTANDER);8;53.1400;0.0000;0.00;100;5314.00
2026-07-28;11:22:00;SANTANDER;SAN (SANTANDER);9;53.4900;0.0000;0.00;2;106.98
2026-07-28;13:40:00;SANTANDER;SAN (SANTANDER);10;53.1400;0.0000;0.00;10;531.40
2026-07-28;14:04:00;SANTANDER;SAN (SANTANDER);11;52.7700;0.0000;0.00;2500;131925.00
2026-07-28;14:07:00;SANTANDER;SAN (SANTANDER);12;52.7500;0.0000;0.00;36;1899.00
2026-07-28;15:00:00;SANTANDER;SAN (SANTANDER);13;53.1800;0.0000;0.00;4;212.72
