Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-26;09:00:00;SCP;SCP (SCPFL);1;140.4000;0.0000;0.00;8;1123.20
2026-08-26;09:19:00;SCP;SCP (SCPFL);2;140.2000;0.0000;0.00;12;1682.40
2026-08-26;09:22:00;SCP;SCP (SCPFL);3;140.0000;0.0000;0.00;3;420.00
2026-08-26;09:43:00;SCP;SCP (SCPFL);4;139.2000;0.2000;0.14;26;3614.20
2026-08-26;09:51:00;SCP;SCP (SCPFL);5;139.2000;0.0000;0.00;1;139.20
2026-08-26;10:00:00;SCP;SCP (SCPFL);6;139.0000;0.0000;0.00;1;139.00
2026-08-26;10:08:00;SCP;SCP (SCPFL);7;139.2000;0.0000;0.00;1;139.20
2026-08-26;10:15:00;SCP;SCP (SCPFL);8;139.2000;0.0000;0.00;5;696.00
2026-08-26;10:19:00;SCP;SCP (SCPFL);9;139.0000;0.0000;0.00;8;1112.00
2026-08-26;10:33:00;SCP;SCP (SCPFL);10;140.0000;0.0000;0.00;2;280.00
2026-08-26;10:37:00;SCP;SCP (SCPFL);11;139.0000;0.0000;0.00;1;139.00
2026-08-26;11:01:00;SCP;SCP (SCPFL);12;139.0000;0.0000;0.00;1;139.00
2026-08-26;11:05:00;SCP;SCP (SCPFL);13;138.2000;-0.4000;-0.29;8;1108.40
2026-08-26;11:06:00;SCP;SCP (SCPFL);14;138.0000;-0.2000;-0.14;22;3036.80
2026-08-26;11:07:00;SCP;SCP (SCPFL);15;138.0000;-0.2000;-0.14;25;3453.00
2026-08-26;11:08:00;SCP;SCP (SCPFL);16;138.0000;0.0000;0.00;94;12972.00
2026-08-26;11:20:00;SCP;SCP (SCPFL);17;138.6000;0.0000;0.00;1;138.60
2026-08-26;11:46:00;SCP;SCP (SCPFL);18;138.4000;0.0000;0.00;1;138.40
2026-08-26;12:19:00;SCP;SCP (SCPFL);19;138.4000;0.0000;0.00;2;276.80
2026-08-26;12:40:00;SCP;SCP (SCPFL);20;139.0000;0.0000;0.00;4;556.00
2026-08-26;12:59:00;SCP;SCP (SCPFL);21;138.4000;0.0000;0.00;3;415.20
2026-08-26;13:00:00;SCP;SCP (SCPFL);22;138.4000;0.0000;0.00;1;138.40
2026-08-26;13:04:00;SCP;SCP (SCPFL);23;139.0000;0.0000;0.00;4;556.00
2026-08-26;13:22:00;SCP;SCP (SCPFL);24;140.2000;1.4000;1.01;240;33507.40
2026-08-26;13:33:00;SCP;SCP (SCPFL);25;139.2000;-0.2000;-0.14;105;14617.00
2026-08-26;13:37:00;SCP;SCP (SCPFL);26;139.2000;0.0000;0.00;5;696.00
2026-08-26;15:10:00;SCP;SCP (SCPFL);27;140.0000;0.0000;0.00;3;420.00
2026-08-26;15:11:00;SCP;SCP (SCPFL);28;140.0000;0.0000;0.00;4;560.00
2026-08-26;15:13:00;SCP;SCP (SCPFL);29;140.2000;0.2000;0.14;14;1960.80
2026-08-26;15:25:00;SCP;SCP (SCPFL);30;140.2000;0.0000;0.00;1;140.20
2026-08-26;15:29:00;SCP;SCP (SCPFL);31;140.2000;0.0000;0.00;5;701.00
2026-08-26;15:34:00;SCP;SCP (SCPFL);32;139.2000;0.0000;0.00;15;2088.00
2026-08-26;15:38:00;SCP;SCP (SCPFL);33;139.4000;0.0000;0.00;100;13940.00
2026-08-26;16:01:00;SCP;SCP (SCPFL);34;140.2000;0.0000;0.00;45;6309.00
2026-08-26;16:25:00;SCP;SCP (SCPFL);35;139.4000;0.0000;0.00;1;139.40
2026-08-26;16:48:00;SCP;SCP (SCPFL);36;139.4000;0.0000;0.00;5;697.00
2026-08-26;17:00:00;SCP;SCP (SCPFL);37;140.2000;0.0000;0.00;1;140.20
