Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-23;09:00:00;SCW;SCW (SCANWAY);1;282.0000;0.0000;0.00;671;189125.00
2026-07-23;09:01:00;SCW;SCW (SCANWAY);2;281.0000;1.0000;0.36;577;160577.00
2026-07-23;09:02:00;SCW;SCW (SCANWAY);3;275.0000;-5.0000;-1.79;78;21462.00
2026-07-23;09:03:00;SCW;SCW (SCANWAY);4;283.0000;3.0000;1.07;138;38865.00
2026-07-23;09:05:00;SCW;SCW (SCANWAY);5;280.0000;0.0000;0.00;97;27160.00
2026-07-23;09:07:00;SCW;SCW (SCANWAY);6;280.0000;2.0000;0.72;34;9454.00
2026-07-23;09:08:00;SCW;SCW (SCANWAY);7;280.0000;0.0000;0.00;79;22120.00
2026-07-23;09:09:00;SCW;SCW (SCANWAY);8;278.0000;0.0000;0.00;34;9452.00
2026-07-23;09:11:00;SCW;SCW (SCANWAY);9;282.0000;0.0000;0.00;15;4230.00
2026-07-23;09:12:00;SCW;SCW (SCANWAY);10;278.0000;0.0000;0.00;10;2780.00
2026-07-23;09:14:00;SCW;SCW (SCANWAY);11;278.0000;0.0000;0.00;5;1390.00
2026-07-23;09:16:00;SCW;SCW (SCANWAY);12;278.0000;0.0000;0.00;51;14178.00
2026-07-23;09:17:00;SCW;SCW (SCANWAY);13;278.0000;0.0000;0.00;1;278.00
2026-07-23;09:18:00;SCW;SCW (SCANWAY);14;278.0000;1.0000;0.36;102;28261.00
2026-07-23;09:19:00;SCW;SCW (SCANWAY);15;276.0000;-1.0000;-0.36;45;12448.00
2026-07-23;09:20:00;SCW;SCW (SCANWAY);16;281.0000;5.0000;1.81;62;17201.00
2026-07-23;09:21:00;SCW;SCW (SCANWAY);17;276.0000;-5.0000;-1.78;23;6373.00
2026-07-23;09:22:00;SCW;SCW (SCANWAY);18;281.0000;0.0000;0.00;19;5339.00
2026-07-23;09:25:00;SCW;SCW (SCANWAY);19;280.0000;0.0000;0.00;6;1680.00
2026-07-23;09:26:00;SCW;SCW (SCANWAY);20;281.0000;0.0000;0.00;3;843.00
2026-07-23;09:27:00;SCW;SCW (SCANWAY);21;281.0000;0.0000;0.00;1;281.00
2026-07-23;09:28:00;SCW;SCW (SCANWAY);22;275.0000;-4.0000;-1.43;75;20653.00
2026-07-23;09:29:00;SCW;SCW (SCANWAY);23;276.0000;0.0000;0.00;8;2208.00
2026-07-23;09:32:00;SCW;SCW (SCANWAY);24;279.0000;0.0000;0.00;1;279.00
2026-07-23;09:35:00;SCW;SCW (SCANWAY);25;278.0000;0.0000;0.00;1;278.00
2026-07-23;09:39:00;SCW;SCW (SCANWAY);26;277.0000;1.0000;0.36;24;6625.00
2026-07-23;09:40:00;SCW;SCW (SCANWAY);27;275.0000;0.0000;0.00;10;2750.00
2026-07-23;09:42:00;SCW;SCW (SCANWAY);28;275.0000;0.0000;0.00;31;8525.00
2026-07-23;09:44:00;SCW;SCW (SCANWAY);29;276.0000;-2.0000;-0.72;15;4166.00
2026-07-23;09:46:00;SCW;SCW (SCANWAY);30;278.0000;0.0000;0.00;1;278.00
2026-07-23;09:47:00;SCW;SCW (SCANWAY);31;278.0000;0.0000;0.00;4;1112.00
2026-07-23;09:48:00;SCW;SCW (SCANWAY);32;279.0000;0.0000;0.00;45;12555.00
2026-07-23;09:51:00;SCW;SCW (SCANWAY);33;279.0000;0.0000;0.00;10;2790.00
2026-07-23;09:52:00;SCW;SCW (SCANWAY);34;280.0000;1.0000;0.36;11;3075.00
2026-07-23;09:54:00;SCW;SCW (SCANWAY);35;280.0000;0.0000;0.00;1;280.00
2026-07-23;09:56:00;SCW;SCW (SCANWAY);36;278.0000;0.0000;0.00;94;26132.00
2026-07-23;09:57:00;SCW;SCW (SCANWAY);37;278.0000;0.0000;0.00;17;4726.00
2026-07-23;09:58:00;SCW;SCW (SCANWAY);38;280.0000;2.0000;0.72;55;15292.00
2026-07-23;10:08:00;SCW;SCW (SCANWAY);39;280.0000;0.0000;0.00;20;5600.00
2026-07-23;10:11:00;SCW;SCW (SCANWAY);40;278.0000;0.0000;0.00;7;1946.00
2026-07-23;10:12:00;SCW;SCW (SCANWAY);41;280.0000;0.0000;0.00;10;2800.00
2026-07-23;10:16:00;SCW;SCW (SCANWAY);42;279.0000;-1.0000;-0.36;198;55322.00
2026-07-23;10:18:00;SCW;SCW (SCANWAY);43;280.0000;0.0000;0.00;3;840.00
2026-07-23;10:20:00;SCW;SCW (SCANWAY);44;280.0000;0.0000;0.00;21;5880.00
2026-07-23;10:25:00;SCW;SCW (SCANWAY);45;281.0000;1.0000;0.36;41;11515.00
2026-07-23;10:28:00;SCW;SCW (SCANWAY);46;283.0000;1.0000;0.35;60;16970.00
2026-07-23;10:29:00;SCW;SCW (SCANWAY);47;284.0000;0.0000;0.00;1;284.00
2026-07-23;10:31:00;SCW;SCW (SCANWAY);48;284.0000;0.0000;0.00;2;568.00
2026-07-23;10:33:00;SCW;SCW (SCANWAY);49;284.0000;0.0000;0.00;2;568.00
2026-07-23;10:34:00;SCW;SCW (SCANWAY);50;284.0000;0.0000;0.00;18;5112.00
2026-07-23;10:35:00;SCW;SCW (SCANWAY);51;284.0000;0.0000;0.00;30;8520.00
2026-07-23;10:38:00;SCW;SCW (SCANWAY);52;285.0000;0.0000;0.00;11;3135.00
2026-07-23;10:39:00;SCW;SCW (SCANWAY);53;285.0000;0.0000;0.00;49;13965.00
2026-07-23;10:40:00;SCW;SCW (SCANWAY);54;285.0000;0.0000;0.00;3;855.00
2026-07-23;10:44:00;SCW;SCW (SCANWAY);55;282.0000;0.0000;0.00;20;5640.00
2026-07-23;10:45:00;SCW;SCW (SCANWAY);56;282.0000;0.0000;0.00;1;282.00
2026-07-23;10:54:00;SCW;SCW (SCANWAY);57;284.0000;0.0000;0.00;5;1420.00
2026-07-23;10:55:00;SCW;SCW (SCANWAY);58;284.0000;0.0000;0.00;1;284.00
2026-07-23;10:56:00;SCW;SCW (SCANWAY);59;285.0000;0.0000;0.00;2;570.00
2026-07-23;10:57:00;SCW;SCW (SCANWAY);60;285.0000;1.0000;0.35;15;4265.00
2026-07-23;10:58:00;SCW;SCW (SCANWAY);61;286.0000;0.0000;0.00;8;2288.00
2026-07-23;11:00:00;SCW;SCW (SCANWAY);62;285.0000;0.0000;0.00;2;570.00
2026-07-23;11:01:00;SCW;SCW (SCANWAY);63;287.0000;1.0000;0.35;15;4291.00
2026-07-23;11:03:00;SCW;SCW (SCANWAY);64;283.0000;-1.0000;-0.35;18;5111.00
2026-07-23;11:06:00;SCW;SCW (SCANWAY);65;286.0000;0.0000;0.00;3;858.00
