Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-25;09:00:00;SEKO;SEK (SEKO);1;10.6000;0.0000;0.00;415;4399.00
2026-09-25;09:55:00;SEKO;SEK (SEKO);2;10.6000;0.0000;0.00;120;1272.00
2026-09-25;09:56:00;SEKO;SEK (SEKO);3;10.5500;-0.0500;-0.47;180;1907.75
2026-09-25;09:57:00;SEKO;SEK (SEKO);4;10.5000;-0.0500;-0.47;300;3157.40
2026-09-25;10:22:00;SEKO;SEK (SEKO);5;10.6500;0.0000;0.00;2;21.30
2026-09-25;10:23:00;SEKO;SEK (SEKO);6;10.5000;0.0000;0.00;2;21.00
2026-09-25;10:51:00;SEKO;SEK (SEKO);7;10.6500;0.0000;0.00;61;649.65
2026-09-25;11:15:00;SEKO;SEK (SEKO);8;10.6500;0.0000;0.00;5;53.25
2026-09-25;11:18:00;SEKO;SEK (SEKO);9;10.5500;0.0000;0.00;1;10.55
2026-09-25;11:22:00;SEKO;SEK (SEKO);10;10.6500;0.1000;0.95;2;21.20
2026-09-25;11:23:00;SEKO;SEK (SEKO);11;10.6500;0.1000;0.95;2;21.20
2026-09-25;13:23:00;SEKO;SEK (SEKO);12;10.6500;0.0000;0.00;2;21.30
2026-09-25;13:50:00;SEKO;SEK (SEKO);13;10.6500;0.0000;0.00;72;766.80
2026-09-25;14:28:00;SEKO;SEK (SEKO);14;10.5500;0.0000;0.00;503;5306.65
2026-09-25;14:55:00;SEKO;SEK (SEKO);15;10.5500;0.0000;0.00;850;8967.50
2026-09-25;15:16:00;SEKO;SEK (SEKO);16;10.6500;0.0000;0.00;20;213.00
2026-09-25;15:23:00;SEKO;SEK (SEKO);17;10.6500;0.0000;0.00;8;85.20
2026-09-25;16:22:00;SEKO;SEK (SEKO);18;10.6000;-0.0500;-0.47;64;680.15
2026-09-25;16:32:00;SEKO;SEK (SEKO);19;10.5500;-0.0500;-0.47;100;1056.05
2026-09-25;16:33:00;SEKO;SEK (SEKO);20;10.5500;0.0000;0.00;111;1171.05
