Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-16;09:00:00;SELENA-FM;SEL (SELENAFM);1;49.5000;0.0000;0.00;39;1930.50
2026-07-16;09:03:00;SELENA-FM;SEL (SELENAFM);2;49.5000;0.0000;0.00;25;1237.50
2026-07-16;09:13:00;SELENA-FM;SEL (SELENAFM);3;49.0000;0.0000;0.00;10;490.00
2026-07-16;10:08:00;SELENA-FM;SEL (SELENAFM);4;49.4000;0.0000;0.00;4;197.60
2026-07-16;10:40:00;SELENA-FM;SEL (SELENAFM);5;49.0000;0.0000;0.00;10;490.00
2026-07-16;11:39:00;SELENA-FM;SEL (SELENAFM);6;49.0000;0.0000;0.00;77;3773.00
2026-07-16;11:40:00;SELENA-FM;SEL (SELENAFM);7;48.7000;-0.1000;-0.20;178;8678.60
2026-07-16;11:44:00;SELENA-FM;SEL (SELENAFM);8;48.6000;0.0000;0.00;15;729.00
2026-07-16;11:59:00;SELENA-FM;SEL (SELENAFM);9;49.4000;0.0000;0.00;4;197.60
2026-07-16;12:14:00;SELENA-FM;SEL (SELENAFM);10;48.4000;-0.2000;-0.41;1100;53370.40
2026-07-16;12:59:00;SELENA-FM;SEL (SELENAFM);11;48.5000;-0.1000;-0.21;600;29120.00
2026-07-16;13:22:00;SELENA-FM;SEL (SELENAFM);12;49.1000;0.0000;0.00;1;49.10
2026-07-16;13:27:00;SELENA-FM;SEL (SELENAFM);13;48.4000;-0.1000;-0.21;90;4361.00
2026-07-16;13:44:00;SELENA-FM;SEL (SELENAFM);14;49.0000;0.0000;0.00;80;3920.00
2026-07-16;14:47:00;SELENA-FM;SEL (SELENAFM);15;49.0000;0.0000;0.00;113;5537.00
2026-07-16;15:13:00;SELENA-FM;SEL (SELENAFM);16;48.9000;0.0000;0.00;400;19560.00
2026-07-16;16:17:00;SELENA-FM;SEL (SELENAFM);17;49.0000;0.0000;0.00;1;49.00
2026-07-16;16:27:00;SELENA-FM;SEL (SELENAFM);18;49.0000;0.0000;0.00;3;147.00
2026-07-16;16:29:00;SELENA-FM;SEL (SELENAFM);19;48.4000;0.0000;0.00;60;2904.00
2026-07-16;16:43:00;SELENA-FM;SEL (SELENAFM);20;49.0000;0.0000;0.00;2;98.00
