Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-24;09:17:00;SFINKS;SFS (SFINKS);1;0.4460;0.0000;0.00;92;41.03
2026-07-24;09:19:00;SFINKS;SFS (SFINKS);2;0.4460;0.0000;0.00;493;219.88
2026-07-24;09:26:00;SFINKS;SFS (SFINKS);3;0.4350;0.0000;0.00;1950;848.25
2026-07-24;09:42:00;SFINKS;SFS (SFINKS);4;0.4350;0.0000;0.00;3600;1566.00
2026-07-24;12:44:00;SFINKS;SFS (SFINKS);5;0.4470;0.0000;0.00;1000;447.00
2026-07-24;12:45:00;SFINKS;SFS (SFINKS);6;0.4350;0.0000;0.00;5000;2175.00
2026-07-24;12:46:00;SFINKS;SFS (SFINKS);7;0.4480;0.0010;0.22;3700;1654.90
2026-07-24;13:01:00;SFINKS;SFS (SFINKS);8;0.4300;-0.0170;-3.80;10000;4318.81
2026-07-24;14:10:00;SFINKS;SFS (SFINKS);9;0.4300;-0.0020;-0.46;15000;6462.00
2026-07-24;14:11:00;SFINKS;SFS (SFINKS);10;0.4480;0.0010;0.22;6000;2683.49
2026-07-24;14:14:00;SFINKS;SFS (SFINKS);11;0.4460;0.0000;0.00;3000;1338.00
2026-07-24;14:20:00;SFINKS;SFS (SFINKS);12;0.4480;0.0020;0.45;3000;1342.28
2026-07-24;14:35:00;SFINKS;SFS (SFINKS);13;0.4500;0.0020;0.45;5000;2243.19
2026-07-24;14:37:00;SFINKS;SFS (SFINKS);14;0.4500;0.0000;0.00;3763;1693.35
2026-07-24;14:43:00;SFINKS;SFS (SFINKS);15;0.4500;0.0000;0.00;3000;1350.00
2026-07-24;15:23:00;SFINKS;SFS (SFINKS);16;0.4400;0.0000;0.00;3000;1320.00
2026-07-24;16:11:00;SFINKS;SFS (SFINKS);17;0.4440;0.0000;0.00;1766;784.10
2026-07-24;16:46:00;SFINKS;SFS (SFINKS);18;0.4350;0.0000;0.00;9;3.92
