Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-04;09:00:00;SIM;SIM (SIMFABRIC);1;1.3800;0.0000;0.00;2167;2990.46
2026-09-04;10:18:00;SIM;SIM (SIMFABRIC);2;1.3560;0.0000;0.00;225;305.10
2026-09-04;10:49:00;SIM;SIM (SIMFABRIC);3;1.3800;0.0000;0.00;6;8.28
2026-09-04;12:22:00;SIM;SIM (SIMFABRIC);4;1.4000;0.0200;1.45;887;1227.06
2026-09-04;12:23:00;SIM;SIM (SIMFABRIC);5;1.4000;0.0000;0.00;1000;1400.00
2026-09-04;12:37:00;SIM;SIM (SIMFABRIC);6;1.4000;0.0000;0.00;500;700.00
2026-09-04;13:48:00;SIM;SIM (SIMFABRIC);7;1.4720;0.0720;5.14;8620;12097.21
2026-09-04;13:54:00;SIM;SIM (SIMFABRIC);8;1.4720;0.0000;0.00;194;285.57
2026-09-04;13:55:00;SIM;SIM (SIMFABRIC);9;1.4720;-0.0060;-0.41;306;451.93
2026-09-04;14:08:00;SIM;SIM (SIMFABRIC);10;1.4700;0.0020;0.14;340;499.20
2026-09-04;14:12:00;SIM;SIM (SIMFABRIC);11;1.4700;0.0000;0.00;1000;1470.00
2026-09-04;14:14:00;SIM;SIM (SIMFABRIC);12;1.4700;0.0000;0.00;115;169.05
2026-09-04;14:16:00;SIM;SIM (SIMFABRIC);13;1.4700;0.0000;0.00;20;29.40
2026-09-04;14:21:00;SIM;SIM (SIMFABRIC);14;1.4720;0.0000;0.00;6;8.83
2026-09-04;14:25:00;SIM;SIM (SIMFABRIC);15;1.4700;0.0000;0.00;364;535.08
2026-09-04;14:30:00;SIM;SIM (SIMFABRIC);16;1.4720;0.0000;0.00;339;499.01
2026-09-04;14:47:00;SIM;SIM (SIMFABRIC);17;1.4700;0.0000;0.00;1;1.47
2026-09-04;15:27:00;SIM;SIM (SIMFABRIC);18;1.4400;0.0000;0.00;560;806.40
2026-09-04;16:20:00;SIM;SIM (SIMFABRIC);19;1.4380;0.0000;0.00;79;113.60
2026-09-04;16:36:00;SIM;SIM (SIMFABRIC);20;1.4400;0.0000;0.00;139;200.16
2026-09-04;16:39:00;SIM;SIM (SIMFABRIC);21;1.4380;0.0000;0.00;121;174.00
