Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-24;09:00:00;SKARBIEC-HOLDING;SKH (SKARBIEC);1;39.6000;0.0000;0.00;263;10414.80
2026-08-24;09:01:00;SKARBIEC-HOLDING;SKH (SKARBIEC);2;39.2000;0.0000;0.00;40;1568.00
2026-08-24;09:02:00;SKARBIEC-HOLDING;SKH (SKARBIEC);3;39.6000;0.0000;0.00;1;39.60
2026-08-24;09:45:00;SKARBIEC-HOLDING;SKH (SKARBIEC);4;39.6000;0.0000;0.00;100;3960.00
2026-08-24;10:17:00;SKARBIEC-HOLDING;SKH (SKARBIEC);5;39.6000;0.0000;0.00;200;7920.00
2026-08-24;10:29:00;SKARBIEC-HOLDING;SKH (SKARBIEC);6;39.6000;0.0000;0.00;25;990.00
2026-08-24;10:55:00;SKARBIEC-HOLDING;SKH (SKARBIEC);7;39.4000;0.0000;0.00;100;3940.00
2026-08-24;10:56:00;SKARBIEC-HOLDING;SKH (SKARBIEC);8;39.6000;0.2000;0.51;100;3956.00
2026-08-24;11:53:00;SKARBIEC-HOLDING;SKH (SKARBIEC);9;39.6000;0.0000;0.00;10;396.00
2026-08-24;12:34:00;SKARBIEC-HOLDING;SKH (SKARBIEC);10;39.6000;0.0000;0.00;5;198.00
2026-08-24;13:10:00;SKARBIEC-HOLDING;SKH (SKARBIEC);11;39.6000;0.0000;0.00;125;4950.00
2026-08-24;13:12:00;SKARBIEC-HOLDING;SKH (SKARBIEC);12;39.6000;0.0000;0.00;4;158.40
2026-08-24;13:38:00;SKARBIEC-HOLDING;SKH (SKARBIEC);13;39.2000;0.0000;0.00;67;2626.40
2026-08-24;13:42:00;SKARBIEC-HOLDING;SKH (SKARBIEC);14;39.6000;0.0000;0.00;4;158.40
2026-08-24;15:42:00;SKARBIEC-HOLDING;SKH (SKARBIEC);15;39.4000;0.0000;0.00;200;7880.00
2026-08-24;15:45:00;SKARBIEC-HOLDING;SKH (SKARBIEC);16;39.4000;0.0000;0.00;200;7880.00
2026-08-24;16:24:00;SKARBIEC-HOLDING;SKH (SKARBIEC);17;39.4000;0.0000;0.00;50;1970.00
2026-08-24;16:28:00;SKARBIEC-HOLDING;SKH (SKARBIEC);18;39.6000;0.0000;0.00;1;39.60
2026-08-24;16:41:00;SKARBIEC-HOLDING;SKH (SKARBIEC);19;39.4000;0.0000;0.00;39;1536.60
