Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-24;09:00:00;SLV;SLV (SELVITA);1;22.5000;0.1000;0.45;25;560.10
2026-09-24;09:04:00;SLV;SLV (SELVITA);2;22.4000;0.0000;0.00;200;4480.00
2026-09-24;09:06:00;SLV;SLV (SELVITA);3;22.4000;0.0000;0.00;33;739.20
2026-09-24;09:08:00;SLV;SLV (SELVITA);4;22.4000;0.0000;0.00;5;112.00
2026-09-24;09:14:00;SLV;SLV (SELVITA);5;22.3500;-0.0500;-0.22;75;1676.50
2026-09-24;09:18:00;SLV;SLV (SELVITA);6;22.2000;-0.1500;-0.67;5861;130189.35
2026-09-24;09:20:00;SLV;SLV (SELVITA);7;22.0000;-0.1500;-0.68;6374;140448.20
2026-09-24;09:21:00;SLV;SLV (SELVITA);8;22.1000;0.0000;0.00;5;110.50
2026-09-24;09:22:00;SLV;SLV (SELVITA);9;22.2500;0.0000;0.00;18;400.50
2026-09-24;09:23:00;SLV;SLV (SELVITA);10;22.2500;0.0000;0.00;276;6141.00
2026-09-24;09:24:00;SLV;SLV (SELVITA);11;22.2500;0.1500;0.68;130;2883.50
2026-09-24;09:25:00;SLV;SLV (SELVITA);12;22.2500;0.0000;0.00;5;111.25
2026-09-24;09:26:00;SLV;SLV (SELVITA);13;22.2500;0.0000;0.00;1;22.25
2026-09-24;09:27:00;SLV;SLV (SELVITA);14;22.1000;0.0000;0.00;5;110.50
2026-09-24;09:30:00;SLV;SLV (SELVITA);15;22.2500;0.0000;0.00;39;867.75
2026-09-24;09:36:00;SLV;SLV (SELVITA);16;22.2500;0.0000;0.00;2;44.50
2026-09-24;09:37:00;SLV;SLV (SELVITA);17;22.1500;0.0000;0.00;23;509.45
2026-09-24;09:43:00;SLV;SLV (SELVITA);18;22.2500;0.0000;0.00;517;11503.25
2026-09-24;09:50:00;SLV;SLV (SELVITA);19;22.3000;0.0500;0.22;150;3339.50
2026-09-24;09:51:00;SLV;SLV (SELVITA);20;22.3000;0.1000;0.45;327;7243.90
2026-09-24;10:05:00;SLV;SLV (SELVITA);21;22.1500;-0.1500;-0.67;10;222.85
2026-09-24;10:07:00;SLV;SLV (SELVITA);22;22.3000;0.0000;0.00;226;5039.80
2026-09-24;10:20:00;SLV;SLV (SELVITA);23;22.3000;0.0000;0.00;1;22.30
2026-09-24;10:30:00;SLV;SLV (SELVITA);24;22.1500;0.0000;0.00;1;22.15
2026-09-24;10:40:00;SLV;SLV (SELVITA);25;22.1500;0.0000;0.00;1;22.15
2026-09-24;10:49:00;SLV;SLV (SELVITA);26;22.2000;0.0000;0.00;10;222.00
2026-09-24;10:53:00;SLV;SLV (SELVITA);27;22.1500;0.0000;0.00;100;2215.00
2026-09-24;10:54:00;SLV;SLV (SELVITA);28;22.2000;0.0000;0.00;259;5749.80
2026-09-24;10:55:00;SLV;SLV (SELVITA);29;22.1500;0.0000;0.00;347;7686.05
2026-09-24;10:57:00;SLV;SLV (SELVITA);30;22.1000;0.0000;0.00;1696;37481.60
2026-09-24;11:00:00;SLV;SLV (SELVITA);31;22.0500;0.0000;0.00;10;220.50
2026-09-24;11:02:00;SLV;SLV (SELVITA);32;22.1500;0.0000;0.00;5;110.75
2026-09-24;11:03:00;SLV;SLV (SELVITA);33;22.1000;0.0000;0.00;134;2961.40
