Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-31;09:00:00;SNIEZKA;SKA (SNIEZKA);1;83.6000;-0.2000;-0.24;28;2346.20
2026-07-31;09:17:00;SNIEZKA;SKA (SNIEZKA);2;83.6000;0.0000;0.00;1;83.60
2026-07-31;09:21:00;SNIEZKA;SKA (SNIEZKA);3;83.6000;0.0000;0.00;1;83.60
2026-07-31;09:56:00;SNIEZKA;SKA (SNIEZKA);4;83.6000;0.0000;0.00;13;1086.80
2026-07-31;10:35:00;SNIEZKA;SKA (SNIEZKA);5;83.8000;0.8000;0.96;42;3514.00
2026-07-31;10:53:00;SNIEZKA;SKA (SNIEZKA);6;83.8000;0.0000;0.00;65;5447.00
2026-07-31;11:12:00;SNIEZKA;SKA (SNIEZKA);7;83.8000;0.0000;0.00;11;921.80
2026-07-31;12:06:00;SNIEZKA;SKA (SNIEZKA);8;83.8000;0.0000;0.00;1;83.80
2026-07-31;12:12:00;SNIEZKA;SKA (SNIEZKA);9;83.8000;0.0000;0.00;5;419.00
2026-07-31;12:56:00;SNIEZKA;SKA (SNIEZKA);10;83.0000;0.0000;0.00;5;415.00
2026-07-31;14:19:00;SNIEZKA;SKA (SNIEZKA);11;82.2000;-0.8000;-0.96;185;15245.80
2026-07-31;15:15:00;SNIEZKA;SKA (SNIEZKA);12;82.4000;-0.6000;-0.72;24;1978.80
2026-07-31;15:57:00;SNIEZKA;SKA (SNIEZKA);13;84.0000;0.0000;0.00;10;840.00
2026-07-31;16:13:00;SNIEZKA;SKA (SNIEZKA);14;84.0000;0.0000;0.00;5;420.00
2026-07-31;16:48:00;SNIEZKA;SKA (SNIEZKA);15;84.0000;0.0000;0.00;22;1848.00
