Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-30;09:00:00;SNK;SNK (SANOK);1;22.0000;0.0000;0.00;111;2442.00
2026-07-30;09:05:00;SNK;SNK (SANOK);2;22.0000;0.0000;0.00;50;1100.00
2026-07-30;10:17:00;SNK;SNK (SANOK);3;22.0000;0.0000;0.00;6;132.00
2026-07-30;10:22:00;SNK;SNK (SANOK);4;21.9000;0.0000;0.00;105;2299.50
2026-07-30;11:00:00;SNK;SNK (SANOK);5;22.0000;0.0000;0.00;1;22.00
2026-07-30;11:20:00;SNK;SNK (SANOK);6;22.0000;0.0000;0.00;30;660.00
2026-07-30;12:27:00;SNK;SNK (SANOK);7;22.0000;0.0000;0.00;3;66.00
2026-07-30;12:43:00;SNK;SNK (SANOK);8;22.1000;0.0000;0.00;131;2895.10
2026-07-30;12:57:00;SNK;SNK (SANOK);9;22.1000;0.0000;0.00;67;1480.70
2026-07-30;13:04:00;SNK;SNK (SANOK);10;22.1000;0.0000;0.00;10;221.00
2026-07-30;13:13:00;SNK;SNK (SANOK);11;22.1000;0.0000;0.00;10;221.00
2026-07-30;13:44:00;SNK;SNK (SANOK);12;22.1000;0.0000;0.00;100;2210.00
2026-07-30;13:46:00;SNK;SNK (SANOK);13;22.2000;0.1000;0.45;3;66.40
2026-07-30;14:02:00;SNK;SNK (SANOK);14;22.2000;0.0000;0.00;1;22.20
2026-07-30;14:37:00;SNK;SNK (SANOK);15;22.0000;0.0000;0.00;42;924.00
2026-07-30;14:38:00;SNK;SNK (SANOK);16;21.9000;0.0000;0.00;458;10030.20
2026-07-30;15:19:00;SNK;SNK (SANOK);17;22.1000;0.0000;0.00;45;994.50
2026-07-30;15:24:00;SNK;SNK (SANOK);18;22.1000;0.0000;0.00;69;1524.90
2026-07-30;15:26:00;SNK;SNK (SANOK);19;21.9000;0.0000;0.00;3;65.70
2026-07-30;15:28:00;SNK;SNK (SANOK);20;22.1000;0.0000;0.00;1;22.10
2026-07-30;16:40:00;SNK;SNK (SANOK);21;22.1000;0.0000;0.00;67;1480.70
