Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-22;09:00:00;SONEL;SON (SONEL);1;13.6500;0.0000;0.00;50;682.50
2026-07-22;10:06:00;SONEL;SON (SONEL);2;13.6500;0.0000;0.00;97;1324.05
2026-07-22;10:11:00;SONEL;SON (SONEL);3;13.7000;0.0000;0.00;252;3452.40
2026-07-22;13:24:00;SONEL;SON (SONEL);4;13.7000;0.0000;0.00;96;1315.20
2026-07-22;15:27:00;SONEL;SON (SONEL);5;13.7000;0.0000;0.00;4;54.80
2026-07-22;15:39:00;SONEL;SON (SONEL);6;13.7500;0.0000;0.00;1;13.75
2026-07-22;15:57:00;SONEL;SON (SONEL);7;13.7000;0.0000;0.00;39;534.30
2026-07-22;15:58:00;SONEL;SON (SONEL);8;13.4000;-0.1000;-0.74;184;2479.50
2026-07-22;15:59:00;SONEL;SON (SONEL);9;13.2000;-0.1500;-1.12;452;6008.25
2026-07-22;16:01:00;SONEL;SON (SONEL);10;13.2000;0.0000;0.00;50;660.00
2026-07-22;16:05:00;SONEL;SON (SONEL);11;13.6500;0.0000;0.00;80;1092.00
2026-07-22;16:18:00;SONEL;SON (SONEL);12;13.6500;0.0000;0.00;20;273.00
2026-07-22;16:30:00;SONEL;SON (SONEL);13;13.6500;0.0000;0.00;1;13.65
2026-07-22;16:32:00;SONEL;SON (SONEL);14;13.7500;0.0500;0.36;55;753.75
2026-07-22;16:33:00;SONEL;SON (SONEL);15;13.8000;0.0500;0.36;50;689.80
2026-07-22;16:39:00;SONEL;SON (SONEL);16;13.8500;0.0500;0.36;90;1242.20
