Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-09;09:00:00;SPR;SPR (SPYROSOFT);1;418.0000;0.0000;0.00;2;836.00
2026-09-09;09:52:00;SPR;SPR (SPYROSOFT);2;418.0000;0.0000;0.00;38;15884.00
2026-09-09;10:40:00;SPR;SPR (SPYROSOFT);3;420.0000;0.0000;0.00;1;420.00
2026-09-09;10:41:00;SPR;SPR (SPYROSOFT);4;420.0000;0.0000;0.00;2;840.00
2026-09-09;11:07:00;SPR;SPR (SPYROSOFT);5;418.0000;0.0000;0.00;1;418.00
2026-09-09;12:03:00;SPR;SPR (SPYROSOFT);6;418.0000;0.0000;0.00;15;6270.00
2026-09-09;12:35:00;SPR;SPR (SPYROSOFT);7;418.0000;0.0000;0.00;9;3762.00
2026-09-09;13:43:00;SPR;SPR (SPYROSOFT);8;423.0000;2.0000;0.48;5;2110.00
2026-09-09;14:39:00;SPR;SPR (SPYROSOFT);9;423.0000;0.0000;0.00;1;423.00
2026-09-09;15:14:00;SPR;SPR (SPYROSOFT);10;424.0000;1.0000;0.24;2;847.00
2026-09-09;15:16:00;SPR;SPR (SPYROSOFT);11;424.0000;0.0000;0.00;2;848.00
2026-09-09;15:42:00;SPR;SPR (SPYROSOFT);12;416.0000;-1.0000;-0.24;137;57067.00
2026-09-09;16:37:00;SPR;SPR (SPYROSOFT);13;418.0000;0.0000;0.00;5;2090.00
2026-09-09;17:00:00;SPR;SPR (SPYROSOFT);14;423.0000;0.0000;0.00;2;846.00
