Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-03;09:00:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);1;1.7980;0.0000;0.00;774;1391.66
2026-09-03;09:08:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);2;1.8000;0.0000;0.00;2777;4998.60
2026-09-03;09:09:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);3;1.7980;0.0000;0.00;42;75.52
2026-09-03;09:11:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);4;1.8000;0.0000;0.00;297;534.60
2026-09-03;09:18:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);5;1.8000;0.0000;0.00;20;36.00
2026-09-03;09:19:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);6;1.7980;0.0000;0.00;100;179.80
2026-09-03;09:21:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);7;1.7980;0.0000;0.00;760;1366.48
2026-09-03;09:26:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);8;1.7980;0.0000;0.00;8;14.38
2026-09-03;09:35:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);9;1.7820;-0.0080;-0.45;100;178.33
2026-09-03;09:37:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);10;1.7840;0.0000;0.00;6;10.70
2026-09-03;09:39:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);11;1.7840;0.0000;0.00;5000;8920.00
2026-09-03;09:41:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);12;1.7960;0.0000;0.00;160;287.36
2026-09-03;09:42:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);13;1.7800;-0.0020;-0.11;6600;11754.53
2026-09-03;09:43:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);14;1.7800;0.0000;0.00;109;194.02
2026-09-03;09:44:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);15;1.7940;0.0000;0.00;672;1205.57
2026-09-03;09:47:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);16;1.7940;0.0000;0.00;884;1585.90
2026-09-03;09:48:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);17;1.7820;0.0000;0.00;134;238.79
2026-09-03;09:49:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);18;1.7820;0.0000;0.00;252;449.06
2026-09-03;09:59:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);19;1.7860;0.0000;0.00;3;5.36
2026-09-03;10:04:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);20;1.7840;0.0000;0.00;550;981.20
2026-09-03;10:05:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);21;1.7860;0.0000;0.00;3;5.36
2026-09-03;10:06:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);22;1.7860;0.0000;0.00;1214;2168.20
2026-09-03;10:14:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);23;1.7940;0.0000;0.00;1;1.79
2026-09-03;10:19:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);24;1.7900;0.0000;0.00;16;28.64
2026-09-03;10:21:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);25;1.7900;0.0000;0.00;849;1519.71
2026-09-03;10:26:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);26;1.7940;0.0000;0.00;40;71.76
2026-09-03;10:27:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);27;1.7840;0.0000;0.00;200;356.80
2026-09-03;10:35:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);28;1.7800;-0.0040;-0.22;3000;5341.38
2026-09-03;10:42:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);29;1.7820;0.0000;0.00;19;33.86
2026-09-03;11:06:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);30;1.7820;0.0000;0.00;254;452.63
2026-09-03;11:16:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);31;1.7840;0.0000;0.00;749;1336.22
2026-09-03;11:18:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);32;1.7840;0.0000;0.00;11;19.62
2026-09-03;11:26:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);33;1.7820;-0.0020;-0.11;1120;1996.90
2026-09-03;11:27:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);34;1.7820;0.0000;0.00;209;372.44
2026-09-03;11:43:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);35;1.7860;0.0000;0.00;400;714.40
2026-09-03;11:50:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);36;1.7880;0.0000;0.00;21;37.55
2026-09-03;11:52:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);37;1.7860;0.0000;0.00;143;255.40
2026-09-03;12:08:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);38;1.7840;-0.0020;-0.11;212;378.22
2026-09-03;12:22:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);39;1.7840;0.0000;0.00;848;1512.83
2026-09-03;12:24:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);40;1.7920;0.0000;0.00;7;12.54
2026-09-03;12:27:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);41;1.7840;0.0000;0.00;97;173.05
2026-09-03;12:34:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);42;1.7840;0.0000;0.00;450;802.80
2026-09-03;12:45:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);43;1.7840;0.0000;0.00;235;419.24
2026-09-03;12:49:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);44;1.7900;0.0000;0.00;2;3.58
2026-09-03;12:53:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);45;1.7900;0.0000;0.00;6;10.74
2026-09-03;12:58:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);46;1.7840;-0.0060;-0.34;1252;2239.57
2026-09-03;13:05:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);47;1.7840;0.0000;0.00;215;383.56
2026-09-03;13:16:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);48;1.7900;0.0000;0.00;77;137.83
2026-09-03;13:17:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);49;1.7840;0.0000;0.00;6;10.70
2026-09-03;13:26:00;STALEXPORT-AUTOSTRADY;STX (STALEXP);50;1.7840;0.0000;0.00;1437;2563.61
