Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-24;09:28:00;STALPRODUKT;STP (STALPROD);1;231.0000;0.0000;0.00;200;46200.00
2026-09-24;09:30:00;STALPRODUKT;STP (STALPROD);2;231.0000;0.0000;0.00;100;23100.00
2026-09-24;09:36:00;STALPRODUKT;STP (STALPROD);3;231.0000;1.0000;0.43;102;23560.00
2026-09-24;10:53:00;STALPRODUKT;STP (STALPROD);4;231.0000;0.0000;0.00;10;2310.00
2026-09-24;11:16:00;STALPRODUKT;STP (STALPROD);5;232.0000;0.0000;0.00;1;232.00
2026-09-24;11:59:00;STALPRODUKT;STP (STALPROD);6;232.0000;0.0000;0.00;30;6960.00
2026-09-24;12:07:00;STALPRODUKT;STP (STALPROD);7;233.0000;0.0000;0.00;10;2330.00
2026-09-24;12:50:00;STALPRODUKT;STP (STALPROD);8;233.0000;0.0000;0.00;10;2330.00
2026-09-24;12:58:00;STALPRODUKT;STP (STALPROD);9;232.0000;0.0000;0.00;1;232.00
2026-09-24;13:03:00;STALPRODUKT;STP (STALPROD);10;233.0000;0.0000;0.00;33;7689.00
2026-09-24;13:39:00;STALPRODUKT;STP (STALPROD);11;232.0000;0.0000;0.00;18;4176.00
2026-09-24;13:55:00;STALPRODUKT;STP (STALPROD);12;232.0000;0.0000;0.00;2;464.00
2026-09-24;14:01:00;STALPRODUKT;STP (STALPROD);13;232.0000;0.0000;0.00;3;696.00
2026-09-24;14:24:00;STALPRODUKT;STP (STALPROD);14;232.0000;0.0000;0.00;3;696.00
2026-09-24;14:43:00;STALPRODUKT;STP (STALPROD);15;231.0000;0.0000;0.00;2;462.00
2026-09-24;15:10:00;STALPRODUKT;STP (STALPROD);16;232.0000;0.0000;0.00;10;2320.00
2026-09-24;16:49:00;STALPRODUKT;STP (STALPROD);17;231.0000;0.0000;0.00;55;12705.00
2026-09-24;17:00:00;STALPRODUKT;STP (STALPROD);18;232.0000;0.0000;0.00;10;2320.00
