Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-21;09:35:00;STALPROFIL;STF (STALPROFI);1;9.1600;0.0000;0.00;10;91.60
2026-07-21;10:05:00;STALPROFIL;STF (STALPROFI);2;9.1000;0.0000;0.00;1;9.10
2026-07-21;10:23:00;STALPROFIL;STF (STALPROFI);3;9.1000;0.0000;0.00;75;682.50
2026-07-21;10:32:00;STALPROFIL;STF (STALPROFI);4;9.1000;0.0000;0.00;211;1920.10
2026-07-21;10:37:00;STALPROFIL;STF (STALPROFI);5;9.1000;0.0000;0.00;1;9.10
2026-07-21;10:44:00;STALPROFIL;STF (STALPROFI);6;9.1000;0.0000;0.00;1;9.10
2026-07-21;11:02:00;STALPROFIL;STF (STALPROFI);7;9.1000;0.0000;0.00;12;109.20
2026-07-21;11:51:00;STALPROFIL;STF (STALPROFI);8;9.1600;0.0000;0.00;117;1071.72
2026-07-21;12:51:00;STALPROFIL;STF (STALPROFI);9;9.1600;0.0000;0.00;10;91.60
2026-07-21;13:00:00;STALPROFIL;STF (STALPROFI);10;9.1600;0.0000;0.00;8;73.28
2026-07-21;13:20:00;STALPROFIL;STF (STALPROFI);11;9.1600;0.0000;0.00;37;338.92
2026-07-21;14:06:00;STALPROFIL;STF (STALPROFI);12;9.1000;0.0000;0.00;66;600.60
2026-07-21;15:00:00;STALPROFIL;STF (STALPROFI);13;9.1600;0.0000;0.00;3;27.48
2026-07-21;15:51:00;STALPROFIL;STF (STALPROFI);14;9.1200;0.0000;0.00;32;291.84
2026-07-21;16:35:00;STALPROFIL;STF (STALPROFI);15;9.1600;0.0000;0.00;2;18.32
2026-07-21;16:36:00;STALPROFIL;STF (STALPROFI);16;9.1200;0.0000;0.00;25;228.00
