Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-09-18;09:00:00;STAPORKOW;ZUK (STAPORKOW);1;4.9200;0.0200;0.41;9994;49018.60
2026-09-18;09:02:00;STAPORKOW;ZUK (STAPORKOW);2;4.9600;0.0000;0.00;20;99.20
2026-09-18;11:29:00;STAPORKOW;ZUK (STAPORKOW);3;4.9400;0.0000;0.00;39;192.66
2026-09-18;11:35:00;STAPORKOW;ZUK (STAPORKOW);4;4.9400;0.0000;0.00;727;3591.38
2026-09-18;11:54:00;STAPORKOW;ZUK (STAPORKOW);5;4.9400;0.0000;0.00;210;1037.40
2026-09-18;12:38:00;STAPORKOW;ZUK (STAPORKOW);6;4.9600;0.0000;0.00;326;1616.96
2026-09-18;12:39:00;STAPORKOW;ZUK (STAPORKOW);7;4.9400;0.0000;0.00;24;118.56
2026-09-18;13:49:00;STAPORKOW;ZUK (STAPORKOW);8;4.9200;0.0000;0.00;302;1485.84
2026-09-18;16:11:00;STAPORKOW;ZUK (STAPORKOW);9;4.9400;0.0000;0.00;4306;21271.64
2026-09-18;16:13:00;STAPORKOW;ZUK (STAPORKOW);10;4.9400;0.0000;0.00;5694;28128.36
2026-09-18;16:20:00;STAPORKOW;ZUK (STAPORKOW);11;4.9400;0.0000;0.00;6106;30163.64
