Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-18;09:32:00;SUNEX;SNX (SUNEX);1;3.5350;0.0150;0.43;505;1777.68
2026-08-18;09:33:00;SUNEX;SNX (SUNEX);2;3.5500;0.0150;0.42;110;388.95
2026-08-18;09:39:00;SUNEX;SNX (SUNEX);3;3.5500;0.0000;0.00;318;1128.90
2026-08-18;09:41:00;SUNEX;SNX (SUNEX);4;3.5850;0.0000;0.00;5;17.93
2026-08-18;09:49:00;SUNEX;SNX (SUNEX);5;3.5550;0.0000;0.00;27;95.98
2026-08-18;09:54:00;SUNEX;SNX (SUNEX);6;3.5650;0.0000;0.00;50;178.25
2026-08-18;10:01:00;SUNEX;SNX (SUNEX);7;3.5650;0.0000;0.00;140;499.10
2026-08-18;10:04:00;SUNEX;SNX (SUNEX);8;3.5700;0.0050;0.14;500;1783.45
2026-08-18;10:16:00;SUNEX;SNX (SUNEX);9;3.5500;-0.0050;-0.14;9;31.96
2026-08-18;10:21:00;SUNEX;SNX (SUNEX);10;3.5500;0.0000;0.00;555;1970.25
2026-08-18;10:22:00;SUNEX;SNX (SUNEX);11;3.5700;0.0000;0.00;505;1802.85
2026-08-18;10:48:00;SUNEX;SNX (SUNEX);12;3.5400;0.0000;0.00;950;3363.00
2026-08-18;11:39:00;SUNEX;SNX (SUNEX);13;3.5400;0.0000;0.00;50;177.00
2026-08-18;11:48:00;SUNEX;SNX (SUNEX);14;3.5700;0.0300;0.85;900;3198.11
2026-08-18;12:12:00;SUNEX;SNX (SUNEX);15;3.5900;0.0900;2.57;110;389.82
2026-08-18;12:23:00;SUNEX;SNX (SUNEX);16;3.5150;0.0000;0.00;1;3.52
2026-08-18;12:28:00;SUNEX;SNX (SUNEX);17;3.5800;0.0000;0.00;5;17.90
2026-08-18;12:54:00;SUNEX;SNX (SUNEX);18;3.5700;0.0000;0.00;10;35.70
2026-08-18;13:28:00;SUNEX;SNX (SUNEX);19;3.5300;0.0000;0.00;4630;16343.90
2026-08-18;13:31:00;SUNEX;SNX (SUNEX);20;3.4800;-0.0400;-1.14;449;1570.74
2026-08-18;13:32:00;SUNEX;SNX (SUNEX);21;3.4650;0.0000;0.00;551;1909.21
2026-08-18;13:33:00;SUNEX;SNX (SUNEX);22;3.5300;0.0000;0.00;2;7.06
2026-08-18;13:42:00;SUNEX;SNX (SUNEX);23;3.5300;0.0050;0.14;111;391.36
2026-08-18;14:15:00;SUNEX;SNX (SUNEX);24;3.5000;0.0000;0.00;1350;4725.00
2026-08-18;14:17:00;SUNEX;SNX (SUNEX);25;3.5300;0.0000;0.00;20;70.60
2026-08-18;16:02:00;SUNEX;SNX (SUNEX);26;3.5000;0.0000;0.00;1;3.50
2026-08-18;16:10:00;SUNEX;SNX (SUNEX);27;3.4800;-0.0200;-0.57;101;352.76
2026-08-18;16:13:00;SUNEX;SNX (SUNEX);28;3.5300;0.0500;1.44;100;350.50
2026-08-18;16:17:00;SUNEX;SNX (SUNEX);29;3.5350;0.0550;1.58;80;280.60
2026-08-18;16:39:00;SUNEX;SNX (SUNEX);30;3.4750;-0.0050;-0.14;156;542.14
2026-08-18;16:43:00;SUNEX;SNX (SUNEX);31;3.5300;0.0000;0.00;100;353.00
2026-08-18;16:48:00;SUNEX;SNX (SUNEX);32;3.5350;0.0050;0.14;13;45.90
2026-08-18;16:49:00;SUNEX;SNX (SUNEX);33;3.5000;0.0000;0.00;538;1883.00
2026-08-18;17:00:00;SUNEX;SNX (SUNEX);34;3.5350;0.0000;0.00;5;17.68
