Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-07-17;09:00:00;SVE;SVE (SNTVERSE);1;2.7100;0.0000;0.00;400;1084.00
2026-07-17;09:01:00;SVE;SVE (SNTVERSE);2;2.7000;-0.0100;-0.37;9269;25062.34
2026-07-17;09:12:00;SVE;SVE (SNTVERSE);3;2.7000;0.0000;0.00;2500;6750.00
2026-07-17;09:17:00;SVE;SVE (SNTVERSE);4;2.7500;0.0300;1.10;1000;2736.72
2026-07-17;09:41:00;SVE;SVE (SNTVERSE);5;2.7450;0.0000;0.00;424;1163.88
2026-07-17;09:43:00;SVE;SVE (SNTVERSE);6;2.7450;0.0000;0.00;52;142.74
2026-07-17;09:48:00;SVE;SVE (SNTVERSE);7;2.7400;0.0000;0.00;500;1370.00
2026-07-17;09:49:00;SVE;SVE (SNTVERSE);8;2.7100;0.0000;0.00;500;1355.00
2026-07-17;10:04:00;SVE;SVE (SNTVERSE);9;2.7450;0.0000;0.00;120;329.40
2026-07-17;10:12:00;SVE;SVE (SNTVERSE);10;2.7050;-0.0050;-0.18;10000;27055.48
2026-07-17;10:31:00;SVE;SVE (SNTVERSE);11;2.7050;0.0000;0.00;1;2.70
2026-07-17;11:03:00;SVE;SVE (SNTVERSE);12;2.7000;-0.0050;-0.18;100;270.08
2026-07-17;11:13:00;SVE;SVE (SNTVERSE);13;2.7350;0.0000;0.00;27;73.84
2026-07-17;11:32:00;SVE;SVE (SNTVERSE);14;2.7400;0.0050;0.18;583;1596.00
2026-07-17;11:33:00;SVE;SVE (SNTVERSE);15;2.7050;0.0000;0.00;1863;5039.41
2026-07-17;12:22:00;SVE;SVE (SNTVERSE);16;2.7400;0.0000;0.00;10;27.40
2026-07-17;12:50:00;SVE;SVE (SNTVERSE);17;2.7500;0.0100;0.36;2000;5489.68
2026-07-17;13:02:00;SVE;SVE (SNTVERSE);18;2.7500;0.0000;0.00;363;998.25
2026-07-17;13:26:00;SVE;SVE (SNTVERSE);19;2.7200;-0.0300;-1.09;1730;4717.60
2026-07-17;13:32:00;SVE;SVE (SNTVERSE);20;2.7500;0.0000;0.00;182;500.50
2026-07-17;13:36:00;SVE;SVE (SNTVERSE);21;2.7500;0.0000;0.00;1000;2750.00
2026-07-17;14:15:00;SVE;SVE (SNTVERSE);22;2.7650;0.0150;0.55;250;687.52
2026-07-17;14:16:00;SVE;SVE (SNTVERSE);23;2.7700;0.0050;0.18;450;1244.29
2026-07-17;14:20:00;SVE;SVE (SNTVERSE);24;2.7700;0.0000;0.00;40;110.80
2026-07-17;14:45:00;SVE;SVE (SNTVERSE);25;2.7350;0.0000;0.00;25;68.38
2026-07-17;15:08:00;SVE;SVE (SNTVERSE);26;2.7600;0.0000;0.00;127;350.52
2026-07-17;16:02:00;SVE;SVE (SNTVERSE);27;2.7600;0.0000;0.00;944;2605.44
2026-07-17;16:18:00;SVE;SVE (SNTVERSE);28;2.7350;-0.0050;-0.18;929;2542.82
2026-07-17;16:29:00;SVE;SVE (SNTVERSE);29;2.7200;-0.0150;-0.55;1940;5288.01
2026-07-17;16:32:00;SVE;SVE (SNTVERSE);30;2.7550;0.0000;0.00;14;38.57
2026-07-17;17:00:00;SVE;SVE (SNTVERSE);31;2.7500;0.0000;0.00;100;275.00
