Data;Czas;Kod;Spolka;Numer;Kurs;Zmiana;Zmiana %;Wolumen;Wartosc
2026-08-18;09:00:00;SYGNITY;SGN (SYGNITY);1;72.2000;0.0000;0.00;348;25105.60
2026-08-18;09:02:00;SYGNITY;SGN (SYGNITY);2;72.2000;0.0000;0.00;347;25053.40
2026-08-18;09:05:00;SYGNITY;SGN (SYGNITY);3;72.2000;0.2000;0.28;202;14564.40
2026-08-18;09:06:00;SYGNITY;SGN (SYGNITY);4;72.2000;0.0000;0.00;100;7220.00
2026-08-18;09:09:00;SYGNITY;SGN (SYGNITY);5;72.2000;0.2000;0.28;259;18669.80
2026-08-18;09:10:00;SYGNITY;SGN (SYGNITY);6;72.2000;0.0000;0.00;40;2888.00
2026-08-18;09:11:00;SYGNITY;SGN (SYGNITY);7;72.2000;0.2000;0.28;211;15213.00
2026-08-18;09:12:00;SYGNITY;SGN (SYGNITY);8;72.0000;0.0000;0.00;25;1800.00
2026-08-18;09:18:00;SYGNITY;SGN (SYGNITY);9;72.2000;0.0000;0.00;10;722.00
2026-08-18;09:20:00;SYGNITY;SGN (SYGNITY);10;72.2000;0.0000;0.00;200;14440.00
2026-08-18;09:21:00;SYGNITY;SGN (SYGNITY);11;72.2000;0.0000;0.00;191;13790.20
2026-08-18;09:28:00;SYGNITY;SGN (SYGNITY);12;72.1000;0.0000;0.00;46;3316.60
2026-08-18;09:29:00;SYGNITY;SGN (SYGNITY);13;72.1000;0.0000;0.00;45;3244.50
2026-08-18;09:30:00;SYGNITY;SGN (SYGNITY);14;72.2000;0.0000;0.00;20;1444.00
2026-08-18;09:32:00;SYGNITY;SGN (SYGNITY);15;72.2000;0.0000;0.00;85;6137.00
2026-08-18;09:33:00;SYGNITY;SGN (SYGNITY);16;72.2000;0.0000;0.00;1231;88866.30
2026-08-18;09:43:00;SYGNITY;SGN (SYGNITY);17;72.2000;0.1000;0.14;317;22849.00
2026-08-18;09:53:00;SYGNITY;SGN (SYGNITY);18;72.2000;0.0000;0.00;2000;144400.01
2026-08-18;09:59:00;SYGNITY;SGN (SYGNITY);19;72.2000;0.0000;0.00;495;35701.00
2026-08-18;10:06:00;SYGNITY;SGN (SYGNITY);20;72.2000;0.0000;0.00;30;2166.00
2026-08-18;10:07:00;SYGNITY;SGN (SYGNITY);21;72.2000;0.0000;0.00;1;72.20
2026-08-18;10:08:00;SYGNITY;SGN (SYGNITY);22;72.2000;0.0000;0.00;50;3610.00
2026-08-18;10:09:00;SYGNITY;SGN (SYGNITY);23;72.2000;0.0000;0.00;2;144.40
2026-08-18;10:13:00;SYGNITY;SGN (SYGNITY);24;72.2000;0.1000;0.14;313;22578.60
2026-08-18;10:15:00;SYGNITY;SGN (SYGNITY);25;72.2000;0.0000;0.00;232;16750.40
2026-08-18;10:22:00;SYGNITY;SGN (SYGNITY);26;72.2000;0.0000;0.00;60;4332.00
2026-08-18;10:23:00;SYGNITY;SGN (SYGNITY);27;72.2000;0.0000;0.00;500;36100.00
2026-08-18;10:24:00;SYGNITY;SGN (SYGNITY);28;72.1000;0.0000;0.00;11;793.10
2026-08-18;10:25:00;SYGNITY;SGN (SYGNITY);29;72.1000;0.0000;0.00;39;2811.90
